COMPANY NAME,SUZLON ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,39.6,,,,,,,,,
Market Capitalization,53421.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,20402.86,19954.44,9483.48,12714.37,8116.2,5024.69,2972.85,3345.72,6581.78,5970.53
Raw Material Cost,13375.84,13625.86,5184.82,8291.44,5019.94,2956.5,1404.41,1610.75,4091.95,3626.76
Change in Inventory,-1059.57,7.19,-418.96,748.55,-95.77,-41.85,-469.1,33.48,-239.61,-155.9
Power and Fuel,65.34,70.04,60.26,71.44,59.36,57.1,61.04,45.05,57.59,61.54
Other Mfr. Exp,962.79,695.9,268.64,456.44,310.98,230.85,129.99,188.43,398.19,349.91
Employee Cost,2231.37,2227.46,959.09,1046.48,804.68,874.16,796.25,553.21,545.36,609.22
Selling and admin,2214.44,2109.51,818.24,784.29,503.36,410.39,266.71,223.79,248.21,231.97
Other Expenses,555.88,6981.83,2056.51,333.57,345.41,477.3,701.11,221.28,100.89,102.03
Other Income,-494.54,-193.65,2562.79,108.95,555.15,92.23,-42.29,822.92,94.78,2738.95
Depreciation,776.88,808.77,391.76,389.03,341.61,341.85,418.61,258.38,259.84,259.68
Interest,2069.96,2064.69,1304.02,1287.59,1580.98,1269.91,1367.29,996.26,734.52,420.76
Profit before tax,-3403.75,-8816.08,583.97,911.59,-390.74,-1542.99,-2683.95,104.97,0.4,2891.71
Tax,144.43,317.28,-23.61,11.7,-1.56,-11.9,7.44,4.63,166.59,4.42
Net profit,-3519.97,-9157.69,583.1,857.71,-376.98,-1527.18,-2642.23,104.18,-199.59,2849.01
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1355.62,1609.91,2474.47,1380.68,1437.75,1458.02,1694.08,1350.98,1421.43,1560.47
Expenses,1122.91,1323.86,2257.85,1166.44,1268.1,1242.68,1461.39,1152.18,1196.39,1312.84
Other Income,6,5.1,4.26,2471.88,4.83,6.13,257.39,18.87,-27.73,9.24
Depreciation,61.26,63.24,77.42,58.63,62.89,57.6,80.56,54.59,51.17,39.46
Interest,190.31,186.37,176.43,151.19,96.85,86.28,86.44,62.03,43.7,14.28
Profit before tax,-12.86,41.54,-32.97,2476.3,14.74,77.59,323.08,101.05,102.44,203.13
Tax,0.48,4.77,159.95,43.75,-41.73,-0.69,3.09,0.15,0.15,0.09
Net profit,-10.55,37.69,-204.29,2433.33,57.43,78.36,279.89,100.9,102.29,203.04
Operating Profit,232.71,286.05,216.62,214.24,169.65,215.34,232.69,198.8,225.04,247.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,497.63,741.54,1004.1,1004.88,1063.95,1063.95,1063.95,1701.6,1843.49,2454.4
Reserves,-879.46,-8063.84,-8537.27,-7846.21,-8030.8,-9561.56,-12046.89,-5276.47,-5601.06,-1355.26
Borrowings,17053.32,17810.96,11414.32,11114.29,11995.52,11552.03,13209.8,4962.27,4241.64,1937.92
Other Liabilities,13589.02,11242.79,5842.07,7887.14,6091.9,5816.49,4303.49,5213.69,5990.79,2486.32
Total,30260.51,21731.45,9723.22,12160.1,11120.57,8870.91,6530.35,6601.09,6474.86,5523.38
Net Block,13514.52,5843.43,1573.08,1665.29,1462.86,1519.75,1358.23,1166.04,1059.3,866.14
Capital Work in Progress,433.41,356.11,232.51,205.99,353.24,228.74,122.38,107.45,19.63,6
Investments,706.68,265.66,393.35,669.65,66.99,20.43,19.74,23,0.03,0.03
Other Assets,15605.9,15266.25,7524.28,9619.17,9237.48,7101.99,5030,5304.6,5395.9,4651.21
Total,30260.51,21731.45,9723.22,12160.1,11120.57,8870.91,6530.35,6601.09,6474.86,5523.38
Receivables,2686.85,2754.32,2515.12,3627.53,2985.15,1880.59,1364.54,1189.72,1376.95,1170.44
Inventory,4032.9,3360.78,2524.65,3468.84,3026.37,2913.93,2055.59,2172.76,2207.9,1827.13
Cash & Bank,2448.01,2542.88,626.58,336.12,581.07,74.62,82.33,262.5,500.43,367.31
No. of Equity Shares,2488146200,3707715195,5020503414,5024398950,5319774121,5319774121,5319774121,8508012773,9217444037,12473087083
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,567.86,1119.2,-739.2,1601.91,-109.44,1266.74,-929.04,530.5,1301.9,466.66
Cash from Investing Activity,-438.97,-825.49,4481.8,-643.35,-137.99,125.15,-32.49,-23.73,-19.02,84.71
Cash from Financing Activity,360,-198.84,-5656.23,-1249.02,492.38,-1898.34,969.24,-326.6,-1044.95,-684.49
