COMPANY NAME,HINDWARE HOME INNOVATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,346.8,,,,,,,,,
Market Capitalization,2513.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,1670.87,1613.12,1775.21,2293.63,2873.27
Raw Material Cost,,,,,,1089.19,1104.84,1162.52,1645.11,926.06
Change in Inventory,,,,,,5.71,30.69,-31.31,80.56,43.35
Power and Fuel,,,,,,1.46,1.9,0.72,0.59,110.33
Other Mfr. Exp,,,,,,7.29,9.38,9.77,24.72,836.07
Employee Cost,,,,,,159.53,177.39,180.98,231.23,402.52
Selling and admin,,,,,,261.18,228.23,210.68,260.9,356.71
Other Expenses,,,,,,33.5,33.67,35.74,35.64,38.43
Other Income,,,,,,8.6,24.07,17.69,128.99,34.56
Depreciation,,,,,,19.69,45.99,39.27,39.34,100.98
Interest,,,,,,28.52,33.31,29.49,20.42,77.1
Profit before tax,,,,,,84.82,33.17,92.42,245.23,102.98
Tax,,,,,,30.12,10.05,37.57,41.74,36.52
Net profit,,,,,,54.7,23.11,54.84,201.68,57.09
Dividend Amount,,,,,,,1.08,2.17,3.62,3.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,616.69,649.01,685.63,678.09,714.8,712.53,767.85,633.91,700.35,692.93
Expenses,567.21,595.83,623.95,619.58,659.17,662.84,685.24,573.83,628.47,642.3
Other Income,8.44,8.79,5.56,8.16,8.62,10.7,7.15,8.36,8.11,10.67
Depreciation,10.02,10,10.58,22.32,25.16,25.13,28.37,29.2,30.41,31.34
Interest,5.58,4.44,5.2,13.53,18.65,21.99,22.93,22.49,24.32,23.53
Profit before tax,42.32,47.53,51.46,30.82,20.44,13.27,38.46,16.75,25.26,6.43
Tax,18.45,11.7,11.18,18.32,4.93,3.52,9.75,13.88,4.39,0.31
Net profit,24.88,35.86,37.31,10.78,16.25,7.78,22.75,0.67,19.7,4.53
Operating Profit,49.48,53.18,61.68,58.51,55.63,49.69,82.61,60.08,71.88,50.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,14.46,14.46,14.46,14.46
Reserves,,,,,,242.17,259.76,315.48,511.91,561.28
Borrowings,,,,,,302.72,328.05,242.49,373.99,957.54
Other Liabilities,,,,,,430.72,407.44,466.16,1245.33,769.37
Total,,,,,,975.61,1009.71,1038.59,2145.69,2302.65
Net Block,,,,,,107.96,189.77,157.02,743.02,911.96
Capital Work in Progress,,,,,,4.07,4.8,10.59,58.5,36.23
Investments,,,,,,0.27,0.27,25.64,114.44,87.95
Other Assets,,,,,,863.31,814.87,845.34,1229.73,1266.51
Total,,,,,,975.61,1009.71,1038.59,2145.69,2302.65
Receivables,,,,,,356.31,359.18,407.65,305.9,377.61
Inventory,,,,,,279.29,310.17,280.18,675.31,683.77
Cash & Bank,,,,,,21.78,2.67,7.62,26.54,9.27
No. of Equity Shares,,,,,,,72296395,72296395,72296395,72296395
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,79.11,40.15,234.49,226.05,220.79
Cash from Investing Activity,,,,,,65.22,-30.99,-51.62,-124.01,-704.75
Cash from Financing Activity,,,,,,-122.6,-28.25,-177.93,-83.17,466.68
Net Cash Flow,,,,,,21.73,-19.09,4.94,18.87,-17.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,67.95,271.55,363.1,355.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,7.23,7.23,7.23,7.23
