COMPANY NAME,TITAN COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,3244.2,,,,,,,,,
Market Capitalization,287997.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11913.41,11275.89,13260.83,16119.77,19778.52,21052,21644,28799,40575,51084
Raw Material Cost,8955.86,8372.17,9821.14,12664.83,15170.66,16033,16292,26436,32589,42103
Change in Inventory,204.37,191.43,313.71,978.61,776.41,878,-122,4795,2234,2671
Power and Fuel,40.18,41.2,43.84,45.32,48.51,52,37,45,59,
Other Mfr. Exp,187.15,261.7,160.42,124.83,193.28,215,141,183,225,
Employee Cost,636.48,699.69,894.32,906.26,1024.44,1204,1069,1356,1656,1864
Selling and admin,833.49,846.43,1211.16,1277.81,1454.32,1470,1029,1697,2715,1148
Other Expenses,312.04,306.8,279.76,435.13,669.93,493,1229,533,683,3348
Other Income,66.57,69.33,-42.38,69.93,178.48,153,180,177,306,534
Depreciation,89.57,98.19,110.53,131.43,162.84,348,375,399,441,584
Interest,80.69,42.36,37.74,52.92,52.54,166,203,218,300,619
Profit before tax,1048.89,868.11,973.25,1529.78,1956.89,2102,1327,2904,4447,4623
Tax,232.64,191.59,275.97,427.87,568.24,609,353,706,1173,1127
Net profit,816.26,674.52,711.47,1130.09,1404.15,1501,973,2173,3250,3496
Dividend Amount,204.19,195.32,230.83,332.92,443.9,356,356,667.5,890,979
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,10037,7796,9443,9163,11609,10360,11897,12529,14164,12494
Expenses,8595,7002,8247,7916,10262,9271,10772,11118,12599,11303
Other Income,57,22,44,61,90,114,114,125,136,159
Depreciation,98,102,103,106,113,119,128,144,154,158
Interest,57,61,65,60,79,96,109,140,169,201
Profit before tax,1344,653,1072,1142,1245,988,1002,1252,1378,991
Tax,332,126,282,307,332,252,246,336,325,220
Net profit,1004,510,785,831,904,730,753,915,1053,771
Operating Profit,1442,794,1196,1247,1347,1089,1125,1411,1565,1191
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,88.78,88.78,88.78,88.78,88.78,89,89,89,89,89
Reserves,2995.09,3417.5,4143.6,5001.1,5981.37,6580,7408,9214,11762,9304
Borrowings,99.79,113.05,1882.43,1691.01,2392.98,3562,5638,7275,9367,15528
Other Liabilities,2684.3,2722.58,2292.76,2740.15,3246.71,3313,3309,4610,5802,6629
Total,5867.96,6341.91,8407.57,9521.04,11709.84,13544,16444,21188,27020,31550
Net Block,699.11,770.54,1188.72,1473.81,1566.63,2633,2523,2544,2998,3718
Capital Work in Progress,55.19,106.71,152.07,43.37,31.77,18,32,85,144,88
Investments,3.1,30.41,430.73,35.99,108.42,158,2824,294,2515,2345
Other Assets,5110.56,5434.25,6636.05,7967.87,10003.02,10735,11065,18265,21363,25399
Total,5867.96,6341.91,8407.57,9521.04,11709.84,13544,16444,21188,27020,31550
Receivables,189.73,192.5,207.6,295.69,420.45,312,366,565,674,1018
Inventory,4049.3,4447.15,4925.74,5924.84,7038.82,8103,8408,13609,16584,19051
Cash & Bank,213.81,116.35,778.93,617.91,1066.48,381,560,1573,1343,1526
No. of Equity Shares,887786160,887786160,887786160,887786160,887786160,887786160,887786160,887786160,890000000,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,502.6,576.09,1712.3,-51.12,1242.92,-348,4139,-724,1370,1695
Cash from Investing Activity,-118.03,-158.79,-953.15,97.62,-796.61,235,-2799,1165,-1814,-189
Cash from Financing Activity,-1004.65,-504.84,-165.6,-252.45,-488.83,-242,-1234,-403,457,-1329
Net Cash Flow,-620.08,-87.54,593.55,-205.95,-42.52,-355,106,38,13,177
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,392,338.8,462.75,942.3,1141.85,933.7,1558.05,2536.15,2514.9,3801.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78
