COMPANY NAME,UFLEX LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,421.3,,,,,,,,,
Market Capitalization,3051,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5825.5,6130.23,6365.52,6504.78,6801.76,7957.22,7404.84,8888.9,13127.13,14662.51
Raw Material Cost,3765.09,3783.67,3582.76,3568.36,4081.22,4911.03,4304.54,4739.61,8123.79,9386.05
Change in Inventory,77.27,-42.73,33.68,14.34,21.52,33.05,48.14,32.61,364.31,165.31
Power and Fuel,330.43,309.3,288.82,300.96,316.78,386.13,375.47,401.23,546.43,621.48
Other Mfr. Exp,310.66,346.76,711.5,757.2,525,460.96,448.73,571.67,825.3,934.06
Employee Cost,390.35,437.51,496.41,547.69,599.31,670.81,725.86,799.28,925.26,1079.53
Selling and admin,418.51,459.76,394.12,398.51,410.06,476.73,435.17,528.49,833.45,865.85
Other Expenses,-0.39,15.55,120.8,72.1,10.3,96.37,82.59,77.63,66.04,191.77
Other Income,29.02,17.73,38.38,24.57,21.98,19.29,28.22,23.39,70.71,-20.58
Depreciation,267.08,279.4,285.54,317.54,351.59,380.85,403.19,455.73,537.12,599.03
Interest,233.31,186.93,175.84,186.82,197.09,217.93,224.79,229.07,322.46,473.43
Profit before tax,216.75,286.35,381.79,394.51,353.91,408.75,480.86,1142.19,1382.3,656.04
Tax,15.12,30.86,64.85,43.76,41.7,93.54,109.98,298.51,282.88,175.29
Net profit,201.64,254.76,313.84,348.46,310.48,313.84,369.82,842.9,1098.26,480.68
Dividend Amount,18.05,19.5,23.11,25.27,14.44,14.44,14.44,18.05,21.66,21.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3027.31,3463.42,3867.75,4031.91,3767.76,3482.72,3380.12,3258.26,3369.44,3309.47
Expenses,2611.64,2855.63,3218.75,3320.8,3355.62,3219.02,3010.54,2974.52,2983.59,2977.88
Other Income,8.84,10.87,47.29,13.85,81.06,-70.49,-52.44,-361.59,20.02,-64.14
Depreciation,134.79,134.66,140.36,143.97,145.54,143.5,166.02,160.5,163.6,166.33
Interest,75.04,86.45,98.28,105.39,105.46,132.99,129.59,134.57,132.49,140.26
Profit before tax,214.68,397.55,457.65,475.6,242.2,-83.28,21.53,-372.92,109.78,-39.14
Tax,43.63,84.04,107.06,100.95,51.45,2.19,20.7,43.33,46.47,28.13
Net profit,170.74,313.21,350.28,374.49,190.72,-85.41,0.88,-416.18,63.31,-67.22
Operating Profit,415.67,607.79,649,711.11,412.14,263.7,369.58,283.74,385.85,331.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,72.21,72.21,72.21,72.21,72.21,72.21,72.21,72.21,72.21,72.21
Reserves,2750.69,2935.48,3375.62,3571.86,3907.4,4232.12,4624.9,5484.41,6623.63,7433.3
Borrowings,2416.16,2209.98,2139.49,2102.13,2079.4,2105.08,3626.07,4040.75,4786.63,5703.52
Other Liabilities,1355.54,1250.27,1216.76,1402.23,1629.2,1550.23,1693.19,2222.23,2958.65,3228.65
Total,6594.6,6467.94,6804.08,7148.43,7688.21,7959.64,10016.37,11819.6,14441.12,16437.68
Net Block,3378.13,3239.85,3254.86,3394.37,3765.74,3759.05,3807.66,5032.14,6417.19,7786.5
Capital Work in Progress,74.06,32.42,228.73,498.08,195.82,260.84,2007.49,1517.53,670.62,465.82
Investments,125.86,138.03,110.85,76.04,85.35,41.65,198.71,205.3,212.17,190.93
Other Assets,3016.55,3057.64,3209.64,3179.94,3641.3,3898.1,4002.51,5064.63,7141.14,7994.43
Total,6594.6,6467.94,6804.08,7148.43,7688.21,7959.64,10016.37,11819.6,14441.12,16437.68
Receivables,1505.18,1508.71,1480.19,1659.05,1932.59,2045.52,1947.36,2401.44,3510.74,3232.13
Inventory,610.74,660.97,620.83,678.62,796.84,843.54,854.95,1150.57,1831.4,2310.85
Cash & Bank,207.42,192.19,387.92,296.3,315.51,288.14,443.53,615.8,588.27,1091.37
No. of Equity Shares,72211486,72211486,72211486,72211486,72284187,72284187,72284187,72284187,72284187,72284187
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,330.67,501.35,874.81,779.21,651.04,553.41,848.51,1174.46,708.56,1382.66
Cash from Investing Activity,-142.93,-197.31,-436.74,-669.1,-426.7,-344.02,-2062.01,-1094.53,-952.12,-1171.59
Cash from Financing Activity,-142.54,-319.28,-241.92,-201.73,-205.14,-236.76,1368.89,134.26,216.03,292.02
Net Cash Flow,45.2,-15.24,196.15,-91.62,19.2,-27.37,155.4,214.19,-27.52,503.1
,,,,,,,,,,
