COMPANY NAME,MULTI COMMODITY EXCHANGE OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3759.05,,,,,,,,,
Market Capitalization,19179.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,222.49,234.93,259.44,259.84,300.03,397.84,390.56,366.81,513.51,683.55
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.6,3.02,3.18,3.25,2.95,3.33,2.44,2.57,3.73,
Other Mfr. Exp,7.67,9.11,3.45,3.23,2.1,2.58,1.7,1.52,1.36,
Employee Cost,34.93,42.6,65.33,68.96,74.47,79.74,78.66,83.25,95.26,112.33
Selling and admin,90.34,97.4,101,104.08,112.89,117.39,108.65,106.35,248.89,
Other Expenses,-0.75,7.48,6.85,4.6,13.62,16.44,13.98,12.1,19.56,508.43
Other Income,110.02,111.23,116.9,88.16,75.15,105.31,103.87,45.97,67.66,75.39
Depreciation,25.93,24.59,18.57,16.66,15.45,18.14,22.06,22.7,21.59,35.93
Interest,1.37,0.3,0.2,0.04,0.01,0.16,0.19,0.24,0.21,0.27
Profit before tax,170.42,161.66,177.76,147.18,153.69,265.37,266.75,184.05,190.57,101.98
Tax,45.01,47.03,51.17,38.82,7.45,28.87,41.53,40.6,41.6,18.87
Net profit,125.77,114.63,126.59,108.36,146.24,236.5,225.22,143.45,148.97,83.11
Dividend Amount,51,33.15,76.5,86.7,102,153,140.76,88.74,97.36,38.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,89.55,106.46,108.79,127.4,143.57,133.75,145.77,165.11,191.53,181.14
Expenses,51.82,53.35,60.17,63.14,111.53,133.95,136.34,194.83,212.37,79.12
Other Income,14.51,-5.85,9.26,18.24,20.08,20.08,20.44,18.91,17.73,20.21
Depreciation,6.69,2.73,5.77,5.77,4.25,5.79,4.33,6.57,11.25,13.78
Interest,0.08,0.06,0.05,,0.09,0.08,0.1,0.06,0.05,0.06
Profit before tax,45.47,44.47,52.06,76.73,47.78,14.01,25.44,-17.44,-14.41,108.39
Tax,11.01,7.94,10.6,13.46,8.99,8.56,5.78,1.63,-9.06,20.52
Net profit,34.46,36.53,41.46,63.27,38.79,5.45,19.66,-19.07,-5.35,87.87
Operating Profit,37.73,53.11,48.62,64.26,32.04,-0.2,9.43,-29.72,-20.84,102.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,51,51,51,51,51,51,51,51,51,51
Reserves,1153.71,1242.41,1311.39,1329.48,1199.9,1308.38,1367.23,1367.11,1428.3,1327.47
Borrowings,,,,,,,1.55,0.86,1.55,1.66
Other Liabilities,622.13,568.5,507.09,585.81,824.56,1375.24,1082.73,1381.57,1541.9,2028.66
Total,1826.84,1861.91,1869.48,1966.29,2075.46,2734.62,2502.51,2800.54,3022.75,3408.79
Net Block,142.82,136.98,151.78,156.23,158.01,158.34,159.38,156.46,150.18,387.34
Capital Work in Progress,2.28,3.13,0.36,5.54,18.95,23.67,26.32,94.79,168.53,7.94
Investments,1295.13,1114.33,1198.47,1322.05,1066.27,1256.14,1205.09,1157.49,1046.53,913.95
Other Assets,386.61,607.47,518.87,482.47,832.23,1296.47,1111.72,1391.8,1657.51,2099.56
Total,1826.84,1861.91,1869.48,1966.29,2075.46,2734.62,2502.51,2800.54,3022.75,3408.79
Receivables,10.65,4.19,2.81,6.31,6.01,6.46,8.96,11.47,14.64,67.91
Inventory,,,,,,,,,,
Cash & Bank,265.63,500.31,19.27,59.66,534.59,759.26,426.08,975.46,1177.86,965.63
No. of Equity Shares,50998369,50998369,50998369,50998369,50998369,50998369,50998369,50998369,50998369,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,69.61,77.52,-32.08,99.34,258.21,449.15,-184.43,391.3,141.42,520.91
Cash from Investing Activity,-68.39,-30.42,55.27,36.05,-92.66,-27.2,-38.78,-142.22,-8.08,-424.3
Cash from Financing Activity,-19.27,-61.42,-39.9,-92.12,-104.53,-123.42,-153.89,-141.65,-89.48,-98.18
Net Cash Flow,-18.05,-14.32,-16.71,43.27,61.02,298.53,-377.1,107.43,43.86,-1.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1122.45,836.65,1205.05,667.35,806.6,1124.25,1512.95,1415.45,1516.5,3349.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
