COMPANY NAME,CG POWER & INDUSTRIAL SOLUTIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,582.3,,,,,,,,,
Market Capitalization,88928.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5800.15,5268.59,5516.51,8031.08,7997.91,5109.88,2963.95,5483.53,6972.54,8045.98
Raw Material Cost,3726.68,3594.83,4056.82,5373.25,5109.88,3129.96,2055.45,3942.96,4853.61,5658.61
Change in Inventory,20.52,-16.78,169.99,128.57,-87.76,-198.15,81.18,41.21,-2.02,106.46
Power and Fuel,46.5,50.05,47.53,70.54,75.61,55.37,25.75,31.19,38.03,
Other Mfr. Exp,359.25,113.28,114.22,181.11,430.23,233.28,138.7,214.25,249.84,
Employee Cost,687,560.24,513.54,1081.1,1064.21,869.1,373.95,366.13,422.05,508.14
Selling and admin,353.22,311.71,292.81,801.89,530.18,308.4,135.61,234.34,276.05,
Other Expenses,358.57,533.74,789.88,513.4,401.39,284.86,199.67,89.22,125.65,857.62
Other Income,71.74,-230.23,-5.17,-72.98,-115.77,-860.8,1655.15,568.8,286.16,684.23
Depreciation,244.71,171.65,142.94,251.93,225.25,211.48,138.31,98.58,94.5,94.89
Interest,104.74,79.97,186.11,426.31,432.18,365.43,205.62,81.54,28.17,2.54
Profit before tax,11.74,-393.89,-462.52,-612.86,-474.55,-1406.95,1427.22,1035.33,1168.78,1714.87
Tax,-10.38,66.73,28.11,101.72,32.58,-75.81,147.62,122.26,205.81,287.26
Net profit,23.45,-459.29,-490.86,-718.7,-503.5,-1323.65,1295.2,912.54,962.67,1427.01
Dividend Amount,50.14,,,,,,,,229.07,198.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1551.01,1484.52,1642.69,1696.27,1752.5,1902.79,1874,2001.51,1978.75,2191.72
Expenses,1342.91,1318.71,1456.31,1436.56,1475.39,1627.45,1608.61,1692.89,1718.01,1907.89
Other Income,423.33,12.27,15.56,11.28,59.8,199.3,29.48,43.14,579.11,41.99
Depreciation,24.61,22.56,23.52,24.75,23.4,24.7,24.26,22.86,23.72,24.05
Interest,17.48,16.76,5.46,4.88,3.63,2.48,0.72,0.36,0.6,0.86
Profit before tax,589.34,138.76,172.96,241.36,309.88,447.46,269.89,328.54,815.53,300.91
Tax,44.28,27.11,43.03,62.39,82.02,21.24,66.05,86.25,67.86,67.1
Net profit,545.19,111.44,129.83,178.98,227.76,426.11,203.71,242.2,747.5,233.6
Operating Profit,208.1,165.81,186.38,259.71,277.11,275.34,265.39,308.62,260.74,283.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,125.35,125.35,125.35,125.35,125.35,125.35,267.6,288.37,305.43,305.47
Reserves,4172.48,4463.61,3977.31,2757.42,2005.2,-2081.48,-389.39,696.35,1485.08,2711.97
Borrowings,2092.23,1528.46,1502.04,3041.25,3297.49,2757.03,1484.16,366.94,16.43,17.44
Other Liabilities,5370.36,4831.13,4556.78,4886.76,4882.52,3815.79,3034.61,2870.42,2821.34,2590.86
Total,11760.42,10948.55,10161.48,10810.78,10310.56,4616.69,4396.98,4222.08,4628.28,5625.74
Net Block,4126.86,2587.66,1704.62,2364.5,2049.87,1488.98,1145.69,1081.44,970.52,1086.81
Capital Work in Progress,104.21,89.7,61.48,84.77,91.05,27.62,20.13,35.19,38.3,65.87
Investments,441.67,231.27,209.14,278.76,129.89,1.74,1.87,41.25,0.97,588.45
Other Assets,7087.68,8039.92,8186.24,8082.75,8039.75,3098.35,3229.29,3064.2,3618.49,3884.61
Total,11760.42,10948.55,10161.48,10810.78,10310.56,4616.69,4396.98,4222.08,4628.28,5625.74
Receivables,3087.98,2077.01,1877.15,2400.34,1695.78,522.16,586.98,943.66,1297.12,1534.19
Inventory,1300.07,585.01,882.1,1226.38,1192.8,384.34,428.27,512.35,541.18,750.71
Cash & Bank,682.75,796.89,760.71,426.61,270.76,242.36,533.56,488.02,713.96,854.41
No. of Equity Shares,626788442,626788442,626788442,626788442,626788442,626788442,1338082629,1441927629,1527131434,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-672.34,-60.78,-539.94,379.64,810.86,691.55,-242.2,482.87,946.86,396.99
Cash from Investing Activity,428.52,431.97,496.77,-1030.89,-744.94,-177.65,-50.92,226.86,-20.69,-662.17
Cash from Financing Activity,157.18,-222.43,50.22,513.72,-212.86,-527.62,589.9,-800.41,-611.54,-246.33
Net Cash Flow,-86.64,148.76,7.05,-137.53,-146.94,-13.72,296.78,-90.68,314.63,-511.51
,,,,,,,,,,
,,,,,,,,,,
