COMPANY NAME,CRISIL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,4302.4,,,,,,,,,
Market Capitalization,31452.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,1253.38,1379.94,1547.51,1658.46,1748.49,1731.72,1981.83,2300.69,2768.72,3139.52
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,8.56,10.48,10.31,11.25,11.7,10.76,6.33,3.95,5.62,6.59
Other Mfr. Exp,25.43,26.88,32.59,32.89,39.9,41.48,45.91,51.88,78.87,101.38
Employee Cost,593.99,695.22,789.04,847.45,888.82,879.13,1070.05,1289.4,1555.77,1750.74
Selling and admin,218.09,231.5,253.25,268.8,279.96,327.91,319.2,324.97,366.89,382.71
Other Expenses,18.73,16.23,18.99,42.79,56.88,16.6,29.7,19.98,31.93,16.6
Other Income,23.6,43.19,49.67,25.38,73.41,72.84,83.15,122.84,122.47,93.64
Depreciation,36.12,37.12,54.52,46.64,42.82,36.86,121.11,105.98,103.31,103.78
Interest,,,,0.41,2.23,0.23,14.39,8.93,6.4,3.66
Profit before tax,376.06,405.7,438.48,433.61,499.59,491.59,458.29,618.44,742.4,867.7
Tax,107.63,120.54,144.15,129.18,136.49,147.64,103.56,152.63,178.01,209.26
Net profit,268.43,285.15,294.33,304.43,363.1,343.95,354.73,465.81,564.39,658.44
Dividend Amount,142.8,163.76,192.51,200.76,216.3,231.36,239.58,335.34,350.88,394.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,706.02,594.94,668.54,682.98,822.26,714.89,771.02,735.87,917.74,737.68
Expenses,513.5,418.67,499.41,531.49,606.08,511.42,566.9,544.21,648.76,545.56
Other Income,59.25,20.11,35.3,65.25,18.38,17.34,17.78,35.97,35.82,21.09
Depreciation,24.63,25.23,25.55,26.32,26.21,26,26.07,26.5,25.21,17.02
Interest,1.85,1.84,1.63,1.58,1.35,1.18,0.88,0.82,0.78,0.7
Profit before tax,225.29,169.31,177.25,188.84,207,193.63,194.95,200.31,278.81,195.49
Tax,56.66,47.69,40.35,40.99,48.98,47.88,44.37,48.32,68.69,57.77
Net profit,168.63,121.62,136.9,147.85,158.02,145.75,150.58,151.99,210.12,137.72
Operating Profit,192.52,176.27,169.13,151.49,216.18,203.47,204.12,191.66,268.98,192.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,7.14,7.12,7.13,7.17,7.21,7.23,7.26,7.29,7.31,7.31
Reserves,841.21,848.64,978.24,1041.4,1129.04,1164.69,1304.55,1571.13,1784.67,2181.95
Borrowings,,,,,2.59,2.67,,132.14,83.46,47.32
Other Liabilities,416.26,475.12,399.87,446.15,494.92,514.14,894.84,793.31,955.56,1077.94
Total,1264.61,1330.88,1385.24,1494.72,1633.76,1688.73,2206.65,2503.87,2831,3314.52
Net Block,431.91,412.57,308.74,293.46,349.93,348.88,762.52,660.82,618.98,634.64
Capital Work in Progress,,2.61,4.32,13.21,7.44,11.8,13.57,5.49,13.59,30.86
Investments,374.51,383.35,465.09,525.44,476.62,453.05,476.02,644.84,683.42,1056.13
Other Assets,458.19,532.35,607.09,662.61,799.77,875,954.54,1192.72,1515.01,1592.89
Total,1264.61,1330.88,1385.24,1494.72,1633.76,1688.73,2206.65,2503.87,2831,3314.52
Receivables,140.86,195.58,207.3,260.42,284.83,199.37,307.36,541,758.83,689.51
Inventory,,,,,,,,,,
Cash & Bank,154.66,151.78,177.49,131.78,207.1,345.58,278.68,294.35,321.43,369.9
No. of Equity Shares,71357055,71209103,71300000,71700000,72115782,72304326,72593290,72868446,73064044,73113605
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,264.65,270.39,279.01,290.71,378.52,445.86,500.47,403.12,456.34,780.33
Cash from Investing Activity,-184.54,1.71,-19.06,-179.35,-64.48,-77.3,-299.6,-97.05,-58.69,-325.78
Cash from Financing Activity,-111.56,-261.69,-226.93,-186.58,-203.24,-228.94,-265.1,-291.03,-368.32,-407.68
Net Cash Flow,-31.45,10.4,33.02,-75.22,110.8,139.62,-64.23,15.04,29.33,46.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1899.1,1967.3,2203,1874.55,1613.55,1907.6,1921.55,2884.45,3067.3,4336.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.14,7.12,7.13,7.17,7.21,7.23,7.26,7.29,7.31,7.31
