COMPANY NAME,BAJAJ HOLDINGS & INVESTMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,8383.55,,,,,,,,,
Market Capitalization,93139.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,523.93,470.11,842.36,419.67,431.29,435.42,457.18,484.36,521.66,1648.69
Raw Material Cost,1.02,0.92,1.1,,,9.39,8.4,9.48,7.06,5.51
Change in Inventory,0.18,-0.19,0.17,,,1.73,0.28,1.96,-2.52,0.04
Power and Fuel,0.11,,,,,,,,,
Other Mfr. Exp,1.68,1.78,1.88,1.45,1.69,9.92,5.15,6.01,6.84,
Employee Cost,8.72,17.56,22.84,25.49,32.29,48.98,46.76,47.91,53.67,51.66
Selling and admin,6.83,9.35,2.9,20.22,18.88,38.51,27.19,32.64,46.89,
Other Expenses,21.53,11.78,186.13,17.44,31.7,28.89,18.29,23.34,25.07,83.1
Other Income,34.9,6.85,7.97,2389.62,2827.39,3058.08,3451.48,3895.82,4672.7,6020.07
Depreciation,5.93,5.48,5.39,5.24,4.1,33.33,33.61,33.71,33.86,33.86
Interest,,,,,,12.54,3.8,3.15,6.94,2.16
Profit before tax,513.19,429.9,630.26,2739.45,3170.02,3313.67,3765.74,4225.9,5011.51,7492.51
Tax,99.36,88.31,134.57,84.7,121.64,233.48,111.59,100.29,65.3,127.6
Net profit,2029.24,2265.24,2473.19,2654.75,3048.38,2992,3649.83,4055.68,4850.52,7267.21
Dividend Amount,389.52,361.69,361.69,445.16,361.69,445.16,445.16,1279.84,1368.87,1457.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,95.57,89.46,91.33,187.6,98.41,86.69,104.07,224.73,108.05,1211.84
Expenses,31.12,32.59,36.83,36.52,36.82,31.88,35.88,33.21,36.01,35.13
Other Income,1003.74,1074.16,938.16,1213.75,1252.17,1326.25,1374.83,1479.41,1602.43,1563.4
Depreciation,8.43,8.46,8.44,8.45,8.47,8.5,8.46,8.45,8.47,8.48
Interest,0.78,0.8,0.66,0.67,0.69,4.92,0.54,0.53,0.55,0.54
Profit before tax,1058.98,1121.77,983.56,1355.71,1304.6,1367.64,1434.02,1661.95,1665.45,2731.09
Tax,17.21,15.6,13.53,19.8,17.48,14.49,18.28,73.87,20.53,14.92
Net profit,1040.16,1105.39,969.33,1242.79,1285.65,1352.75,1415.5,1491.16,1644.43,2716.12
Operating Profit,64.45,56.87,54.5,151.08,61.59,54.81,68.19,191.52,72.04,1176.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29
Reserves,13281.94,15182.03,17706.61,25089.94,26841.01,27652.25,37055.67,42730.96,44071.49,54136.22
Borrowings,,,,,,167.77,136.18,113.69,92.79,62.57
Other Liabilities,499.75,178.36,70.77,67.61,56.11,4797.42,8186.45,10631.69,8912.53,10851
Total,13892.98,15471.68,17888.67,25268.84,27008.41,32728.73,45489.59,53587.63,53188.1,65161.08
Net Block,543.96,544.42,221.98,215.05,193.49,374.44,341.87,309.51,277.51,243.96
Capital Work in Progress,,,,,,,,,,
Investments,13077.56,13275.84,17364.28,24575.43,26256.86,32067.75,44913.65,52964.39,52555.42,64714.58
Other Assets,271.46,1651.42,302.41,478.36,558.06,286.54,234.07,313.73,355.17,202.54
Total,13892.98,15471.68,17888.67,25268.84,27008.41,32728.73,45489.59,53587.63,53188.1,65161.08
Receivables,0.61,0.59,0.53,,,4.7,6.83,10.03,6.54,1.77
Inventory,0.31,0.13,0.28,,,3.36,3.6,6.46,3.8,3.66
Cash & Bank,48.24,1423.01,12.53,81.21,10.19,112.31,83.26,32.89,39.47,53.96
No. of Equity Shares,111293510,111293510,111293510,111293510,111293510,111293510,111293510,111293510,111293510,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,796.01,1147.22,-923.34,1631.1,627.64,1919.83,271.66,1609.65,1727.65,1941.12
Cash from Investing Activity,-464.23,1019.43,-372.11,-1122.78,-163.24,-799.63,-307.91,-150.74,-136.84,-471.7
Cash from Financing Activity,-390.97,-760.76,-110.49,-434.18,-536.05,-1028.28,-36.64,-1459.54,-1586.91,-1455.47
Net Cash Flow,-59.19,1405.89,-1405.94,74.14,-71.65,91.92,-72.89,-0.63,3.9,13.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1296.25,1468.5,2163.95,2664.5,3416.55,1798.55,3293.05,5011.05,5920.1,8272.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
