COMPANY NAME,RELIANCE INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2788.25,,,,,,,,,
Market Capitalization,1886543.17,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,374372,272583,303954,390823,568337,596679,466307,698672,876396,901064
Raw Material Cost,292563,186254,217518,276076,399167,410288,301765,496369,618746,590226
Change in Inventory,-1483,-2560,5218,8610,4680,5048,9064,21457,30263,4883
Power and Fuel,13261,10741,11251,14569,17029,15098,13214,17902,25062,
Other Mfr. Exp,8914,8272,9909,9691,12198,11434,7687,12174,19658,
Employee Cost,6262,7407,8388,9523,12488,14075,14817,18775,24872,25679
Selling and admin,12548,18808,18520,29111,50221,62622,56154,63557,75230,
Other Expenses,1892,-3240,-2721,-3852,-2336,-1056,944,757,773,127809
Other Income,8528,12212,9222,9869,8406,8570,22432,17928,12020,16444
Depreciation,11547,11565,11646,16706,20934,22203,26572,29797,40303,50832
Interest,3316,3691,3849,8052,16495,22027,21189,14584,19571,23118
Profit before tax,31114,38737,40034,49426,55227,53606,55461,84142,94464,104727
Tax,7474,8876,10201,13346,15390,13726,1722,16297,20376,25707
Net profit,23566,29745,29901,36075,39588,39354,49128,60705,66702,69621
Dividend Amount,2943,3095.4,3254.9,3553.2,3851.9,4120.35,4511.5,5412,6089.4,6766
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,185027,207375,218855,229409,216737,212834,207559,231886,225086,236533
Expenses,155321,176009,181157,198438,181728,174478,169466,190918,184430,194017
Other Income,7016,2602,2275,3656,3377,2996,3889,3899,4022,4634
Depreciation,7683,8001,8942,9726,10183,11452,11775,12585,12903,13569
Interest,3812,3556,3997,4554,5201,5819,5837,5731,5789,5761
Profit before tax,25227,22411,27034,20347,23002,24081,24370,26551,25986,27820
Tax,4688,4390,7591,4835,5196,2754,6112,6673,6345,6577
Net profit,18549,16203,17955,13656,15792,19299,16011,17394,17265,18951
Operating Profit,29706,31366,37698,30971,35009,38356,38093,40968,40656,42516
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,2943,2948,2959,5922,5926,6339,6445,6765,6766,6766
Reserves,215556,228608,260750,287584,381186,442827,693727,772720,709106,786715
Borrowings,168251,194714,217475,239843,307714,355133,278962,319158,451664,346142
Other Liabilities,117736,172727,225618,277924,302804,358716,340931,399979,438346,616363
Total,504486,598997,706802,811273,997630,1163015,1320065,1498622,1605882,1755986
Net Block,156458,184910,198526,403885,398374,532658,541258,627798,724805,966458
Capital Work in Progress,166462,228697,324837,187022,179463,109106,125953,172506,293752,152382
Investments,76451,84015,82899,82862,235635,276767,364828,394264,235560,225672
Other Assets,105115,101375,100540,137504,184158,244484,288026,304054,351765,411474
Total,504486,598997,706802,811273,997630,1163015,1320065,1498622,1605882,1755986
Receivables,5315,4465,8177,17555,30089,19656,19014,23640,28448,31628
Inventory,53248,46486,48951,60837,67561,73903,81672,107778,140008,152770
Cash & Bank,12545,11028,3023,4255,11081,30920,17397,36178,68664,97225
No. of Equity Shares,2943334138,2948021694,2958924277,5921826196,5925868997,6338693823,6762068814,6765994014,6766094014,
New Bonus Shares,,,,2959863235,2959863235,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,34374,38134,49550,71459,42346,94877,26958,110654,115032,158788
Cash from Investing Activity,-64706,-36186,-66201,-68192,-94507,-72497,-142385,-109162,-93001,-114301
Cash from Financing Activity,8444,-3210,8617,-2001,55906,-2541,101904,17289,10455,-16646
Net Cash Flow,-21888,-1262,-8034,1266,3745,19839,-13523,18781,32486,27841
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,375.31,474.91,600.18,802.15,1238.85,1012.12,1837.56,2417.01,2138.41,2971.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,690.28,691.28,693.62,675.7,676.13,676.19,633.94,676.49,676.56,676.57
