COMPANY NAME,DELHIVERY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,444.6,,,,,,,,,
Market Capitalization,32705.38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,1653.9,2780.58,3646.53,6882.29,7225.3
Raw Material Cost,,,,,,,5.77,10.21,175.02,
Change in Inventory,,,,,,,,,2.88,-1.58
Power and Fuel,,,,,,63.02,80.31,72.47,123.13,168.46
Other Mfr. Exp,,,,,,1239.48,2176.07,2817.47,5053.22,5729.75
Employee Cost,,,,,,347.28,493.54,613.63,1316.24,1404.59
Selling and admin,,,,,,77.98,109.99,130.69,248.99,263.73
Other Expenses,,,,,,1544.61,86.13,124.98,443.34,108.8
Other Income,,,,,,40.98,207.24,150.43,155.72,318.52
Depreciation,,,,,,170.01,255.59,354.62,610.75,831.14
Interest,,,,,,35.81,49.22,88.63,99.53,88.83
Profit before tax,,,,,,-1783.31,-268.8,-415.74,-1029.33,-1053.06
Tax,,,,,,,0.12,,-18.33,-45.28
Net profit,,,,,,-1783.3,-268.93,-415.74,-1011,-1007.78
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1497.76,1995.04,2071.76,1745.74,1796.1,1823.84,1859.63,1929.78,1941.75,2194.47
Expenses,2015.8,1940.86,2011.74,1999.79,1933.79,1898.47,1846.24,1942.78,1957.33,2089.28
Other Income,30.43,24.16,55.27,54.8,95.46,94.27,75.36,107.71,101.43,123.04
Depreciation,119.85,186.54,222.57,181.34,200.05,207.3,242.45,167.34,171.21,182.6
Interest,25.89,27.62,23.3,24.58,23.96,21.36,18.93,19.54,19.65,22.19
Profit before tax,-633.35,-135.82,-130.58,-405.17,-266.24,-209.02,-172.63,-92.17,-105.01,23.44
Tax,1.71,-9.31,-10.73,-5.83,-12.13,-13.36,-13.95,-2.7,-2.07,11.73
Net profit,-635.04,-126.52,-119.86,-399.34,-254.11,-195.65,-158.67,-89.48,-102.94,11.71
Operating Profit,-518.04,54.18,60.02,-254.05,-137.69,-74.63,13.39,-13,-15.58,105.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,0.96,0.98,1.63,64.21,72.87
Reserves,,,,,,3348.15,3130.26,2799.77,5893.16,9104.27
Borrowings,,,,,,410.59,754.65,1098.42,1101.52,923.44
Other Liabilities,,,,,,302.85,471.41,697.97,1191.91,1065.81
Total,,,,,,4062.55,4357.3,4597.79,8250.8,11166.39
Net Block,,,,,,487.97,744.03,1053.38,3052.46,2994.61
Capital Work in Progress,,,,,,0.88,31.53,76.76,59.91,23.47
Investments,,,,,,1155.13,1187.68,1128.15,2090.74,2094.19
Other Assets,,,,,,2418.57,2394.06,2339.5,3047.69,6054.12
Total,,,,,,4062.55,4357.3,4597.79,8250.8,11166.39
Receivables,,,,,,214.65,601.33,594.58,990.25,943.64
Inventory,,,,,,22.63,17.83,25.95,25.31,19.36
Cash & Bank,,,,,,1663.43,408.7,277.44,229,645.45
No. of Equity Shares,,,,,,958395,975000,1629229,642106100,728715149
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,-242.68,-633.91,4.77,-240.53,-27.28
Cash from Investing Activity,,,,,,-939.44,-932.55,338.29,-2742.13,-3410.75
Cash from Financing Activity,,,,,,2858.42,-16.69,-146.7,2901.79,3538.48
Net Cash Flow,,,,,,1676.3,-1583.14,196.36,-80.87,100.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,331.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.1,0.1,0.17,64.21,72.87
