COMPANY NAME,TRIDENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,37.65,,,,,,,,,
Market Capitalization,19176.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3841.4,3736.68,3665.66,4625.21,4559.41,5248.6,4727.67,4530.62,6997.66,6332.26
Raw Material Cost,2029.67,2024.5,1735.44,2202.52,2260.81,2464.65,2179.02,2034.38,3429.99,3433.74
Change in Inventory,-22.41,93.65,6.79,-28.2,-11.53,27.5,29.19,14.96,86.26,58.22
Power and Fuel,291.84,322.38,324.09,381.63,412.94,450.45,440.88,431.82,562.5,585.88
Other Mfr. Exp,201.64,202.75,208.95,274.3,305.89,373.37,351.28,365.56,441.47,365.05
Employee Cost,287,387.16,429.49,579.42,509.63,597.75,588.68,581.59,669.54,650.38
Selling and admin,254.05,233.19,217.64,248.75,223.13,289.19,309.59,285.18,434.1,366.75
Other Expenses,22.86,-0.89,27.13,24.9,-16.05,117.82,41.45,21.45,26.65,41.97
Other Income,11.99,34,33.38,106.89,62.53,43.66,19.65,-18.2,15.82,24.74
Depreciation,268.41,321.32,336.63,412.5,404.12,364,333.69,336.85,332.8,312.77
Interest,210.33,205.96,145.23,141.05,118.22,112.37,110.88,72.11,86.23,79.62
Profit before tax,265.18,167.96,281.23,438.83,391.72,550.16,421.04,398.44,1116.46,579.06
Tax,68.13,50.1,39.17,101.61,125.57,178.39,81.34,94.05,282.71,137.45
Net profit,194.02,117.86,242.06,337.22,266.15,371.77,339.7,304.39,833.75,440.74
Dividend Amount,9.33,30.52,45.84,74.68,74.67,149.44,179.26,183.46,183.46,183.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1691.59,1980.01,1869.85,1679.9,1437.67,1641.44,1573.25,1493.71,1797.52,1835.34
Expenses,1281.05,1573.95,1532.18,1417.82,1297,1366.97,1304.73,1262.37,1557.26,1572.14
Other Income,10.11,-22.53,6.54,5.12,5.27,8.24,7.08,11.37,14.58,13.77
Depreciation,86.76,77.58,81,76.28,77.76,78.39,80.34,88.76,89.39,90.4
Interest,19.91,22.35,18.95,18.53,20.09,18.62,22.38,32.04,35.01,40.24
Profit before tax,313.98,283.6,244.26,172.39,48.09,185.7,172.88,121.91,130.44,146.33
Tax,79.39,72.51,63.01,43.04,10.7,41.49,42.22,30.57,40.13,37.02
Net profit,234.59,211.09,181.25,129.35,37.39,144.26,130.66,93.4,90.71,108.78
Operating Profit,410.54,406.06,337.67,262.08,140.67,274.47,268.52,231.34,240.26,263.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,311.09,508.64,509.37,497.88,497.83,498.14,497.94,509.6,509.6,509.6
Reserves,573.74,946.71,1926.73,2258.97,2228.39,2474.88,2523.46,2818.72,3335.08,3683.03
Borrowings,1862.27,2580.14,3502.66,2849.41,2797.81,2435.75,1990.97,1562.25,1596.7,1442.19
Other Liabilities,434.39,471.51,590.52,577.75,639.14,747.29,764.11,881.08,1047.75,1193.72
Total,3181.49,4507,6529.28,6184.01,6163.17,6156.06,5776.48,5771.65,6489.13,6828.54
Net Block,1795.59,2863.9,4693.03,4344.8,3902.16,3716.58,3681.47,3790.66,3712.66,4094.31
Capital Work in Progress,36.28,221.89,61.53,123.16,176.58,131.76,145.23,64.29,83.4,368.2
Investments,115.2,30.85,72.27,105.39,115.15,198.23,127.64,1.4,1.81,0.49
Other Assets,1234.42,1390.36,1702.45,1610.66,1969.28,2109.49,1822.14,1915.3,2691.26,2365.54
Total,3181.49,4507,6529.28,6184.01,6163.17,6156.06,5776.48,5771.65,6489.13,6828.54
Receivables,264.14,203.33,251.27,375.09,460.42,657.65,275.35,448.65,525.26,276.54
Inventory,642.85,750.78,906.54,774.72,922.62,1012.06,916.41,1022.98,1314.38,1081.8
Cash & Bank,25.01,17.01,81.94,132.64,166.55,25.72,337.89,118.6,292.46,364.99
No. of Equity Shares,311086710,508641469,509371026,509579260,509595567,498136457,4979390700,5095955670,5095955670,5095955670
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,746.85,544.09,532.23,998.66,476.27,655.7,1213.69,504.93,902.58,1426.25
Cash from Investing Activity,-173.08,-113.97,-1198.54,-167.48,-187.88,-50.66,-42.55,-154.92,-343.31,-1160.19
Cash from Financing Activity,-574.01,-432.09,666.95,-808.42,-268.14,-643.01,-862.37,-570.2,-386.88,-410.38
Net Cash Flow,-0.24,-1.97,0.64,22.76,20.25,-37.97,308.77,-220.19,172.39,-144.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
