COMPANY NAME,UTKARSH SMALL FINANCE BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,52.7,,,,,,,,,
Market Capitalization,5797.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,881.04,1307.69,1580.99,1848.81,2504.98,3178.41
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,7.24,12.28,9.29,12.69,19.71,
Employee Cost,,,,,188.35,263.14,327.57,432.19,572.94,736.95
Selling and admin,,,,,52.85,79.01,74.18,104.23,139.92,
Other Expenses,,,,,143.68,196.54,372.05,575.97,501.3,889.86
Other Income,,,,,58.05,98.56,124.85,184.83,299.31,400.4
Depreciation,,,,,16.29,25.41,29.58,40.88,58.66,
Interest,,,,,381.87,579.46,741.74,787.96,975.95,1292.61
Profit before tax,,,,,148.81,250.41,151.43,79.72,535.81,659.39
Tax,,,,,54.92,63.67,39.62,18.25,131.31,161.76
Net profit,,,,,93.89,186.74,111.82,61.46,404.5,497.63
Dividend Amount,,,,,,,,,,54.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,536.03,570.83,602.21,640.82,691.11,720.5,756.32,805.98,895.62
Expenses,,329.15,311.72,333.93,342.33,304.53,369.38,392.26,412.92,452.28
Other Income,,50.22,84.5,74.49,71.17,69.15,91.9,105.17,82.66,120.68
Depreciation,,,,,,,,,,
Interest,,201.38,221.61,225.52,247.3,281.52,298.46,314.8,323.67,355.67
Profit before tax,,55.72,122,117.25,122.36,174.21,144.56,154.43,152.05,208.35
Tax,,7.3,32.51,29.54,28.85,40.42,37.07,40.01,35.99,48.69
Net profit,,48.43,89.49,87.71,93.5,133.8,107.5,114.42,116.06,159.66
Operating Profit,,206.88,259.11,268.28,298.49,386.58,351.12,364.06,393.06,443.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,737.05,759.27,848.33,895.52,895.9,
Reserves,,,,,35.71,260.23,520.02,676.78,1104.42,
Borrowings,,,,,5221.16,7910.25,10115.4,12646.11,16059.62,
Other Liabilities,,,,,244.92,474.57,654.17,845.36,1057.61,
Total,,,,,6238.84,9404.32,12137.92,15063.77,19117.55,
Net Block,,,,,87.12,109.72,125.28,285.61,301.49,
Capital Work in Progress,,,,,2.76,21.7,55.9,0.92,1.83,
Investments,,,,,862.21,1192.39,2313.94,2347.92,2859.42,
Other Assets,,,,,5286.75,8080.51,9642.8,12429.32,15954.81,
Total,,,,,6238.84,9404.32,12137.92,15063.77,19117.55,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,,516.63,1614.05,1169.82,1871.65,2516.36,
No. of Equity Shares,,,,,737050000,759272222,848333869,895521522,895904663,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,210.95,115.21,-83.46,1329.16,1559,991.23
Cash from Investing Activity,,,,,-170.99,-322.14,-532.45,-738.67,-693.15,-619.8
Cash from Financing Activity,,,,,-92.08,1304.36,171.67,111.35,-221.13,139.67
Net Cash Flow,,,,,-52.12,1097.42,-444.24,701.83,644.71,511.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,47
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,73.7,75.93,84.83,89.55,89.59,109.95
