COMPANY NAME,INDIAN OVERSEAS BANK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,61.15,,,,,,,,,
Market Capitalization,115716.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,23938.33,23517.29,19718.6,17915.21,17631.26,17406.11,16965.53,16729.87,19400.33,24049.73
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,9.74,12.14,13.67,12.08,17.67,18.43,17.9,20.87,25.05,
Employee Cost,2650.88,3391.24,3045.74,2994.93,2647.85,3241.72,3703.01,3486.04,4099.79,6139.89
Selling and admin,797.82,848.61,854.04,809.55,827.02,865.81,868.18,918.62,983.47,
Other Expenses,3803.67,7190.59,7814.83,13756.68,11649.21,12580.43,5770.73,4837.38,4647.2,5933.25
Other Income,2138.6,2528.26,3372.64,3746.44,4206.32,3359.68,5559.02,4903.02,4108.75,5656.26
Depreciation,149,196.48,214.86,272.47,304.24,300.61,258,172.19,259.89,
Interest,18554.38,18134.6,14529.02,12447.64,12352.13,12103.28,11067.02,10418.73,11145.44,14220.32
Profit before tax,111.44,-3728.11,-3380.92,-8631.7,-5960.54,-8344.49,839.71,1779.06,2348.24,3412.53
Tax,565.76,-830.78,35.81,-2332.21,-2222.66,182.92,8.24,69.52,249.45,756.92
Net profit,-454.33,-2897.33,-3416.74,-6299.49,-3737.88,-8527.4,831.47,1709.54,2098.79,2655.61
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4197.69,4214.52,4434.74,4717.61,5055.53,5192.44,5424.31,5821.02,6175.51,6628.89
Expenses,2229.58,2513.5,1951.24,2582.25,2661.7,2820.21,2618.48,2827.14,2580.52,4047
Other Income,1119.51,1504.16,593.46,1134.84,950.48,1429.98,803.03,1114.19,1261.66,2477.37
Depreciation,,,,,,,,,,
Interest,2625.58,2604.99,2680.99,2764.25,2783.87,2916.33,3101.5,3475.15,3777.87,3865.81
Profit before tax,462.04,600.19,395.97,505.95,560.44,885.88,507.36,632.92,1078.78,1193.45
Tax,7.93,47.81,3.79,4.61,5.25,235.81,7.01,8.34,356.22,385.35
Net profit,454.11,552.38,392.18,501.34,555.19,650.07,500.35,624.58,722.56,808.1
Operating Profit,1968.11,1701.02,2483.5,2135.36,2393.83,2372.23,2805.83,2993.88,3594.99,2581.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1235.35,1807.27,2454.73,4890.77,9141.65,16436.99,16436.99,18902.41,18902.41,
Reserves,14405.67,13858.55,11289.82,8383.21,7218.23,-282.01,507.82,4097.98,6360.53,
Borrowings,264281.13,251697.55,227440.3,226059.89,228680.12,228371.61,243959.88,265229.56,281687.06,
Other Liabilities,5714.83,7073.39,5982.64,8634.17,4968.35,16200.24,13105.66,11147.22,6795.83,
Total,285636.98,274436.76,247167.49,247968.04,250008.35,260726.83,274010.35,299377.17,313745.83,
Net Block,2462.07,3218.3,3001.54,2837.71,3321.35,3123.86,2917.66,3364.79,3709.89,
Capital Work in Progress,45,52.17,52.79,55.72,15.55,3.48,1.12,0.11,0.09,
Investments,79298.1,79189.55,71654.12,68645.94,66932.27,79416.08,95494.22,98179.31,94170.41,
Other Assets,203831.81,191976.74,172459.04,176428.67,179739.18,178183.41,175597.35,197832.96,215865.44,
Total,285636.98,274436.76,247167.49,247968.04,250008.35,260726.83,274010.35,299377.17,313745.83,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,24898.55,22246.24,23223.03,26544.99,30891.5,24060.66,30776.34,36773.19,20607.08,
No. of Equity Shares,1235348315,1807265683,2454728928,4890769975,9141648218,16436988300,16436988300,18902412256,18902412256,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5940.9,-3091,-504.95,-1998.56,-785.86,-14022.51,4948.86,5565.87,-15619.37,
Cash from Investing Activity,-164.29,-253.56,-134.86,-109.78,-647.14,-85.41,-46.02,-47.97,-559.48,
Cash from Financing Activity,113.15,692.24,1616.6,5430.29,5779.5,7277.08,1812.84,478.96,12.75,
Net Cash Flow,5889.77,-2652.31,976.8,3321.96,4346.51,-6830.84,6715.68,5996.86,-16166.11,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,42.35,30.25,26.65,17.45,14.45,7.05,16,18.15,22.45,59.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,123.53,180.73,245.47,489.08,914.16,1643.7,1643.7,1890.24,1890.24,1890.24
