COMPANY NAME,HDFC LIFE INSURANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,539.55,,,,,,,,,
Market Capitalization,116054.19,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,27215.02,18140.55,30646.61,32259.93,38854.68,29380.4,71528.03,67125.82,70207.08,101481.8
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,23893.31,14176.49,26061.77,26438.9,32628.77,22693.83,65292.32,59861.06,60452.27,
Employee Cost,770.11,859.07,1118.6,1291.77,1413.17,1681.75,1692.79,2158.41,3093.53,3252.41
Selling and admin,1506.43,1878.56,2261.96,3178.95,2052.32,2194.54,2532.29,3283.89,4772.59,2181.99
Other Expenses,171.54,273.17,232.05,276.27,1545.87,1669.31,776.12,1044.71,1808.76,95594.93
Other Income,78.91,107.68,138.98,281.66,135.65,368.56,445.05,765.78,1437.32,524.81
Depreciation,42.72,44.91,41.24,44.45,45.24,46.57,50.89,56.27,75.93,
Interest,-14.1,8.1,9.06,10.76,13.94,,,,,
Profit before tax,923.92,1007.93,1060.91,1300.49,1291.02,1462.96,1628.67,1487.26,1441.32,977.28
Tax,138.41,191.14,173.99,193.29,13.09,165.51,267.8,160.32,73.05,-596.8
Net profit,785.51,816.79,886.92,1107.2,1277.93,1297.44,1360.87,1326.93,1368.28,1574.08
Dividend Amount,139.64,179.58,219.83,273.6,328.83,,408.23,359.15,408.39,430.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,14310.67,17481.61,6690.11,23082.99,19576.76,20857.21,23371.42,23141.62,26927.46,28041.28
Expenses,14136.59,17228.3,6386.15,22815.12,19786.83,21214.93,23045.37,23555.88,26662.12,27765.94
Other Income,121.12,374.39,73.9,87.04,394.07,882.3,113.82,134.99,101.69,174.33
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,295.2,627.7,377.86,354.91,184,524.58,439.87,-279.27,367.03,449.67
Tax,19.92,121.51,16.46,25.89,-131.92,162.61,23.15,-657.47,-0.51,38.03
Net profit,275.28,506.19,361.4,329.02,315.92,361.97,416.72,378.2,367.54,411.64
Operating Profit,174.08,253.31,303.96,267.87,-210.07,-357.72,326.05,-414.26,265.34,275.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1994.88,1995.29,1998.48,2011.74,2017.38,2018.8,2020.94,2112.62,2149.4,2150.94
Reserves,546.4,1108.2,1827.84,2693.37,3625.22,4787.82,6618.85,13500.71,10843.74,12515.4
Borrowings,,,,,,,600,600,950,950
Other Liabilities,66767.24,73440.89,91270.25,105777.71,124377.81,125417.23,170415.25,214521.12,233928.85,287070.61
Total,69308.52,76544.38,95096.57,110482.82,130020.41,132223.85,179655.04,230734.45,247871.99,302686.95
Net Block,346.03,335.2,337.37,336.42,370.16,322.3,584.68,6605.24,997.2,420.34
Capital Work in Progress,6.44,12.16,16.09,5.28,10.19,8.41,14.24,19.8,30.79,
Investments,67023.56,74143.68,91723.43,106589.88,124957.97,127255.71,173563.57,216550.64,238197.1,292284.25
Other Assets,1932.49,2053.34,3019.68,3551.24,4682.09,4637.43,5492.55,7558.77,8646.9,9982.36
Total,69308.52,76544.38,95096.57,110482.82,130020.41,132223.85,179655.04,230734.45,247871.99,302686.95
Receivables,,,,,205.5,,,,,
Inventory,,,,,,,,,,
Cash & Bank,572.5,727.39,797.38,1110.5,1244.45,690.75,1099.26,1375.15,1168.55,1558.61
No. of Equity Shares,1994880096,1995288138,1998475283,2011740043,2017381157,2018798399,2020943966,2112619200,2149396100,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,4459.49,5687.45,6230.24,6739.28,9868.3,7387.66,9702.84,5942.54,6883.17,10721.35
Cash from Investing Activity,-3514.47,-3962.02,-5177.27,-4420.91,-10182.02,-7789.29,-8951.67,-800.85,-10071.32,-13616.71
Cash from Financing Activity,-167.56,-212.43,-235.58,-196.35,-337.17,37.97,678.29,-238.19,1984.71,-403.39
Net Cash Flow,777.46,1513,817.39,2122.03,-650.89,-363.66,1429.45,4903.51,-1203.44,-3298.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,454.45,378.5,441.35,696.2,538.2,499.2,633.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,199.49,199.53,199.85,201.17,201.74,201.88,202.09,211.26,214.94,215.09
