COMPANY NAME,POWER GRID CORPORATION OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,296.15,,,,,,,,,
Market Capitalization,275528.62,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,15555.22,17539.96,20652.08,25697.44,29953.62,35059.12,37743.54,39639.79,41621.64,45581.28
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,125.41,174.35,161.29,228.02,244.12,266.13,287.04,268.7,297.82,311.28
Other Mfr. Exp,629.34,516,529.47,675.05,757.08,964.13,943.57,991.77,1099.13,1117.61
Employee Cost,1496.17,1706.47,1503.19,1911.6,2150.29,2300.54,2448.57,2598.44,2637.05,2767.47
Selling and admin,638.88,710.14,719.17,655.18,935.8,965.85,1046.63,908.94,1040.36,1251.82
Other Expenses,-301.41,-494.2,-444.92,-222.37,-94.67,3642.97,132.01,-33.77,721.7,1553.1
Other Income,725.21,731.47,655.71,932.84,4064.88,1505.19,2820.47,768.88,4691.94,2088.94
Depreciation,4079.38,5173.33,6181.82,7722.25,9230.99,10540.95,11607.04,12039.19,12871.66,13333.38
Interest,3253.66,4081.23,5086.23,6203.55,7324.14,8736.57,9509,8134.69,8036.22,9633.94
Profit before tax,6359,6404.11,7571.54,9457,13470.75,9147.17,14590.15,15500.71,19609.64,17701.62
Tax,1811.42,1357.86,1612.93,2006.27,5266.75,-886.35,3530.75,3464.25,2785.57,2284.5
Net profit,4547.58,5046.25,5958.61,7450.73,8204,10033.52,11059.4,12036.46,16824.07,15417.12
Dividend Amount,1349.75,1046.32,1208.5,2275.74,2746.58,4357.91,5231.59,6277.91,10288.79,10288.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,10266.98,10446.88,10686.77,10905.21,11150.57,11261.78,12263.72,11048.13,11267.07,11549.79
Expenses,1495.87,1414.8,1982.74,1660.53,1785.04,1368.34,1433.03,1716.32,1557.05,1374.81
Other Income,276.27,276.73,736.86,341.54,198.87,500.47,293.72,209.47,263.36,380.38
Depreciation,3194.56,3285.51,3279.09,3295.26,3317.31,3406.82,3313.99,3265.75,3277.04,3293.46
Interest,1884.52,1845.08,2090.66,1959.7,2187.37,3011.75,2475.12,2057.23,2341.26,2446.13
Profit before tax,3968.3,4178.22,4071.14,4331.26,4059.72,3975.34,5335.3,4218.3,4355.08,4815.77
Tax,591.92,885.25,-85.3,529.97,409.43,330,1012.43,621.14,573.66,787.52
Net profit,3376.38,3292.97,4156.44,3801.29,3650.29,3645.34,4322.87,3597.16,3781.42,4028.25
Operating Profit,8771.11,9032.08,8704.03,9244.68,9365.53,9893.44,10830.69,9331.81,9710.02,10174.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,5231.59,5231.59,5231.59,5231.59,5231.59,5231.59,5231.59,5231.59,6975.45,6975.45
Reserves,29466.35,33207.14,38738.34,44633.91,49194.4,53856.8,59463.76,64704.48,69271.68,76039.06
Borrowings,84219.58,96243.41,108544.91,118987.91,131502.96,146376.36,148269.64,143232.5,134695.63,126661.2
Other Liabilities,22562.38,26102.3,26797.05,26808.84,39425.41,41915.55,43706.14,42539.4,40007.54,40626.9
Total,141479.9,160784.44,179311.89,195662.25,225354.36,247380.3,256671.13,255707.97,250950.3,250302.61
Net Block,74251.67,91191.06,115094.18,137677.86,156198.27,172739.62,181112.13,183725.97,191772.84,185436.99
Capital Work in Progress,50069.07,53681.28,45610.96,38264.34,37668.57,37631.06,35177.41,24837.79,12853.6,13772.32
Investments,423.44,219.59,918.55,1164.96,1223.97,1296.42,1431.08,1485.55,3787.64,3489.11
Other Assets,16735.72,15692.51,17688.2,18555.09,30263.55,35713.2,38950.51,45658.66,42536.22,47604.19
Total,141479.9,160784.44,179311.89,195662.25,225354.36,247380.3,256671.13,255707.97,250950.3,250302.61
Receivables,1618.29,2206.96,2739.47,3131.93,3640.02,4728.1,5040.71,8629.42,9189.33,12961.35
Inventory,713.71,739,727.59,924.2,1087.66,1269.96,1451.37,1385.44,1364.04,1347.01
Cash & Bank,4974.37,2988.55,2243.35,3353.63,2189.02,4336.65,5453.9,5358.71,5048.18,7384.58
No. of Equity Shares,5231589600,5231589648,5231589648,5231589648,5231589648,5231589648,5231589648,5231589648,6975452864,6975452864
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,15222.52,15800.08,15008.08,21575.27,22710.12,23271.16,30738.63,29402.68,26123.52,38004.74
Cash from Investing Activity,-26639.12,-24184.66,-21576.5,-23835.97,-25701.45,-18727.45,-10733.49,-9243.99,752.79,-6125.7
