COMPANY NAME,ITC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,425.1,,,,,,,,,
Market Capitalization,530845.89,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,35306.43,38817.15,39192.1,42767.6,43448.94,48339.58,49387.7,49257.45,60644.54,70919.03
Raw Material Cost,13353.03,15007.9,13763.88,15456.59,14827.72,17623.52,18048.6,20776.71,27071.07,29364.36
Change in Inventory,112.74,235.72,195.38,-592.57,-1027.76,203.19,703.13,645.27,686,358.59
Power and Fuel,644.96,610.67,571.88,584.33,653.5,746.73,780.85,699.56,889.77,1232.34
Other Mfr. Exp,1395.57,1533.25,1581.59,1683.9,1697.62,1871.01,1908.29,1587.18,1887.67,2327.8
Employee Cost,2504.24,2772.28,3440.97,3631.73,3760.9,4177.88,4295.79,4463.33,4890.55,5736.22
Selling and admin,3361.2,3876.19,4261.78,4179.74,3954.87,4546.39,4488.63,4236.77,4858.38,5604.08
Other Expenses,1080.27,1000.96,1235.89,1169.23,1005.98,1039.85,1225.13,1074.39,1109.95,1308.56
Other Income,965.74,1229.35,1483.11,1758.63,2239.81,2080.44,2417.32,2576.95,1909.72,2097.64
Depreciation,964.92,1027.96,1077.4,1152.79,1236.28,1396.61,1644.91,1645.59,1732.41,1809.01
Interest,29.17,90.96,78.13,49.03,115.01,71.4,81.38,57.97,59.99,77.77
Profit before tax,13051.55,14362.05,14859.07,16026.32,17409.11,19149.82,20034.57,17938.17,20740.47,25915.12
Tax,4060.93,4596.42,5358.21,5549.09,5916.43,6313.92,4441.79,4555.29,5237.34,6438.4
Net profit,8891.38,9663.17,9344.45,10289.44,11271.2,12592.33,15306.23,13161.19,15242.66,19191.66
Dividend Amount,4771.92,5009.69,6840.12,5770.02,6285.21,7048.7,12476.58,13231.96,14171.8,19263.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,13757.15,17108.16,16555.53,18489.45,17107.99,17704.52,17634.89,17164.46,17774.47,18019.37
Expenses,8739.55,11510.49,10956.13,12412.32,10848.89,10999.82,11010.89,10494.39,11320.23,11515.55
Other Income,468.77,421.92,498.62,320.73,454.68,595.43,682.52,722.3,664.88,651.31
Depreciation,421.73,429.59,466.96,438.12,462.38,447.11,461.4,442.46,453.04,459.45
Interest,9.75,9.56,10.71,9.25,12.59,9.21,12.15,9.9,9.87,13.6
Profit before tax,5054.89,5580.44,5620.35,5950.49,6238.81,6843.81,6832.97,6940.01,6656.21,6682.08
Tax,1291.16,1461.64,1360.67,1488.24,1568.49,1773.72,1607.95,1759.89,1700.31,1281.57
Net profit,3713.76,4056.73,4195.69,4389.76,4619.77,5006.65,5175.48,5104.93,4898.07,5335.23
Operating Profit,5017.6,5597.67,5599.4,6077.13,6259.1,6704.7,6624,6670.07,6454.24,6503.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,795.32,801.55,804.72,1214.74,1220.43,1225.86,1229.22,1230.88,1232.33,1242.8
Reserves,26441.64,30933.94,41874.8,45198.19,51289.68,57915.01,64044.04,59116.46,61223.24,67912.46
Borrowings,242.41,268.8,83.78,45.72,35.92,13.44,277.45,270.83,249.44,306.04
Other Liabilities,13369.04,13947.93,8888.04,9439.67,11694.85,12584.73,11760.04,13142.59,14491.01,16369.66
Total,40848.41,45952.22,51651.34,55898.32,64240.88,71739.04,77310.75,73760.76,77196.02,85830.96
Net Block,12921.3,15303.28,15106.63,15893.48,16523.96,19374.19,21713.34,23298.48,24231.59,25851.27
Capital Work in Progress,3117.37,2700.2,2559.72,3729.89,5508.33,4136.42,3256.46,4011.29,3225.54,3003.3
Investments,7284.02,6942.77,11747.59,17581.38,22052.86,25043.49,28663.35,24870.87,24841.01,29415.02
Other Assets,17525.72,21005.97,22237.4,18693.57,20155.73,23184.94,23677.6,21580.12,24897.88,27561.37
Total,40848.41,45952.22,51651.34,55898.32,64240.88,71739.04,77310.75,73760.76,77196.02,85830.96
Receivables,2439.21,1982.07,1917.18,2474.29,2682.29,4035.28,2562.48,2501.7,2461.9,2956.17
Inventory,8255.24,8586.87,9062.1,8116.1,7495.09,7859.56,8879.33,10397.16,10864.15,11771.16
Cash & Bank,3490.19,7896.22,6063.3,2967.4,2899.6,4152.03,7277.34,4659.02,4654.42,4880.19
No. of Equity Shares,7953182950,8015519541,8047206991,12147383071,12204294911,12258631601,12292231241,12308844231,12323255931,12428017741
New Bonus Shares,,,,4026657100,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,7343.58,9843.2,9799.04,10627.31,13169.4,12583.41,14689.66,12526.97,15775.51,18877.55
