COMPANY NAME,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,578.25,,,,,,,,,
Market Capitalization,83329.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,34453.35,20849.45,37816.09,38832.31,41462.91,21024.94,83181.86,62305.14,49404.07,89683.04
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,30244.52,735.01,32527.22,32760.91,35991.31,16049.27,78463.87,56840.69,42955.52,
Employee Cost,683.25,11.89,820.72,965.3,968.36,1034.78,997.37,1203.39,1453.8,1624.42
Selling and admin,1734.6,20.3,2607.93,2997.63,3672.43,1553.77,1447.71,2180.36,2768.8,1731.12
Other Expenses,135.54,18240.49,54.12,337.74,289.72,2706.5,2663.13,3338.25,3025.52,87328.59
Other Income,42.76,0.05,130.28,132.06,813.32,1578.36,1669.33,2285.48,1967.88,2029.43
Depreciation,39.6,0.05,57.87,43.68,56.72,60.56,59.86,67.01,83.76,
Interest,16.84,0.06,15.26,20.15,23.26,,,,,
Profit before tax,1641.76,1841.7,1863.25,1838.96,1274.43,1198.42,1219.25,960.92,1084.55,1028.34
Tax,1.41,191.56,181.59,219.81,135.5,131.44,263.1,201.72,271.05,177.68
Net profit,1640.35,1650.15,1681.66,1619.17,1138.93,1066.98,956.16,759.2,813.49,850.66
Dividend Amount,836.84,1203.15,1054.98,961.78,452.27,114.87,287.19,79.05,86.31,86.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,9929.81,13002.76,-1610.87,22604.88,17426.26,10983.81,23383.59,17388.31,26429.55,22481.61
Expenses,9627.88,13700.61,-1483.34,22869.08,17501.95,11399.72,23663.28,17681.73,26584.41,22754.71
Other Income,57.51,1012.96,328.45,506.97,352.25,780.2,495.96,569.77,420.15,543.51
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,359.44,315.11,200.92,242.77,276.56,364.29,216.27,276.35,265.29,270.41
Tax,47.44,128.23,44.36,42.65,55,129.03,10.08,32.47,38.37,96.74
Net profit,312,186.88,156.56,200.12,221.56,235.26,206.19,243.88,226.92,173.67
Operating Profit,301.93,-697.85,-127.53,-264.2,-75.69,-415.91,-279.69,-293.42,-154.86,-273.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1431.72,1432.32,1435.35,1435.5,1435.78,1435.86,1435.97,1437.31,1438.57,1440.62
Reserves,3832.54,3891.02,4970.68,5138.19,5435.35,5776.6,7673.28,7720.67,8650.95,9563.63
Borrowings,,1028.94,,,,,1200,1200,1200,1200
Other Liabilities,95950.55,98412.72,118334.79,135245.18,156215.08,148818.36,206910.64,234079.45,244561.78,286796.4
Total,101214.81,104765,124740.82,141818.87,163086.21,156030.82,217219.89,244437.43,255851.3,299000.65
Net Block,209.14,212.1,206.56,404.48,462.76,932.36,911.29,916.43,968.4,719.38
Capital Work in Progress,5.96,7.49,7.23,17.58,12.94,20.42,21.73,54.37,117.21,
Investments,99490.69,103023.81,121580.63,138537.41,159003.14,150775.5,211726.74,237618.14,247726.47,289727.92
Other Assets,1509.02,1521.6,2946.4,2859.4,3607.37,4302.54,4560.13,5848.49,7039.22,8553.35
Total,101214.81,104765,124740.82,141818.87,163086.21,156030.82,217219.89,244437.43,255851.3,299000.65
Receivables,,150.86,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,255.48,200.23,213.73,203.81,661.04,811.92,558.34,670.93,775.22,837.74
No. of Equity Shares,1431716991,1432319348,1435347110,1435498710,1435784481,1435862591,1435974231,1437306101,1438571396,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,523.47,3633.84,4129.7,5689.89,11376.83,8596.42,7313.59,1831.14,89.49,-7315.05
Cash from Investing Activity,-1821.87,27.1,-696.32,-5388.76,-7558.67,-10797.35,-5084.08,-815.58,-1145.41,7419.88
Cash from Financing Activity,-965.56,-1442.36,-993.92,-1187.73,-843.38,-405.28,1204.55,-319.3,-112.34,-87.85
Net Cash Flow,-2263.96,2218.58,2439.46,-886.6,2974.77,-2606.21,3434.05,696.25,-1168.26,16.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,382.4,388.6,350.25,355.7,445.6,500.9,435.7,608.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,143.17,143.23,143.53,143.55,143.58,143.59,143.6,143.73,143.86,144.06
