COMPANY NAME,L T FOODS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,215.3,,,,,,,,,
Market Capitalization,7501.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2458.82,2715.78,2954.54,3244.78,3613.7,3890.43,4135.09,4741.92,5427.37,6935.79
Raw Material Cost,1932.08,2031.28,2003.2,2500.02,2670.34,2830.54,2777.86,3487.14,3420.67,4703.09
Change in Inventory,152.34,32.89,-28.44,213.22,153.32,34.57,-97.37,446.65,-48.36,289.28
Power and Fuel,23.69,28.58,33.22,30.32,31.81,36.23,39.15,44.46,31.04,36.29
Other Mfr. Exp,91.67,92.79,113.26,166.65,205.72,223.13,183.77,240.54,262.28,317.95
Employee Cost,63.97,74.34,89.97,117.14,135.35,152.15,198.9,264.46,289.87,359.95
Selling and admin,209.44,231.66,337.16,281.36,332.57,273.98,350.54,564.9,766.36,1093.07
Other Expenses,24.81,26.27,-7.32,4.32,14.93,8.92,20.23,24.68,16.66,14.01
Other Income,16.38,45.19,-37.74,47.84,36.2,21.28,33.32,31.48,22.83,70.88
Depreciation,37.4,46.57,51.52,55.1,50.12,69.02,91.37,108.49,122.63,126.91
Interest,113.42,151.15,147.8,156.77,146.58,138.68,132.27,87.39,68.73,82.1
Profit before tax,131.06,111.22,119.55,194.16,215.8,213.63,276.95,397.99,423.6,562.58
Tax,46.26,34.8,47.08,64.89,71.38,76.16,77.64,108.92,114.39,139.82
Net profit,78.33,72.49,72.11,117.21,134.66,126.53,184.5,274.05,292.18,402.65
Dividend Amount,5.92,5.29,4,4,4.8,4.8,15.99,31.98,31.98,34.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1319.79,1368.22,1526.31,1611.1,1724.84,1778.47,1821.38,1778.08,1977.79,1941.73
Expenses,1166.87,1218.93,1375.73,1445.08,1553.2,1612.69,1625.01,1564.4,1737.29,1703.09
Other Income,2.74,0.36,10.92,9.27,7.42,21.54,33.55,25.07,25.68,19.63
Depreciation,29.23,29.85,34.64,29.45,30.23,32.11,35.12,35.55,36,36.09
Interest,16.26,16.84,18.76,16.89,17.59,21.82,25.8,21.96,19.05,18.5
Profit before tax,110.17,102.96,108.1,128.95,131.24,133.39,169,181.24,211.13,203.68
Tax,29.34,26.03,32.84,33.78,35.84,33.02,37.19,43.79,53.87,51.04
Net profit,76.63,71.42,71.51,89.69,89.5,95.27,128.19,137.44,155.97,151.18
Operating Profit,152.92,149.29,150.58,166.02,171.64,165.78,196.37,213.68,240.5,238.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,26.31,26.45,26.66,26.66,31.98,31.98,31.98,31.98,31.98,34.73
Reserves,364.63,436.27,510.11,638.24,1147.46,1297.14,1449.35,1723.5,1965.63,2722.34
Borrowings,1502.3,1691.74,1597.22,1610.31,1547.76,1690.4,1764.25,1569.84,1319.63,1220.74
Other Liabilities,299.47,290.87,330.34,459.9,529.16,553.78,572.87,786.99,1041.81,1341.1
Total,2192.71,2445.33,2464.33,2735.11,3256.36,3573.3,3818.45,4112.31,4359.05,5318.91
Net Block,349.69,370.39,361.22,373.55,566.29,601.21,905.96,879.85,905.29,995.25
Capital Work in Progress,18.56,14.65,24.43,39.5,27.54,42.18,17.25,32.68,34.99,26.62
Investments,5.12,6.94,6.42,14.26,14.26,36.06,33.36,28.72,24.93,126.98
Other Assets,1819.34,2053.35,2072.26,2307.8,2648.27,2893.85,2861.88,3171.06,3393.84,4170.06
Total,2192.71,2445.33,2464.33,2735.11,3256.36,3573.3,3818.45,4112.31,4359.05,5318.91
Receivables,326.13,317.92,375.73,462.84,467.99,534.87,619.63,486.73,611.27,674.35
Inventory,1349.35,1362.22,1299.58,1446.97,1728.71,1891.25,1750.23,2222.81,2351.84,3072.39
Cash & Bank,35.07,21.21,32.32,41.51,29.06,37.67,24.92,29.97,39.14,38.99
No. of Equity Shares,26305609,26453582,26663187,266631870,319844780,319844780,319844780,319844780,319844780,347252944
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,103.63,8.99,297.15,226.72,60.2,102.55,477.18,444.65,517.47,258.37
Cash from Investing Activity,-51.81,-57.69,-53.62,-82.88,-233.27,-136.71,-83.44,-100.84,-144.69,-394.6
Cash from Financing Activity,-44.66,32.13,-235.34,-137.23,159.81,43.89,-403.79,-346.1,-357.55,136.31
Net Cash Flow,7.16,-16.58,8.19,6.6,-13.25,9.73,-10.06,-2.29,15.23,0.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
