COMPANY NAME,JYOTHY LABS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,457.3,,,,,,,,,
Market Capitalization,16765.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1323.87,1514.84,1592.75,1682.99,1672.38,1813.58,1711.17,1909.12,2196.49,2486.02
Raw Material Cost,696.12,782.62,834.87,900.17,871.74,980.99,933.43,1037.28,1286.29,1438.22
Change in Inventory,1.74,5.16,-1.15,6.06,-3.57,10.29,32.51,26.89,3.32,3.34
Power and Fuel,26.86,29.22,26.5,27,27.74,29.31,30.83,27.82,28.91,32.22
Other Mfr. Exp,13.92,21.51,22.89,23.08,15.19,8.98,11.05,12.35,13.33,20.67
Employee Cost,138.19,179.03,181.12,175.31,190.82,207.68,219.48,232.65,247.66,264.65
Selling and admin,279.57,332.32,273.14,278.68,262.57,275.15,257.07,275.11,329.07,363.07
Other Expenses,17.13,10.95,29.89,29.44,43.28,40.15,40.43,35.97,46.16,54.67
Other Income,7.62,6.49,13.16,9.81,62.46,27.21,15.91,-5.38,18.51,46.57
Depreciation,24.32,32.55,31.4,30.06,31.13,30.57,52.92,55.59,58.17,50.12
Interest,55.27,13.77,61.84,56.47,48.07,35.22,32.88,19.23,11.81,13.09
Profit before tax,81.85,124.52,143.11,178.65,240.73,243.03,181.5,234.63,196.92,299.22
Tax,0.63,3.54,69.28,-25.5,61.87,45.43,18.92,43.98,37.79,59.49
Net profit,81.43,121.12,78.08,208.13,186.07,205.09,170.34,199.45,161.97,239.73
Dividend Amount,54.3,72.4,90.55,109.02,9.09,110.16,110.16,146.88,91.8,110.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,585.35,539.03,546.71,597.2,659.2,612.67,616.95,687.1,732.34,677.5
Expenses,518.79,477.87,489.46,537.37,578.78,528.31,525.69,569.68,596.97,558.87
Other Income,4.76,3.63,5.73,13.23,12.37,15.26,5.7,16.94,13.23,10.59
Depreciation,13.89,14.45,15.42,13.04,13.02,12.16,11.9,11.96,12.31,12.83
Interest,2.9,3,2.85,3.3,3.46,3.21,3.12,1.11,1.17,1.19
Profit before tax,54.53,47.34,44.71,56.72,76.31,84.25,81.94,121.29,135.12,115.2
Tax,10.56,9.32,7.77,8.99,10.96,16.86,22.68,25.04,31.14,24.28
Net profit,44.57,38.43,37.98,48.45,64.64,67.39,59.03,96.29,104.15,90.89
Operating Profit,66.56,61.16,57.25,59.83,80.42,84.36,91.26,117.42,135.37,118.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,18.1,18.1,18.11,18.17,18.18,36.72,36.72,36.72,36.72,36.72
Reserves,716.28,761.56,883.37,1070.84,1126.03,1289.81,1191.92,1391.83,1406.84,1512.27
Borrowings,533.6,569.37,450.82,498.26,544.12,280.95,282.97,168.06,171.24,46.54
Other Liabilities,385.53,467.69,417.27,265.83,290.62,334.8,324.57,359.39,407.98,466.18
Total,1653.51,1816.72,1769.57,1853.1,1978.95,1942.28,1836.18,1956,2022.78,2061.71
Net Block,1094.09,1074.02,1067.78,1097.02,1090.71,1100.6,1149.18,1146.75,1121.83,1116.34
Capital Work in Progress,4.24,16.19,7.92,8.77,15.31,14.35,24.5,10.11,7.59,15.48
Investments,60.95,193.52,85.92,28.48,113.18,104.45,0.03,,,
Other Assets,494.23,532.99,607.95,718.83,759.75,722.88,662.47,799.14,893.36,929.89
Total,1653.51,1816.72,1769.57,1853.1,1978.95,1942.28,1836.18,1956,2022.78,2061.71
Receivables,66.83,57.42,94.11,117.12,160.75,153.38,122.38,94.35,143.08,137.82
Inventory,173.8,185.2,185.08,196.37,188.35,202.29,225.07,278.64,297.23,301.86
Cash & Bank,69.84,74.63,61.2,103.44,136.67,96.37,28.94,193.83,211.2,283.47
No. of Equity Shares,181023496,181023496,181119680,181683724,181794087,367208644,367208644,367208644,367208644,367208644
New Bonus Shares,,,,,,181794087,181794087,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,129.96,166.3,192.19,163.32,242.28,301.51,171.47,402.16,202.56,328.6
Cash from Investing Activity,-91.13,-25.68,108.18,-17.05,-74.15,30.27,72.46,-129.12,-31.71,-48.29
Cash from Financing Activity,37.07,-18.07,-302.45,-129.84,-145.32,-318.45,-303.85,-216.1,-166.69,-250.68
Net Cash Flow,75.9,122.54,-2.08,16.44,22.81,13.33,-59.92,56.94,4.16,29.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,103.63,133.65,145.7,176.33,197.93,183,92.2,136.8,147.45,190.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
