COMPANY NAME,UTI ASSET MANAGEMENT COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,898.15,,,,,,,,,
Market Capitalization,11431.47,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,497.4,502.01,934.21,1134.45,1050.51,854.08,1168.55,1319.13,1266.91,1736.96
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,3.6,3.61,4.98,5.78,5.4,5.71,3.5,4.1,4.63,
Other Mfr. Exp,6.65,8.08,15.11,16.15,21.33,22.18,20.9,21.06,23.52,
Employee Cost,166.82,171.62,285.43,305.44,307.52,341.22,382.08,409.31,417.82,439.33
Selling and admin,61.99,62.69,123.76,120.73,120.73,125.46,92.33,171.2,189.66,
Other Expenses,52.76,52.28,69.63,128.49,97.27,10.97,27.09,15.33,19.19,264.23
Other Income,2.43,1.01,12.65,22.12,30.32,35.7,4.22,8.05,23.02,6.97
Depreciation,9.19,9.55,12.8,14.41,29.15,33.59,35.78,36.82,39.94,42.26
Interest,,,0.04,,8.19,9.35,8.06,9.18,9.55,11.27
Profit before tax,198.82,195.19,435.11,565.57,491.24,341.3,603.03,660.18,585.62,986.84
Tax,60.08,48.56,114.43,163.95,143.32,66.38,108.7,125.59,145.94,184.81
Net profit,138.94,146.63,320.68,401.62,352.83,271.46,494.14,534.29,437.36,765.68
Dividend Amount,34.38,34.38,50.72,63.4,63.4,88.75,215.54,266.6,279.36,598.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,308.59,301.09,293.09,435,295.15,300.69,467.77,404.06,449.05,416.08
Expenses,148.71,195.87,190.51,165,177.82,178.72,167.98,172.54,176.2,187.58
Other Income,-0.02,3.83,12.87,4.13,-1.76,7.99,0.8,1.52,1.16,4.23
Depreciation,9.3,9.47,9.57,9.97,10.28,10.12,9.63,10.44,10.43,11.76
Interest,2.55,2.24,2.3,2.38,2.46,2.41,2.54,2.84,2.88,3.01
Profit before tax,148.01,97.34,103.58,261.78,102.83,117.43,288.42,219.76,260.7,217.96
Tax,21.08,43.43,12.08,59.74,42.39,31.73,54.01,36.95,57.33,36.52
Net profit,126.53,53.99,91.51,199.71,60.44,85.7,234.41,182.81,185.7,162.76
Operating Profit,159.88,105.22,102.58,270,117.33,121.97,299.79,231.52,272.85,228.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,125,125,126.79,126.79,126.79,126.79,126.79,126.95,126.98,127.26
Reserves,743.13,854.71,1789.04,2160.9,2477.59,2645.51,3125.18,3493.22,3740.86,4260.91
Borrowings,,,,,,,,,,
Other Liabilities,218.34,202.36,204.76,262.41,408.89,392.98,398.38,362.87,307.09,952.85
Total,1086.47,1182.07,2120.59,2550.1,3013.27,3165.28,3650.35,3983.04,4174.93,5341.02
Net Block,208.33,201.41,277.67,272.81,351.22,372.67,359.58,357.33,368.41,411.63
Capital Work in Progress,,,3.12,5.44,0.88,1.04,5.13,8.33,9.06,3.07
Investments,645.64,720.31,1542.78,1932.48,2261.37,2355.75,2746.88,2994.44,3247.9,4428.33
Other Assets,232.5,260.35,297.02,339.37,399.8,435.82,538.76,622.94,549.56,497.99
Total,1086.47,1182.07,2120.59,2550.1,3013.27,3165.28,3650.35,3983.04,4174.93,5341.02
Receivables,6.58,25.21,7.55,27.74,27.55,45.61,45.52,80.09,93.81,83.34
Inventory,,,,,,,,,,
Cash & Bank,46.95,62.48,110.17,149.24,124.18,119.25,331.74,398.55,357.21,319.98
No. of Equity Shares,125000000,125000000,126790000,126790000,126790000,126790000,126790000,126949041,126983695,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,72.45,323.66,316.45,122.71,180.53,152.93,337.04,395.43,325.12
Cash from Investing Activity,,-21.88,-242.08,-232.89,-25.78,-101.82,-56.64,-59.81,-92.51,-145.79
Cash from Financing Activity,,-35.04,-65.22,-44.49,-122.94,-83.64,-104.14,-215.23,-266.89,-237.88
Net Cash Flow,,15.53,16.36,39.07,-26.01,-4.93,-7.85,62,36.03,-58.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,583,994.6,641.95,813
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,12.5,12.5,12.68,12.68,12.68,12.68,12.68,12.69,12.7,12.73
