COMPANY NAME,JK TYRE & INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,392.95,,,,,,,,,
Market Capitalization,10252.8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7583.14,7314.62,6898.23,7689.37,8272.1,10367.76,8722.7,9102.2,11982.96,14644.94
Raw Material Cost,4930.33,4488.35,3863.3,4535.3,5337.59,6979.5,5351.47,5364.85,8390.24,10071.76
Change in Inventory,38.45,-83.23,-6.13,192.24,87.86,294.9,14.46,-103.85,350.95,60.82
Power and Fuel,292.74,277.51,263.86,326.96,361.78,418.57,379.32,355.48,493.97,575.52
Other Mfr. Exp,200.68,198.95,82.8,104.13,114.55,141.74,252.6,234.08,280.6,336.82
Employee Cost,754.97,728.85,782.98,893.29,829.48,915.35,931.58,922.74,1075.7,1220.36
Selling and admin,472.88,506.51,385.19,456.29,548.45,595.16,580.63,567.16,743.85,826.55
Other Expenses,98.68,100.46,397.36,433.23,431.04,500.43,255.96,247.7,276.19,376.94
Other Income,-41.2,-30.03,11.46,134.51,134.7,-4.7,-75.55,80.55,40.1,-25
Depreciation,179.47,157.77,216.13,291.32,299.46,315.67,377.83,386.69,385.36,407.06
Interest,276.2,257.41,252.43,440.36,465.5,521.08,548.99,465.85,419.09,454.5
Profit before tax,374.44,485.55,659.51,535.24,106.81,270.46,-16.77,534.35,309.01,411.25
Tax,118.82,161.66,202.72,155.42,43.89,94.17,-165.78,200.91,108.71,146.51
Net profit,263.02,329.66,467.31,375.4,66.04,176.34,150.76,319.34,210.02,262.48
Dividend Amount,20.53,34.02,56.7,56.7,34.02,36.94,17.24,49.25,36.94,49.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2986.66,3076.03,3311.83,3643.03,3756.52,3612.92,3632.47,3718.08,3897.53,3687.72
Expenses,2694.25,2802.55,3083.92,3358.15,3459.13,3273.58,3256.27,3260.96,3308.39,3137.54
Other Income,12.9,14.58,13.31,-27.95,-15.28,-4.43,22.66,12.68,4.94,8.21
Depreciation,97.14,95.88,96.12,100.68,99.16,101.6,105.62,105.81,108.04,110.9
Interest,106.39,104.02,100.74,99.14,109.39,120.58,125.39,122.24,109.22,106.86
Profit before tax,101.78,88.16,44.36,57.11,73.56,112.73,167.85,241.75,376.82,340.63
Tax,37.59,34.43,5.93,23.24,24.72,43.22,55.33,82.41,126.57,113.64
Net profit,66.56,56.94,40.2,37.2,51.31,65.59,108.38,153.87,242.11,220.92
Operating Profit,292.41,273.48,227.91,284.88,297.39,339.34,376.2,457.12,589.14,550.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,41.06,45.36,45.36,45.36,45.36,49.25,49.25,49.25,49.25,49.25
Reserves,1043.69,1355.65,1706.07,1919.42,1915.74,2235.15,2282.1,2623.49,2799.06,3346.91
Borrowings,2704.69,2974.78,2899.81,5654.65,5811.28,5757.51,5548.71,4800.7,5220.38,4882.35
Other Liabilities,2253.17,2528.03,2400.81,2775.57,2762.46,3226.91,3333.18,3467,4092.04,4060.53
Total,6042.61,6903.82,7052.05,10395,10534.84,11268.82,11213.24,10940.44,12160.73,12339.04
Net Block,2690.33,2701.3,3746.81,5794.44,6142.43,6227.61,6381.67,6242.38,6429,6467.11
Capital Work in Progress,177.1,830.32,105.72,325.52,308.51,269.76,284.3,299.12,106.23,194.97
Investments,115.44,140.26,160.31,73.15,128.22,131.17,140.23,147.02,132.75,143.96
Other Assets,3059.74,3231.94,3039.21,4201.89,3955.68,4640.28,4407.04,4251.92,5492.75,5533
Total,6042.61,6903.82,7052.05,10395,10534.84,11268.82,11213.24,10940.44,12160.73,12339.04
Receivables,1335.08,1434.58,1402.71,1794.64,1545.32,1945.1,1848.42,1575.42,1979.86,2283.22
Inventory,936.79,875.03,872.52,1320.42,1448.47,1689.09,1617.84,1789.29,2432.62,2170.53
Cash & Bank,236.25,190.58,139.43,295.3,130.72,169.67,136.52,173.79,175.65,265.8
No. of Equity Shares,41060000,226813480,226813480,226813480,226813480,246230880,246230880,246230880,246230880,246230880
New Bonus Shares,,,,,,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,654.81,734.15,903,105.69,637.44,796.81,1237.35,1598.44,346.05,1224.19
Cash from Investing Activity,-223.54,-805.7,-511.28,-807.38,-393.96,-261.21,-318.72,-134.41,-244.47,-397.76
Cash from Financing Activity,-335.19,-1.22,-422.38,829.95,-408.59,-521.59,-962.57,-1440.76,-96.19,-747.33
Net Cash Flow,96.08,-72.77,-30.66,128.26,-165.11,14.01,-43.94,23.27,5.39,79.1
,,,,,,,,,,
