COMPANY NAME,UNION BANK OF INDIA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,142.1,,,,,,,,,
Market Capitalization,108398.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,29393.53,32164.28,32315.67,32816.98,32951.57,34313.67,37479.22,69311.46,68229.66,81163.18
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,95.39,106.62,116.24,118.06,122.82,125.81,126.81,366.26,337.57,373.33
Employee Cost,3349.85,3849,3772.7,3513.63,3236.96,3242.47,3469.66,9496.99,10268.53,12530.16
Selling and admin,897.21,963.09,1060.47,1170.49,1268.92,1378.96,1575.72,2975.11,2948.12,3276.91
Other Expenses,4486.86,4578.82,5399.72,9068.9,16552.39,14271.39,15993.51,23432.09,18710.22,19974.18
Other Income,3140.73,3957.12,3934.44,5429.99,5462.08,5041.71,5789.27,14306.72,13524.41,15915.35
Depreciation,197.88,225.12,248.98,240.82,368.23,373.82,417.2,908.15,744.81,744.57
Interest,21466.72,23639.55,23894.04,23776.31,23470.9,23896.09,25836.81,44112.4,40178.47,48032.84
Profit before tax,2040.35,2759.2,1757.96,358.76,-6606.57,-3933.16,-4151.22,2327.18,8566.35,12146.54
Tax,370.79,1001.74,415.07,-207.99,-1385.93,-999.75,-1110.39,-500.84,3357.84,3716.2
Net profit,1676.11,1760.51,1356.44,572.64,-5212.47,-2922.35,-3120.89,2863.4,5265.32,8511.66
Dividend Amount,252.12,381.47,134.05,,,,,,1298.6,2050.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,16851.21,17072.28,17027.53,18255.95,19778.18,20966.05,22163,23613.18,24731.59,25520.92
Expenses,9410.45,7946,6940.17,8442.29,9598.38,8817.37,10041.18,7977.68,7962.05,8012.14
Other Income,4770.66,3160.91,2326.32,2948.5,3696.95,3669.39,5600.51,4209.11,4220.91,4281.06
Depreciation,,,,,,,,,,
Interest,9881.49,9761.56,10408.53,10597.6,11383.52,12241.68,13810.05,14664.19,15498.18,16235.51
Profit before tax,2329.93,2525.63,2005.15,2164.56,2493.23,3576.39,3912.28,5180.42,5492.27,5554.33
Tax,831.11,1463.28,463.75,608.13,654.13,1340.17,1113.69,1939.98,1944.02,1943.93
Net profit,1510.68,1077.4,1557.09,1583.1,1853.12,2263.66,2811.78,3271.65,3571.8,3625.39
Operating Profit,7440.76,9126.28,10087.36,9813.66,10179.8,12148.68,12121.82,15635.5,16769.54,17508.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,630.31,635.78,687.44,687.44,1168.57,1763.02,3422.82,6406.84,6834.75,6834.75
Reserves,18004.01,19263.39,22360.67,23406.23,24083.23,25072.63,30566.58,58330.93,64026.37,71968.76
Borrowings,326967.29,352618.34,374754.12,418420.2,455968.82,460780.41,505150.21,977576.16,1085612.95,1163058.51
Other Liabilities,9411.37,11048.39,9562.34,13167.34,9899.88,10964.48,16369.45,40063.47,37291.54,46495.09
Total,355012.98,383565.9,407364.57,455681.21,491120.5,498580.54,555509.06,1082377.4,1193765.61,1288357.11
Net Block,2621.17,2690.14,3939.33,3896.41,3824.46,3742.78,4733.68,7303.09,7171.3,8825.81
Capital Work in Progress,2.22,4.29,12.53,21.49,34.08,44.17,54.31,63.33,37.01,22.16
Investments,94636.35,85818.15,90573.21,113441.26,125484.8,128391.21,154251.49,339058.51,351839.04,343726.96
Other Assets,257753.24,295053.32,312839.5,338322.05,361777.16,366402.38,396469.58,735952.47,834718.26,935782.18
Total,355012.98,383565.9,407364.57,455681.21,491120.5,498580.54,555509.06,1082377.4,1193765.61,1288357.11
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,23320.64,22603.01,29616.81,32905.92,49480.36,43163.08,55248.8,84763.34,119758.22,112598.86
No. of Equity Shares,630306273,635778836,687441117,687441117,1168573400,1763016314,3422818852,6406844355,6834747466,6834747466
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2570.08,-3567.48,80.77,-6624.5,6097.42,-7778.4,-76.81,20527.34,36338.9,6111.43
Cash from Investing Activity,-362.99,-317.99,-8.72,-280.18,-314.92,-297.11,-3.77,-601.09,-557.71,-2561.05
Cash from Financing Activity,4902.35,3167.84,-1.91,10193.79,10791.94,1758.23,201.44,-18860.66,-786.31,-10654.15
Net Cash Flow,7109.44,-717.63,70.14,3289.11,16574.44,-6317.28,120.86,1065.59,34994.88,-7103.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
