COMPANY NAME,ALOK INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,25.75,,,,,,,,,
Market Capitalization,12775.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,24153.06,12923.97,8723.04,5513.75,3352.24,3297.68,3847.59,7309.5,6937.29,5509.59
Raw Material Cost,11396.34,9698.59,7725.34,5289.01,2224.36,2152.24,2372.53,4884.1,4597.25,3656.78
Change in Inventory,-4500.98,-585.2,-214.78,2.62,-49.91,7.46,338.58,277.53,-223.41,-97.04
Power and Fuel,735.24,396.45,411.96,400.05,459.99,507.52,526.03,799.91,847.73,686.07
Other Mfr. Exp,453.34,360.4,358.16,349.63,300.36,298.32,434.32,723.08,691.91,
Employee Cost,781.95,503.32,335.55,329,302.47,306.53,356.29,449.39,491.81,477.56
Selling and admin,613.77,327.98,329.99,124.86,130.14,74.83,58.87,61.41,63.69,
Other Expenses,628.96,3748.23,672.2,12547.81,14.67,104.01,242.49,105.11,100.01,544.41
Other Income,463.07,77.31,-65.43,211.06,7063.19,2082.36,-3865.48,44.91,64.72,23.22
Depreciation,1521.78,1062.79,560.71,544.61,549.51,541.84,295.1,342.16,364.91,324.62
Interest,3512.72,2873.56,3441.8,4711.33,4308.74,94.29,489.29,476.2,501.24,596.07
Profit before tax,471.05,-6555.24,-5392.88,-18568.87,2075.28,1307.92,-4454.23,-209.42,-879.95,-849.74
Tax,216.74,-2198.13,-2320.85,10.43,-0.88,-2.31,1219.09,-0.82,0.51,-2.92
Net profit,258.26,-4357.11,-3083.14,-18579.78,2076.16,1310.23,-5673.32,-208.6,-880.46,-846.82
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2129.6,2010.88,1971.52,1698.58,1717.6,1570.48,1410.25,1372.34,1253.03,1469.31
Expenses,1932.35,1857.34,1924.86,1710.06,1760.25,1640.18,1398.2,1336.28,1258.76,1463.96
Other Income,12.87,20.56,20.5,30.47,4.18,8.22,5.41,9.9,0.02,7.89
Depreciation,86.59,86.2,91.39,90.74,90.57,92.21,89.74,78.64,79.05,77.19
Interest,123.62,115.46,117.35,119.75,120.79,143.35,153.86,142.15,143.98,156.08
Profit before tax,-0.09,-27.56,-141.58,-191.5,-249.83,-297.04,-226.14,-174.83,-228.74,-220.03
Tax,,-0.8,,,,0.51,,,1.18,-4.1
Net profit,-0.09,-26.76,-141.58,-191.5,-249.83,-297.55,-226.14,-174.83,-229.92,-215.93
Operating Profit,197.25,153.54,46.66,-11.48,-42.65,-69.7,12.05,36.06,-5.73,5.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1377.33,1357.87,1357.87,1368.64,1368.64,221.08,496.53,496.53,496.53,496.53
Reserves,2265.04,3197.32,331.49,-18044.33,-15985.59,-12541.4,-18165.68,-18403.84,-19396.96,-20272.4
Borrowings,18008.52,22036.87,25505.79,27415.24,25345.66,29377.14,23935.94,24102.13,23922.41,26014.75
Other Liabilities,8289.89,6790.85,5510.81,7962.3,7285.82,851.42,1776.79,2032.75,2439.13,1167.95
Total,29940.78,33382.91,32705.96,18701.85,18014.53,17908.24,8043.58,8227.57,7461.11,7406.83
Net Block,8686.55,16644.73,16762.96,16062.82,15572.41,15033.03,6043.1,5819.5,5519.53,5214.89
Capital Work in Progress,99.5,41,6.08,4.45,0.53,0.35,10.76,7.57,15.01,17.95
Investments,1302.84,1188.69,184.13,94.61,95.57,94.58,0.05,0.05,0.05,0.05
Other Assets,19851.89,15508.49,15752.79,2539.97,2346.02,2780.28,1989.67,2400.45,1926.52,2173.94
Total,29940.78,33382.91,32705.96,18701.85,18014.53,17908.24,8043.58,8227.57,7461.11,7406.83
Receivables,7677.48,6041.03,10069.74,309.93,239.85,241.22,347.59,503.79,344.74,464.73
Inventory,8543,8299.89,3329.67,510.33,420.76,420.42,964.37,1284.42,1039.03,941.57
Cash & Bank,693.54,169.46,98.05,66.8,37.6,489.07,271.13,59.32,59.65,216.77
No. of Equity Shares,1377331816,1377331816,1357860000,1377331816,1377331816,2210720833,144175240401,4965254322,4965254322,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,3839.12,-3005.76,-3032.1,-97.89,115.4,-265.84,345.3,224.84,813.27,-1160.73
Cash from Investing Activity,156.14,448.97,-99.67,211.03,37.89,28.97,-203.3,-108.36,-129.49,-169.75
Cash from Financing Activity,-4631.01,2456.63,3172.14,-148.96,-180.13,598.99,-344.52,-293.18,-686.87,1363.95
