COMPANY NAME,USHA MARTIN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,334.25,,,,,,,,,
Market Capitalization,10199.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4561.1,4112.24,3881.94,2065.72,2488.25,2153.82,2097.28,2688.07,3267.76,3225.2
Raw Material Cost,1698.6,1759.5,1792.2,1288.7,1593.25,1157.57,1161.13,1544.73,1819.31,1651.6
Change in Inventory,65.82,-200.68,-41.74,9.8,80.95,-67.34,-9.63,57.55,12.98,18.27
Power and Fuel,413.61,535.79,488.73,111.57,130.81,119.51,100.02,125.8,163.96,
Other Mfr. Exp,907.74,450.89,420.58,64.12,76.25,88.12,81.41,110.89,121.81,
Employee Cost,393.87,373.67,371.68,248.8,279.12,306.4,298.22,330.76,373.71,427.63
Selling and admin,340.88,338.9,263.88,109.95,125,133.55,127.42,193.2,210.62,
Other Expenses,155.71,111.34,113.71,440.11,388.8,49.72,40.27,56.57,78,565.68
Other Income,-63.19,32.01,119.91,76.79,17.42,536.57,28.94,74.82,39.8,52.73
Depreciation,418.42,307.98,299.98,60.26,60.86,63.62,67.87,69.75,67.48,77
Interest,521.94,546.63,564.24,92.48,113.53,74.18,56.9,42.46,30.27,24.78
Profit before tax,-287.04,-481.13,-354.89,-263.68,-181,630.38,183.35,346.28,455.38,549.51
Tax,-35.64,-54.72,4.63,5.11,-227.46,209.73,36.44,54.85,104.78,125.39
Net profit,-253.12,-429.72,-358.91,-271.23,47.98,418.84,149.59,291.27,350.14,423.96
Dividend Amount,,,,,,,,61.08,76.35,83.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,712.15,766.56,758.69,820.22,833.63,855.22,814.38,784.7,797.09,829.03
Expenses,611.73,659.85,641.35,705.2,706.63,701.25,668.7,640.38,640.04,677.52
Other Income,8.87,40.3,9.67,9.45,7.29,13.39,6.57,24.54,7.59,14.03
Depreciation,17.44,17.29,16.54,16.77,17.01,17.16,17.63,17.99,18.85,22.53
Interest,11.33,7.22,7.17,7.51,7.64,7.95,5.52,6.4,6.2,6.66
Profit before tax,80.52,122.5,103.3,100.19,109.64,142.25,129.1,144.47,139.59,136.35
Tax,16.13,13.8,21.07,21.21,25.57,36.93,28.34,34.95,32.08,30.02
Net profit,67.04,108.65,82.11,78.88,83.94,105.21,100.73,109.47,107.5,106.26
Operating Profit,100.42,106.71,117.34,115.02,127,153.97,145.68,144.32,157.05,151.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,30.54,30.54,30.54,30.54,30.54,30.54,30.54,30.54,30.54,30.54
Reserves,1728.45,1293.54,914.38,696.52,751.47,1196.95,1372.96,1663.13,2000.22,2349.13
Borrowings,3992.61,4471.68,4363.54,4072.63,3564.77,620.2,529.82,411.39,416.54,363.83
Other Liabilities,2555.83,2140.23,2422.93,2645.62,2645.1,695.9,649.1,625.28,627.39,586.63
Total,8307.43,7935.99,7731.39,7445.31,6991.88,2543.59,2582.42,2730.34,3074.69,3330.13
Net Block,5477.16,5302.36,5031.35,4862.28,934.8,956.1,931.72,913.05,952.3,1153.23
Capital Work in Progress,131.66,146.79,120.91,112.98,13.38,32.7,45.23,38.44,139.35,165.8
Investments,0.48,46.16,36.74,38.55,42.21,43.65,48.47,56.4,65.73,56
Other Assets,2698.13,2440.68,2542.39,2431.5,6001.49,1511.14,1557,1722.45,1917.31,1955.1
Total,8307.43,7935.99,7731.39,7445.31,6991.88,2543.59,2582.42,2730.34,3074.69,3330.13
Receivables,485.96,615.4,682.64,671.37,325.45,298.4,327.53,414.09,499.89,539.31
Inventory,1688.79,1293.7,1309.08,1225.68,646.93,615.23,671.69,797.43,889.93,889.62
Cash & Bank,73.78,55.48,50.95,62.16,73.19,112.42,118.87,164.68,161.99,167.71
No. of Equity Shares,305419780,304741780,305441780,305441780,305441780,305441780,305441780,305441780,305441780,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,728.91,855.83,685.82,913.76,974.41,212.42,213.7,158.57,251.59,443.84
Cash from Investing Activity,-563.03,-384.73,-28.59,-35.37,-3.11,2941.99,-34.07,56.94,-154.72,-287.93
Cash from Financing Activity,-266.13,-490.96,-662.55,-871.55,-973.41,-3104.71,-177.49,-160.59,-101.09,-159.33
Net Cash Flow,-100.25,-19.86,-5.32,6.84,-2.11,49.7,2.14,54.92,-4.22,-3.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,23,11.5,17.45,18.3,40.5,16,33.05,134.5,214.5,318.25
,,,,,,,,,,
