COMPANY NAME,CAN FIN HOMES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,719.6,,,,,,,,,
Market Capitalization,9581.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,816.31,1082.93,1353.12,1518.16,1726.95,2030.41,2018.14,1987.83,2742,3523.06
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.8,0.99,1.15,,,,,,,
Other Mfr. Exp,1.34,1.06,1.44,10.47,11.83,13.38,13.23,26.91,33.63,
Employee Cost,24.86,33.16,39.49,44.98,41.63,56.77,70.26,77.14,84.14,96.87
Selling and admin,21.11,22.62,28.69,24.06,26.89,15.39,17.21,22.93,30.18,
Other Expenses,17.19,24.7,24.71,27.05,9.02,72.24,81.41,62.15,57.19,226.19
Other Income,0.73,0.61,0.55,3.82,4.39,0.02,0.23,0.68,1.13,1.64
Depreciation,3.73,3.46,3.73,3.09,2.97,9.47,9.57,9.81,12.46,12.71
Interest,610.56,743.68,884.29,981.25,1169.5,1344.89,1209.11,1154.52,1701.5,2231.39
Profit before tax,137.45,253.87,370.17,431.08,469.5,518.29,617.58,635.05,824.03,957.54
Tax,51.21,96.76,134.91,144.89,172.76,142.17,161.52,163.95,202.82,206.84
Net profit,86.24,157.11,235.26,286.19,296.74,376.12,456.06,471.11,621.21,750.7
Dividend Amount,18.63,26.62,26.62,26.63,26.63,26.63,26.63,39.94,46.6,79.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,508.27,560.99,611.21,657.48,709.54,763.77,823.96,871.02,901.24,926.83
Expenses,54.01,76.19,34.63,50.31,49.03,71.81,54.49,121.83,77.13,69.6
Other Income,0.21,0.31,0.37,0.07,0.17,0.52,0.13,0.01,0.69,0.81
Depreciation,2.69,2.23,2.16,3.4,3.23,3.66,2.71,2.76,3.09,4.16
Interest,296.11,318.54,356.1,400.99,452.94,490.83,533,548.45,566.02,583.93
Profit before tax,155.67,164.34,218.69,202.85,204.51,197.99,233.89,197.99,255.69,269.95
Tax,39.97,41.41,56.48,61.14,53.02,32.19,50.44,39.91,55.55,60.93
Net profit,115.69,122.93,162.21,141.71,151.49,165.8,183.45,158.07,200.14,209.03
Operating Profit,454.26,484.8,576.58,607.17,660.51,691.96,769.47,749.19,824.11,857.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,26.62,26.62,26.62,26.63,26.63,26.63,26.63,26.63,26.63,26.63
Reserves,745.34,851.9,1050.16,1460.35,1755.55,2123.44,2583.17,3039.99,3620.65,4317.22
Borrowings,7374.52,9443.96,11871.95,13921.02,16880.09,18748.44,19292.9,24647.68,29068.07,31862.94
Other Liabilities,187.88,433.48,429.79,321.53,67.22,145.07,171.04,230.05,355.14,394.76
Total,8334.36,10755.96,13378.52,15729.53,18729.49,21043.58,22073.74,27944.35,33070.49,36601.55
Net Block,9.28,8.89,10.17,9.57,9.85,37.9,37.82,34.62,45.4,52.62
Capital Work in Progress,,,,,,,,,,
Investments,14.94,14.94,15.94,16,16.3,24.31,49.6,1125.97,1459.03,1459.03
Other Assets,8310.14,10732.13,13352.41,15703.96,18703.34,20981.37,21986.32,26783.76,31566.06,35089.9
Total,8334.36,10755.96,13378.52,15729.53,18729.49,21043.58,22073.74,27944.35,33070.49,36601.55
Receivables,,,,0.21,0.14,0.26,0.71,1.13,1.14,0.89
Inventory,,,,,,,,,,
Cash & Bank,8,17.35,12.47,19.02,420.25,392.44,21.55,324.08,308.47,457.42
No. of Equity Shares,26622542,26622542,26622542,133154125,133154125,133154125,133154125,133154125,133154125,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,52.94,381.95,-2355.89,-2018.22,-2334.93,-1842.12,-851.24,-3916.31,-4044.03,-2569.6
Cash from Investing Activity,-3.54,-10.8,-6.89,-2.08,-3.71,-13.14,-28.26,-1380.34,-327.27,-169.98
Cash from Financing Activity,-55.15,-371.25,2362.89,2019.34,2739.44,1826.04,507.98,5298.55,4370.48,2738.47
Net Cash Flow,-5.75,-0.1,0.11,-0.96,400.8,-29.22,-371.53,1.91,-0.82,-1.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,121.48,230.94,424.29,484.5,348.85,279.05,613.75,631.45,529.2,752.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,13.31,13.31,13.31,13.32,13.32,13.32,13.32,13.32,13.32,13.32
