COMPANY NAME,EPIGRAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1257.8,,,,,,,,,
Market Capitalization,5246.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,394.36,392.05,597.51,710.39,610.51,828.6,1550.94,2188.4,1929.19
Raw Material Cost,,178.56,175.61,235.41,256.67,279.37,386.52,759.41,1211.76,1071.6
Change in Inventory,,-0.7,2.87,-3.01,1.32,4.29,1.2,-1.68,96.97,10.78
Power and Fuel,,23.74,22.91,30.89,27.46,30.27,27.93,64.15,114.75,105.75
Other Mfr. Exp,,16.5,26.21,23.81,22.23,40.37,65.26,98.88,119.45,
Employee Cost,,11.96,14.08,36.06,47.18,44.02,53.61,76.79,86.6,89.65
Selling and admin,,13.18,7.97,4.67,16.35,8.46,9,23.05,39.26,
Other Expenses,,0.83,4.07,12.01,36,18.14,26.16,17.42,24.55,191.76
Other Income,,1.73,0.86,7.76,15.93,2.26,2.19,4.04,7.98,6.52
Depreciation,,44.05,55.43,55.27,54.1,44.3,73.54,85.91,108.95,123.56
Interest,,18.82,14.45,8.97,25.36,11.14,29.11,44.27,65.5,73.49
Profit before tax,,87.75,75.05,195.17,242.29,140.99,160.86,383.42,522.53,290.68
Tax,,20.57,8.51,39.69,59.48,28.99,60.02,130.63,169.17,94.88
Net profit,,67.18,66.54,155.47,182.81,112,100.84,252.79,353.36,195.79
Dividend Amount,,,,,,,,,20.78,20.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,422.17,498.8,532.85,555.53,537.84,562.18,454.89,478.15,471.52,524.63
Expenses,280.8,323.69,345.39,375.24,371.32,407.47,359.7,370.29,348.75,369.23
Other Income,-0.3,1.97,2.03,1.68,-0.26,4.54,1.52,1,2.46,1.52
Depreciation,21.81,21.06,22.04,25.95,30.84,30.13,30.8,31.51,30.88,30.38
Interest,10.36,11.82,11.12,14.36,21.03,18.99,18.33,21.27,20.19,13.69
Profit before tax,108.9,144.2,156.33,141.66,114.39,110.13,47.58,56.08,74.16,112.85
Tax,39.17,45.11,48.54,50.09,37.2,33.33,15.9,17.95,24.85,36.18
Net profit,69.73,99.09,107.79,91.57,77.2,76.8,31.68,38.13,49.31,76.67
Operating Profit,141.37,175.11,187.46,180.29,166.52,154.71,95.19,107.86,122.77,155.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,70.76,70.76,70.76,41.19,41.55,41.55,41.55,41.55,41.55
Reserves,,224.39,290.96,446.57,240.66,331,431.66,684.42,1027.62,1212.54
Borrowings,,189.93,123.26,74.28,389.71,526.21,542.07,782.2,768.76,963.94
Other Liabilities,,54.81,42.5,79.23,372.65,374.7,433.47,615.5,594.32,576.3
Total,,539.89,527.48,670.84,1044.21,1273.46,1448.75,2123.67,2432.25,2794.33
Net Block,,364.26,397.94,347.21,294.72,440.17,1102.31,1067.83,1804.05,1766.65
Capital Work in Progress,,69.49,3.09,78.8,468.25,691.16,125.84,589.25,158.1,482.84
Investments,,,28.53,71.42,,,0.05,0.05,20.62,20.57
Other Assets,,106.14,97.92,173.41,281.24,142.13,220.55,466.54,449.48,524.27
Total,,539.89,527.48,670.84,1044.21,1273.46,1448.75,2123.67,2432.25,2794.33
Receivables,,45.93,44.39,76.86,77.36,76.45,118.84,256.32,166.32,178.75
Inventory,,36.69,28.15,29.6,40.65,48.4,53.96,154.14,211.83,262.99
Cash & Bank,,0.57,0.09,5.08,129.21,0.1,0.68,25.04,15.06,6.8
No. of Equity Shares,,70759999,70759999,70759999,41193114,41552665,41552665,41550158,41550158,
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,164.68,229.22,283.82,626.16,397.69
Cash from Investing Activity,,,,,,-363.21,-196.73,-454.68,-437.22,-401.1
Cash from Financing Activity,,,,,,69.41,-31.9,195.22,-199.79,-7.6
Net Cash Flow,,,,,,-129.12,0.58,24.36,-10.85,-11.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,972.8,943.65,1097.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,7.08,7.08,7.08,4.12,4.12,4.12,4.16,4.16,4.16
