COMPANY NAME,FIEM INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1127.35,,,,,,,,,
Market Capitalization,2966.12,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,718.98,824,986.53,1014.63,1239.72,1449.02,1379.44,1221.16,1572.26,1848.06
Raw Material Cost,432.78,500.9,578.94,607.32,762.58,905.48,816.23,742.08,984.59,1127.54
Change in Inventory,-6.34,3.26,6.69,20.43,22.87,4.92,-23.95,-12.49,-1.49,-3.89
Power and Fuel,31.61,33.33,37.88,41.56,47.33,53.13,49.67,39.2,45.34,58.12
Other Mfr. Exp,43.2,50.6,67.3,71.59,78.19,77.8,72.94,61.28,76.71,69.38
Employee Cost,84.34,98.86,127.35,145.89,177.09,196.47,198.49,165.88,207.58,241.07
Selling and admin,33.36,41.76,55.24,49.19,54.58,61.57,59.32,51.67,59.78,89.52
Other Expenses,-1.04,-1.06,-0.72,1.9,2.04,2.45,1.94,14.75,2.81,9.9
Other Income,0.67,0.78,1.04,-9.48,7.9,0.99,0.83,0.01,2.6,10.8
Depreciation,21.79,30.72,33.12,39.23,44.33,48.93,53.2,57.23,59,63.39
Interest,14.45,12.05,15.78,23.25,22.72,22.1,17.67,11.64,8.59,7.43
Profit before tax,52.82,60.88,79.37,45.65,81.63,87,86.86,64.95,128.97,188.62
Tax,15.54,18.4,22.03,12.6,29.03,30.36,8.17,18.04,33.66,48.74
Net profit,37.28,42.48,57.33,33.05,52.56,55.65,74.56,46.69,94.16,139.83
Dividend Amount,7.18,8.37,9.57,10.53,11.84,15.79,17.11,21.06,26.32,39.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,419.22,388.85,489.51,444.55,525.18,442.08,436.25,474.61,509.38,487.27
Expenses,367.84,342.28,424.68,388.26,452.98,382.42,375.78,413.79,441.32,422.39
Other Income,0.93,0.75,0.58,0.93,1.84,3.44,4.59,3.51,3.98,4.97
Depreciation,14.1,13.46,17.51,15.85,15.61,15.96,15.97,14.31,13.42,14.55
Interest,2.02,1.85,2.54,1.69,1.83,1.82,2.08,1.75,0.41,0.41
Profit before tax,36.19,32.01,45.36,39.68,56.6,45.32,47.01,48.27,58.21,54.89
Tax,9.4,8.67,11.5,10.57,15.83,13.4,8.94,12.78,14.72,14.39
Net profit,26.33,23.22,33.71,29.11,40.77,31.92,38.03,35.5,43.48,40.5
Operating Profit,51.38,46.57,64.83,56.29,72.2,59.66,60.47,60.82,68.06,64.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.96,11.96,11.96,13.16,13.16,13.16,13.16,13.16,13.16,13.16
Reserves,184.89,215.32,261.18,396.96,436.18,463.99,512.16,556.19,629.07,748.01
Borrowings,119.07,117.12,140.03,225.23,158.67,171.44,126.54,77.26,45.67,23.83
Other Liabilities,139.16,156.93,245.6,234.15,327.37,314.23,268.63,275.58,360.61,268.03
Total,455.08,501.33,658.77,869.5,935.38,962.82,920.49,922.19,1048.51,1053.03
Net Block,313.04,334.46,415.94,479.22,553.79,564.34,590.62,547.31,507.94,493.62
Capital Work in Progress,0.03,4.63,11.59,5.63,6.92,11.49,0.25,2.66,0.71,5.35
Investments,0.02,0.02,0.03,86.38,19.45,25.36,21.24,21.01,76.76,0.25
Other Assets,141.99,162.22,231.21,298.27,355.22,361.63,308.38,351.21,463.1,553.81
Total,455.08,501.33,658.77,869.5,935.38,962.82,920.49,922.19,1048.51,1053.03
Receivables,76.76,86.76,118.6,119.45,144.34,146.8,76.98,80.87,174.6,140.8
Inventory,42.36,51.39,66.13,102.42,140.27,147.24,129.09,116.95,184.74,175.7
Cash & Bank,2.02,3.44,4.52,23.06,2.2,4.46,47.54,110.55,68.4,183.12
No. of Equity Shares,11962226,11962226,11962226,13159830,13159830,13159830,13159830,13159830,13159830,13159830
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,76.76,82.1,121.91,45.57,124.68,121.02,207.33,135.94,92.25,130.89
Cash from Investing Activity,-40.69,-58.67,-108.1,-197.56,-44.31,-80.49,-46.5,-15.38,-73.71,38.77
Cash from Financing Activity,-35.65,-22.02,-12.73,173.2,-101.53,-38.09,-118.08,-57.13,-60.61,-54.95
Net Cash Flow,0.42,1.42,1.08,21.22,-21.16,2.44,42.74,63.43,-42.07,114.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,205.68,314.95,458.4,481.83,437.2,254.68,126.55,278.03,450.08,782.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
