COMPANY NAME,ASHOK LEYLAND LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,194.65,,,,,,,,,
Market Capitalization,57126.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,11859.2,15708.18,21259.9,22870.96,29635.59,33196.84,21951.27,19454.1,26237.15,41672.6
Raw Material Cost,7762.62,10470.09,14437.97,15473.18,18068.21,22518.03,12038.76,12576.48,17565.02,29448.39
Change in Inventory,-363.06,41.46,464.18,739.47,-1149.86,919.42,-1307.16,529.1,-48.24,629.49
Power and Fuel,72.08,91.78,125.96,186.42,238.51,260.42,183.52,168.88,189.67,279.44
Other Mfr. Exp,195.84,227.69,249.08,298.87,364.22,392.26,274.13,225.81,296.76,379.82
Employee Cost,1404.68,1540.94,1720.73,1884.98,2286.45,2712.47,2282.89,2226.16,2640.64,3298.38
Selling and admin,1503.03,1582.86,2302.96,2527.33,3121.56,3262.94,2656.67,1823.78,2195.76,3710.42
Other Expenses,135.86,319.15,-91.54,194.7,158.35,60.14,-25.21,500.15,535.82,92.74
Other Income,613.22,-106.49,-321.19,405.67,189.77,139.46,57.45,207.24,-229.82,169.41
Depreciation,529.97,579.91,523.94,572.79,645.89,675.56,749.99,835.62,865.96,900.22
Interest,805.49,872.29,925.05,1048.8,1227.38,1502.24,1801.65,1900.64,1869.05,2093.5
Profit before tax,-300.21,-41.56,1208.74,1829.03,2564.93,2871.66,739.16,-67.08,-199.59,2268.59
Tax,-68.49,172.42,496.57,196.12,751.11,677.06,279.36,2.52,85.86,906.93
Net profit,-164.12,133.89,681.93,1589.36,1760.38,2078.7,336.67,-165.23,-358.61,1240.81
Dividend Amount,,128.07,270.36,443.96,711.29,910,146.78,176.13,293.55,763.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5562.47,6659.82,9926.97,8470.23,9600.08,10399.74,13202.55,9691.32,11429.04,11092.7
Expenses,4986.52,6001.93,8732.86,7700.59,8580.04,9055.27,11244.63,8182.68,9558.61,9131.42
Other Income,25.41,-34.39,-233.14,5.43,32.13,35.96,96.72,52.83,-1.44,46.09
Depreciation,206.94,214.06,233.54,212.4,208.64,220.44,258.74,226.89,226.61,240.92
Interest,478.74,465.36,463.15,466.89,499.29,545.19,582.13,655.22,715.07,782.73
Profit before tax,-84.32,-55.92,264.28,95.78,344.24,614.8,1213.77,679.36,927.31,983.72
Tax,-0.77,51.65,106.43,73.84,158.44,263.59,411.06,94.87,358,374.87
Net profit,-103.43,-121.56,140.24,5.33,163.91,319.04,752.53,543.89,526.01,560.21
Operating Profit,575.95,657.89,1194.11,769.64,1020.04,1344.47,1957.92,1508.64,1870.43,1961.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,266.07,284.59,284.59,284.59,292.71,293.55,293.55,293.55,293.55,293.61
Reserves,3723.16,4226.72,4979.11,6108.36,7127.88,8452.02,7495.26,7568.47,7010.34,8260.32
Borrowings,8499.97,9069.86,11053.57,13167.93,15791.04,19167.91,22417.19,24077.17,24145.02,31160.93
Other Liabilities,5035.1,6011,5805.7,7048.18,10171.23,11212.12,7923.97,10118.77,12124.74,14964.59
Total,17524.3,19592.17,22122.97,26609.06,33382.86,39125.6,38129.97,42057.96,43573.65,54679.45
Net Block,7572.65,6529.06,5889.78,6590.79,6596.14,6695.47,8030.93,8484.22,7894.58,8128.83
Capital Work in Progress,296.55,216.13,87.37,244.19,439.42,677.61,573.89,335.54,240.01,268.12
Investments,1164.57,1499.37,1031.08,1933.32,4382.58,1491.88,960.34,1095.63,2652.12,4852.35
Other Assets,8490.53,11347.61,15114.74,17840.76,21964.72,30260.64,28564.81,32142.57,32786.94,41430.15
Total,17524.3,19592.17,22122.97,26609.06,33382.86,39125.6,38129.97,42057.96,43573.65,54679.45
Receivables,1381.09,1338.75,1461.38,1238.4,1175.51,2717.18,1504.69,3020.91,3264.09,4187.36
Inventory,1544.05,1655.8,1922.33,2955.24,2214.33,3077.42,1547.21,2495.85,2540.55,3440.43
Cash & Bank,113.42,905.09,1716.52,1063.61,1230.51,1777.29,2235.3,1778.53,2138.16,2186.72
No. of Equity Shares,2660677394,2845877394,2845877394,2845877394,2927104861,2935527276,2935527276,2935527276,2935527276,2936100000
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-104,95.07,-1274.67,270.1,1462.43,-3745.49,383.18,-1065.13,2844.56,-4499.26
Cash from Investing Activity,-377.66,-124.44,455.91,-1675.89,-3162.95,1897.09,-1201.18,-972.74,-1917.01,-2903.71
