COMPANY NAME,HEG LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2377.7,,,,,,,,,
Market Capitalization,9180.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1439.51,1228.06,869.5,858.84,2747.83,6591.17,2144.76,1254.27,2200.53,2462.56
Raw Material Cost,644.88,593.16,332.24,342.77,575.81,1611.84,1558.13,504.94,940.42,1312.64
Change in Inventory,-59.73,-24.25,-63.48,-92.61,97.82,497.06,-62.95,-304.15,111.41,397.49
Power and Fuel,89.53,74.8,49.1,74.21,165.03,184,165.83,141.85,273.47,320.58
Other Mfr. Exp,133.6,144.64,111.23,104.73,133.02,183.28,137.79,131.44,203.25,226.76
Employee Cost,57.39,61.49,63.08,59.34,113.01,200.48,68.55,55.06,80.56,92.75
Selling and admin,210.16,127.62,106.34,95,150.32,204.4,119.38,101.92,226.23,259.59
Other Expenses,-2.42,20.46,7.2,8.89,-12.86,42.62,37.08,68.15,57.98,28.99
Other Income,-4.24,15.16,3.74,6.58,12.37,105.83,142.88,114.33,117.2,186.95
Depreciation,72.66,75.36,79.3,73.92,72.56,72.39,72.13,73.12,79.29,102.3
Interest,72.3,77.13,60.31,54.72,56.42,17.97,36.51,11.37,7.49,26.01
Profit before tax,97.44,44.31,0.96,-40.77,1604.71,4677.08,29.29,-23.4,560.45,677.38
Tax,10.82,5.32,8.51,9.27,523.37,1626.65,-24.09,-5.46,129.42,144.96
Net profit,80.71,36.43,4.41,-44.08,1099.34,3026.16,67.63,-17.94,431.04,532.41
Dividend Amount,23.98,11.99,,,319.68,308.8,96.5,11.58,154.4,164.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,517.56,597.3,673.06,721.95,598.14,530.27,616.88,671.43,614.17,562.4
Expenses,375.63,441.32,516.17,537.93,419.35,398.15,493.43,520.26,512.32,475.76
Other Income,25.35,14.74,17.4,21.33,19.57,39.7,31.35,26.12,62.84,29.9
Depreciation,18.12,21.05,21.39,21,23.17,24.99,33.14,38.34,38.48,47.39
Interest,1.15,4.17,1,4.03,6.88,7.77,7.33,8.85,8.53,9.73
Profit before tax,148.01,145.5,151.9,180.32,168.31,139.06,114.33,130.1,117.68,59.42
Tax,35.01,36.99,38.65,46.76,38.42,34.37,25.44,32.79,21.7,15.75
Net profit,131.52,113.48,129.27,159,168.93,104.69,99.72,139.12,95.98,43.67
Operating Profit,141.93,155.98,156.89,184.02,178.79,132.12,123.45,151.17,101.85,86.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,39.96,39.96,39.96,39.96,39.96,38.6,38.6,38.6,38.6,38.6
Reserves,959.98,974.06,955.9,912.6,1867.56,3755.09,3473.12,3456.48,3875.03,4242.34
Borrowings,1027.44,917.16,781.63,683.79,297.45,666.79,594.26,298.06,664.68,742.57
Other Liabilities,478.41,315.05,175.72,216.16,534.14,683.88,332.37,451.02,729.64,668.45
Total,2505.79,2246.23,1953.21,1852.51,2739.11,5144.36,4438.35,4244.16,5307.95,5691.96
Net Block,940.57,906.54,932.43,888.9,833.37,788.38,744.65,694.01,762.78,1362.75
Capital Work in Progress,118.7,107.75,26.7,1.2,1.61,18.58,100.61,373.27,696.08,472.01
Investments,173.75,222.82,227.4,230.58,248.17,941.73,1244.75,1357.69,1170.85,859.27
Other Assets,1272.77,1009.12,766.68,731.83,1655.96,3395.67,2348.34,1819.19,2678.24,2997.93
Total,2505.79,2246.23,1953.21,1852.51,2739.11,5144.36,4438.35,4244.16,5307.95,5691.96
Receivables,523.88,405.46,318.48,360.79,972.69,1186.89,399.41,289.42,589.17,489.14
Inventory,494,401.9,371.19,257.8,511.44,1308.39,1005.14,580.61,977.81,1440.12
Cash & Bank,12.06,4.1,5.15,8.28,7.62,557.32,437.28,550.58,601.67,690.34
No. of Equity Shares,39960292,39960292,39960292,39960292,39960292,38596656,38596656,38596656,38596656,38596656
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,773.3,276.48,249.29,157.04,594.06,1488.23,738.71,715.79,-140.61,113.32
Cash from Investing Activity,-293.8,-82.64,-28.77,-1.35,-9.17,-675.78,-275.45,-417.4,-183.36,-21.11
Cash from Financing Activity,-482.1,-201.8,-219.47,-152.56,-587.96,-788.47,-459.62,-309.82,343.63,-99.96
Net Cash Flow,-2.6,-7.96,1.05,3.13,-3.08,23.99,3.64,-11.43,19.66,-7.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,201.2,217.4,139.8,222.75,3185,2093.5,484,1464.05,1376.05,920.7
