COMPANY NAME,MTAR TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1789.35,,,,,,,,,
Market Capitalization,5502.91,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,105.03,80.89,81.48,100.68,156.62,183.67,213.77,246.43,322.01,573.35
Raw Material Cost,,,,,65.98,65.53,87.26,101.75,157.41,314.72
Change in Inventory,,,,,9.05,2.97,15.09,21.6,41.15,45.68
Power and Fuel,,,,,6.33,6.47,7.24,6.71,8.95,13.03
Other Mfr. Exp,,,,,10.76,11.31,14.8,14.64,19.85,28.25
Employee Cost,,,,,44.61,43.51,51.63,53.04,70.78,92.36
Selling and admin,,,,,3.87,4.9,7.43,6.53,8.94,12.26
Other Expenses,85.77,79.01,70.83,112.76,2.24,1.2,2.54,2.27,2.79,4.27
Other Income,1.73,3.26,0.81,0.78,0.94,3.53,4.37,1.31,8.75,19.52
Depreciation,9.54,4.81,5.3,5,11.21,11.23,12.05,12.56,14.31,18.27
Interest,8.57,7.58,6.7,5.35,4.46,4.46,4.75,7,6.65,14.5
Profit before tax,2.88,-7.25,-0.54,-21.65,17.15,41.56,45.53,64.84,82.23,140.89
Tax,1.07,-2.63,-0.72,-6.59,11.73,2.35,14.22,18.77,21.35,36.82
Net profit,1.81,-4.62,0.18,-15.06,5.42,39.2,31.32,46.08,60.88,104.08
Dividend Amount,,,,,,8.46,13.38,18.46,9.23,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,91.3,78.1,98.58,91,125.85,160.17,196.33,152.16,166.72,118.22
Expenses,61.86,55.28,70.87,65.95,90.7,115.03,147.72,118.55,130.5,94.52
Other Income,2.57,1.15,2.44,3.82,5.42,5.81,4.66,4.21,1,0.59
Depreciation,3.52,3.7,3.75,4.05,4.49,4.72,5.02,5.49,5.65,5.72
Interest,1.39,1.52,2.57,2.39,2.65,3.86,5.6,5.68,5.44,5.54
Profit before tax,27.1,18.75,23.83,22.43,33.43,42.37,42.65,26.65,26.13,13.03
Tax,8.05,5.44,4.03,5.99,8.25,10.66,11.91,6.84,5.3,2.47
Net profit,19.06,13.31,19.81,16.43,25.18,31.72,30.74,19.81,20.83,10.56
Operating Profit,29.44,22.82,27.71,25.05,35.15,45.14,48.61,33.61,36.22,23.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,28.21,28.21,28.21,28.21,28.21,28.21,26.76,30.76,30.76,30.76
Reserves,185.25,180.5,180.62,165.56,177.31,206.77,198.32,446,489.01,590.05
Borrowings,43.69,48.76,25.61,29.12,19.79,28.73,29.13,16.98,95.89,142.79
Other Liabilities,72.84,48.04,38.32,71.18,55.72,41.45,92.06,92.58,112.11,299.34
Total,329.99,305.51,272.76,294.07,281.03,305.16,346.27,586.32,727.77,1062.94
Net Block,151.35,145.4,145.78,148.24,152.23,162.19,155.1,167.06,196.4,282.31
Capital Work in Progress,7.43,7.75,7.75,7.75,1.84,5.62,11.73,10.52,43.8,63.16
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,62.35,34.18
Other Assets,171.2,152.35,119.22,138.07,126.95,137.34,179.42,408.72,425.22,683.29
Total,329.99,305.51,272.76,294.07,281.03,305.16,346.27,586.32,727.77,1062.94
Receivables,16.25,15.63,19.61,38.66,48.97,50.42,61.64,77.28,135.98,208.12
Inventory,51.21,52.55,36.74,31.52,41.93,41.07,75.46,102.54,170.32,385.97
Cash & Bank,6.09,2.91,6.94,9.77,9.08,10.77,23.24,190.9,66.92,30.98
No. of Equity Shares,28213886,28213886,28214132,28214132,28214132,28214132,26759591,30759591,30759591,30759591
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,14.42,42.11,56.19,8.62,-29.8,8.87
Cash from Investing Activity,,,,,-1.33,-32.92,-12.06,-22.01,-145,-88.47
Cash from Financing Activity,,,,,-13.79,-7.49,-41.35,180.14,54.06,32.27
Net Cash Flow,,,,,-0.7,1.7,2.78,166.74,-120.74,-47.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,1023.7,1753.75,1581.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.82,2.82,2.82,2.82,2.82,2.82,2.68,3.08,3.08,3.08
