COMPANY NAME,ECLERX SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2333.7,,,,,,,,,
Market Capitalization,11443.7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,840.99,942.12,1314.32,1330.03,1365.06,1430.59,1437.57,1564.49,2160.35,2647.9
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,7.35,10.1,11.44,10.02,9.37,10.64,9.36,8.75,9.61,13.38
Other Mfr. Exp,20.45,25.43,71.42,63.84,79.7,82.25,67.07,84.69,122.23,147.29
Employee Cost,346.72,439.9,573.18,593.61,692.54,787.07,854.45,885.56,1195.76,1509.76
Selling and admin,110.11,149.44,174.07,183.77,204.89,230.33,169.91,113.63,164.36,246.33
Other Expenses,1.8,0.98,2.6,17.52,11.06,11.45,10.63,22.33,6.34,7.86
Other Income,11.02,32.35,36.25,27.93,61.43,48.59,45.42,34.1,24.39,65.91
Depreciation,33.03,50.02,56.54,51.8,48.24,44.69,70.9,81.59,103.19,114.01
Interest,0.98,0.66,1.08,1.57,1.17,1.27,20.16,21.42,22.76,22.19
Profit before tax,331.57,297.94,460.24,435.83,379.52,311.48,280.51,380.62,560.49,652.99
Tax,75.91,68.26,118.5,81.91,89.58,83.17,71.55,97.8,142.73,163.8
Net profit,255.66,229.68,341.5,354.03,289.98,228.26,208.98,282.56,417.4,488.82
Dividend Amount,105.63,106.22,4.08,3.97,3.81,3.78,3.61,3.4,3.31,4.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,523.25,559.17,591.67,617.84,650.29,686.67,693.1,684.48,721.78,752.76
Expenses,358.16,386.8,409.7,474.37,469.01,496.13,486.19,517.19,517.03,545.53
Other Income,0.92,4.31,9.9,22.02,20.96,17.89,5.09,7.68,14.12,18.95
Depreciation,25.16,26.41,27.94,24.87,27.39,29.9,31.86,28.44,30.28,33.53
Interest,5.53,5.36,5.21,5.15,5.08,5.28,5.65,5.9,6.14,5.86
Profit before tax,135.32,144.91,158.72,135.47,169.77,173.25,174.49,140.63,182.45,186.79
Tax,34.55,38.35,40.32,35.96,43.76,41.94,42.14,33.98,46.33,47.73
Net profit,100.74,106.6,118.76,99.2,125.92,131.16,132.55,106.32,135.97,138.63
Operating Profit,165.09,172.37,181.97,143.47,181.28,190.54,206.91,167.29,204.75,207.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,30.18,30.35,40.79,39.71,38.14,37.79,36.1,34.01,33.1,48.03
Reserves,558.78,684.66,1051.95,1175.64,1166.61,1343.51,1270.12,1466.81,1534.49,1666.84
Borrowings,,,3.51,1.06,6.34,1.67,156.6,174.73,163.12,193.56
Other Liabilities,200.54,242.35,191.86,181.73,207.8,201.01,260.2,315,324.48,365.47
Total,789.5,957.36,1288.11,1398.14,1418.89,1583.98,1723.02,1990.55,2055.19,2273.9
Net Block,154.77,167.04,365,325.06,343.43,347.91,479.74,728.03,712.56,772.51
Capital Work in Progress,1.08,1.15,,1.85,0.09,0.17,0.8,0.48,2.17,20.82
Investments,115.48,155.29,219.38,251.64,165.27,286.26,436.79,228.62,195.88,274.51
Other Assets,518.17,633.88,703.73,819.59,910.1,949.64,805.69,1033.42,1144.58,1206.06
Total,789.5,957.36,1288.11,1398.14,1418.89,1583.98,1723.02,1990.55,2055.19,2273.9
Receivables,98.73,126.14,186.1,213.83,232.85,242.59,237.78,293.02,329.27,440.49
Inventory,,,0.46,0.25,0.44,0.36,0.3,0.32,0.52,0.45
Cash & Bank,240.56,286.58,328.47,355.66,440.27,451.55,334.5,490.86,493.64,427.93
No. of Equity Shares,30176910,30350885,40788686,39709058,38141422,37790235,36099796,34005981,33098094,48033979
New Bonus Shares,,,10180609,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,194.86,243.17,417.72,312.43,305,206.16,332.8,364.57,443.96,492.57
Cash from Investing Activity,-128.77,-62.01,-166.81,-175.38,26.31,-229.69,24.38,-1.8,43.66,-54.8
Cash from Financing Activity,-83.54,-115.43,-165.01,-245.29,-303.51,-53.87,-308.24,-188.31,-416.34,-440.07
Net Cash Flow,-17.45,65.73,85.9,-108.25,27.8,-77.41,48.94,174.46,71.28,-2.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,530.53,792.77,866.1,940.33,801,765.1,243.6,735.33,1580.8,1290.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,6.04,6.07,6.12,5.97,5.79,5.81,5.55,5.23,5.07,4.9
