COMPANY NAME,CONCORD BIOTECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,1501.3,,,,,,,,,
Market Capitalization,15729.32,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,339.53,436.01,512.33,616.94,712.93,853.17
Raw Material Cost,,,,,68.47,109.17,134.79,150.61,187.99,195.84
Change in Inventory,,,,,,1.16,4.85,39.05,23.98,15.63
Power and Fuel,,,,,32.9,36.29,37.3,39.86,71.64,97.65
Other Mfr. Exp,,,,,8.7,12.53,30.93,12.99,17.1,24.93
Employee Cost,,,,,45.83,51.85,62.27,69.51,95.74,110.45
Selling and admin,,,,,21.68,31.95,31.71,44.83,67.85,74.45
Other Expenses,,,,,17.06,14.9,15.64,10.26,22.64,16.8
Other Income,,,,,17.92,17.44,31.37,13.81,23.39,35.21
Depreciation,,,,,17.62,19.31,21.25,27.52,50.05,54.03
Interest,,,,,0.81,0.69,1.17,1.05,6.13,9.8
Profit before tax,,,,,144.38,177.92,213.49,313.17,241.16,320.06
Tax,,,,,43.9,59.53,44.53,77.83,62.59,81.93
Net profit,,,,,100.49,118.39,168.96,235.33,178.57,238.13
Dividend Amount,,,,,,25.15,37.33,,4.87,71.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,181,158.9,240.68,272.59,194.83,262.35,240.8
Expenses,,,,116.37,120.98,129,143.53,122.68,143.17,134.87
Other Income,,,,7.83,6.03,9.25,12.2,6.65,8.13,8.19
Depreciation,,,,13.57,12.51,13.77,14.18,13.04,13.3,13.54
Interest,,,,1.04,1.11,0.91,1.45,0.75,0.84,0.5
Profit before tax,,,,57.85,30.33,106.25,125.63,65.01,113.17,100.08
Tax,,,,14.76,7.88,27.18,32.12,16.54,28.69,25.53
Net profit,,,,43.1,22.44,79.08,93.51,48.47,84.49,74.55
Operating Profit,,,,64.63,37.92,111.68,129.06,72.15,119.18,105.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,9.51,9.51,9.51,9.51,9.51,10.46
Reserves,,,,,584.85,672.99,760.57,990.16,1097.65,1281.52
Borrowings,,,,,22.21,9.22,52.06,89.28,62.5,31.55
Other Liabilities,,,,,68.7,71.58,118.44,93.89,143.8,191.12
Total,,,,,685.27,763.3,940.58,1182.84,1313.46,1514.65
Net Block,,,,,188.69,229.7,239.6,546.22,572.98,592.98
Capital Work in Progress,,,,,2.7,18.99,141.4,17.95,74.16,172.7
Investments,,,,,151.06,229.33,198.77,141.65,74.39,137.72
Other Assets,,,,,342.82,285.28,360.81,477.02,591.93,611.25
Total,,,,,685.27,763.3,940.58,1182.84,1313.46,1514.65
Receivables,,,,,219.69,158.61,183.51,177.52,232.17,273.76
Inventory,,,,,71.45,91.72,111.23,153.61,195.12,212.31
Cash & Bank,,,,,2.32,3.82,2.59,60.82,88.93,43.45
No. of Equity Shares,,,,,9510564,9510564,9510564,9510564,9510564,104616204
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,79.47,,154.94,166.81,207.47,246
Cash from Investing Activity,,,,,-42.05,,-113.78,-195.2,-111.79,-157.95
Cash from Financing Activity,,,,,-37.08,,-42.52,31.12,-100.16,-85.22
Net Cash Flow,,,,,0.34,,-1.35,2.74,-4.48,2.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.95,0.95,0.95,0.95,0.95,10.46
