COMPANY NAME,JUBILANT FOODWORKS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,455.25,,,,,,,,,
Market Capitalization,30097.19,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1736.31,2092.76,2437.98,2583.39,3018.4,3563.14,3927.27,3311.87,4396.12,5158.25
Raw Material Cost,454.13,528.71,580.25,631.3,767.43,885.31,984.5,727.58,993.65,1253.47
Change in Inventory,0.72,0.82,0.19,0.53,1.47,-0.8,1.03,1.34,3.75,5.66
Power and Fuel,104.51,123.64,139.95,145.86,160.31,168.99,172.62,147.6,200.66,267.25
Other Mfr. Exp,113.3,136.12,156.5,174.48,188.89,233.07,246.25,261.9,304.49,365.27
Employee Cost,341.15,444.47,576.77,595.63,615.21,683.54,797.84,748.46,770.3,908.19
Selling and admin,404.16,521.63,620.24,726.91,769.62,893.84,745.31,570.78,914.89,1082.63
Other Expenses,69.83,82.53,99.04,65.17,76.41,94.97,99.06,76.85,109.52,151.15
Other Income,9.03,6.12,9.84,-0.87,21.17,44.5,37.58,64.23,26.04,39.9
Depreciation,78.72,101.12,128.24,155.43,160.11,157.45,352.28,375.4,393.05,485.89
Interest,,,,,,,165.24,162.7,176.09,201.23
Profit before tax,180.26,161.48,147.02,88.27,303.06,489.67,402.78,306.17,563.26,488.73
Tax,62.01,50.4,50.13,30.5,106.83,171.7,123.99,75.65,145.18,135.7
Net profit,118.24,111.08,96.89,57.77,196.23,319.79,279.98,231.67,420.39,353.2
Dividend Amount,,16.39,16.45,16.49,32.99,65.98,79.18,79.18,79.18,79.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1116.19,1210.77,1175.97,1255.1,1301.49,1331.82,1269.85,1334.54,1368.63,1378.12
Expenses,828.82,894.14,902.45,962.43,989.63,1045.5,1051.78,1099.53,1091.45,1098.01
Other Income,8.2,11,12.25,10.66,26.93,9.57,19.75,9.34,42.07,19.67
Depreciation,92.66,103.1,106.03,107.11,114.64,132.59,131.55,135.72,141.88,151.51
Interest,42.22,45.45,46.06,46.87,49.65,51.84,52.87,54.31,56.84,62.43
Profit before tax,160.69,179.08,133.68,149.35,174.5,111.46,53.4,54.32,120.53,85.84
Tax,40.87,45.88,37.67,36.76,42.97,31.1,24.86,25.4,23.33,20.13
Net profit,120.24,133.88,96.76,112.75,131.53,80.36,28.54,28.92,97.2,65.71
Operating Profit,287.37,316.63,273.52,292.67,311.86,286.32,218.07,235.01,277.18,280.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,65.44,65.57,65.8,65.95,65.98,131.97,131.97,131.97,131.97,131.97
Reserves,484.61,580.62,696.2,739.35,901.75,1127.67,990.06,1294.86,1813,1905.82
Borrowings,,,,,,,1670.06,1619.98,2106.1,2553.74
Other Liabilities,311.93,428.51,460.03,485.34,529.01,596.1,577.79,719.96,730.6,790.6
Total,861.98,1074.7,1222.03,1290.64,1496.74,1855.74,3369.88,3766.77,4781.67,5382.13
Net Block,546.37,737.28,828.45,800.15,789.22,809.46,2188.72,2145.5,2736.6,3488.23
Capital Work in Progress,19.64,19.88,26.1,60.77,14.22,15.72,41.17,28.55,46.55,183.79
Investments,93.75,74.61,90.81,93.57,263.1,180.8,51.18,516.74,926.78,821.81
Other Assets,202.22,242.93,276.67,336.15,430.2,849.76,1088.81,1075.98,1071.74,888.3
Total,861.98,1074.7,1222.03,1290.64,1496.74,1855.74,3369.88,3766.77,4781.67,5382.13
Receivables,9.04,11.87,12.48,16.1,15.65,27.44,16.64,16.8,22.05,28.73
Inventory,33.08,43.34,55.17,60.72,64.21,77.08,94.72,133.13,161.18,177
Cash & Bank,24.22,38.91,33.17,35.39,129.03,494.27,655.88,539.18,563.36,256.91
No. of Equity Shares,65439030,65569790,65795106,65949070,65984520,131969040,131969040,131969040,131969040,659845200
New Bonus Shares,,,,,,65984520,65984520,65984520,65984520,65984520
Face value,10,10,10,10,10,10,10,10,10,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,225.05,276.11,211.68,203.59,409.01,423.52,727.79,750.64,930.03,1026.16
Cash from Investing Activity,-232.79,-262.29,-199.75,-188.3,-331.94,-457.49,-98.71,-602.14,-654.17,-594.86
Cash from Financing Activity,1.47,0.87,-17.67,-14.82,-34.72,-16.7,-461.43,-288.74,-306.62,-426.43
Net Cash Flow,-6.27,14.68,-5.74,0.47,42.35,-50.68,167.65,-140.24,-30.76,4.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,106.41,147.84,127.69,110.74,232.59,288.8,294.29,582.19,527.3,440.1
,,,,,,,,,,
