COMPANY NAME,STAR HEALTH & ALLIED INSURANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,537.45,,,,,,,,,
Market Capitalization,31470.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1069.14,1595.07,2012.1,2887.53,3774.95,4986.52,5050.31,10601.99,12096.16,14022.37
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,661.34,824.29,1173.02,1713.17,2561.36,3428.32,4955.22,10032.17,9003.18,
Employee Cost,267.03,367.69,454.59,632.29,726.24,859.63,1250.45,1434.59,1620.81,1612.17
Selling and admin,249.52,207.38,321.88,436.64,188.72,153.23,100.81,313.54,341.39,199.96
Other Expenses,11.4,39.22,-78.43,-109.18,88.41,102.63,140.99,181.77,257.76,11085.45
Other Income,,,,,0.12,0.16,-2.92,6.74,5.45,4.06
Depreciation,18.69,17.5,20.08,23.08,28.09,29.44,45.73,43.3,52.07,
Interest,1.21,2.42,3.01,20.32,,,,,,
Profit before tax,-140.05,136.57,117.95,171.21,182.25,413.43,-1445.81,-1396.64,826.4,1128.85
Tax,,,,1.05,54.02,145.42,-360.09,-355.96,207.81,283.84
Net profit,-140.05,136.58,117.94,170.15,128.23,268,-1085.71,-1040.67,618.59,845.01
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2710.97,2801.01,2891.06,3001.73,3072.64,3130.71,3293.73,3461.72,3578.35,3688.57
Expenses,3479.26,2917.94,2604.84,2881.96,2792.64,2995.99,2909.4,3296.03,3190.88,3501.25
Other Income,0.04,1.17,1.76,0.89,1.73,1.33,0.02,1.43,0.2,2.41
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,-768.25,-115.76,287.98,120.66,281.73,136.05,384.35,167.12,387.67,189.73
Tax,-189.88,-33.72,74.74,27.56,71.26,34.26,96.5,41.82,98.12,47.41
Net profit,-578.37,-82.04,213.24,93.1,210.47,101.79,287.85,125.3,289.55,142.32
Operating Profit,-768.29,-116.93,286.22,119.77,280,134.72,384.33,165.69,387.47,187.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,362.14,386.99,455.58,455.58,455.58,490.64,548.09,575.52,581.68,585.28
Reserves,-220.29,-26.89,333.86,504.01,772.62,1153.04,2947.05,4044.67,4866.28,6146.52
Borrowings,,,,250,250,250,250,720,470,470
Other Liabilities,953.93,1012,1423.18,2137.58,3394.26,4233.05,6755.84,8173.87,9308.14,10852.52
Total,1095.78,1372.1,2212.62,3347.17,4872.46,6126.73,10500.98,13514.06,15226.1,18054.32
Net Block,46.18,62.21,76.97,92.34,84.59,90.14,183.11,113.13,101.41,175.12
Capital Work in Progress,12.29,3.2,6.84,4.62,13.48,11.73,19.25,4,9.93,
Investments,501.84,806.71,1428.48,2164.72,3030.1,4289.95,6733.3,11373.43,13392.1,15490.88
Other Assets,535.47,499.98,700.33,1085.49,1744.29,1734.91,3565.32,2023.5,1722.66,2388.32
Total,1095.78,1372.1,2212.62,3347.17,4872.46,6126.73,10500.98,13514.06,15226.1,18054.32
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,327.79,271.94,331.11,502,893.02,611.44,1878.99,563.54,309.36,444.58
No. of Equity Shares,362732365,386992109,455576106,455576106,455576106,490638013,548086885,575522174,581677348,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,321.3,557.36,776.41,647.42,890.38,55.56,1275.82,1309.97
Cash from Investing Activity,,,-496.97,-662.97,-731.33,-1005.96,-2418.23,-3786.04,-1097.13,-1176.71
Cash from Financing Activity,,,309.99,248.63,333.44,121.89,2613.46,2509.06,-268.02,22.98
Net Cash Flow,,,134.32,143.02,378.52,-236.66,1085.61,-1221.42,-89.33,156.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,710.45,518.3,543.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,36.21,38.7,45.56,45.56,45.56,49.06,54.81,57.55,58.17,58.53
