COMPANY NAME,HINDUSTAN OIL EXPLORATION COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,187.9,,,,,,,,,
Market Capitalization,2482.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,78.17,58.87,48.05,25.5,48.71,265.14,202.05,113.86,155.73,558.92
Raw Material Cost,8.05,8.65,8.39,,,,,,,
Change in Inventory,-3.49,0.84,-3.16,0.02,4.55,-4.18,-0.43,3.3,-3.79,59.49
Power and Fuel,0.24,0.09,0.09,0.07,0.04,0.04,0.03,0.01,0.01,0.01
Other Mfr. Exp,68.34,27.72,15.48,11.58,13.16,58.22,57.32,54.08,63.32,270.83
Employee Cost,12.04,4.6,4.66,1.57,5.89,5.53,5.91,1.03,1.3,1.32
Selling and admin,18.59,13.02,7.33,7.71,2.92,7.78,5.56,3.52,4.56,4.8
Other Expenses,-7.62,14.91,6.03,3.24,0.46,1.71,8.16,3.96,4.46,29.09
Other Income,5.63,-1156.03,19.62,48.27,16.32,15.23,48.49,26.85,-22.9,-3.31
Depreciation,103.13,38.94,12.17,9.6,8.47,43.81,29.39,23.37,26.21,73.7
Interest,13.7,14.71,4.71,,1.12,2.23,6.44,6.22,9.49,38.06
Profit before tax,-136.16,-1218.96,5.65,40.02,37.52,156.87,137.3,51.82,19.69,197.29
Tax,-12.44,0.64,0.63,3.95,,0.12,-0.26,-1.59,-0.31,3.24
Net profit,-123.73,-1219.6,5.02,36.06,37.52,156.74,137.56,53.42,19.99,194.05
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,39.1,43.93,42.21,89.42,124.58,169.83,175.09,167.61,112.83,179.08
Expenses,21.84,21.19,21.3,38.81,79.62,90.22,39.63,77.43,44.85,108.44
Other Income,6.03,3.05,-32.59,2.36,1.21,-9.73,4.38,6.68,2.66,9.51
Depreciation,5.58,5.09,10.73,13.56,15.79,21.79,22.56,20.06,18.37,21.33
Interest,1.55,1.81,4.3,6.71,11.84,12.16,7.16,9.2,8.18,7.43
Profit before tax,16.16,18.89,-26.71,32.7,18.54,35.93,110.12,67.6,44.09,51.39
Tax,-0.8,-0.26,0.49,0.36,0.83,-1.4,3.46,1.54,0.92,4.82
Net profit,16.96,19.14,-27.21,32.35,17.71,37.34,106.65,66.07,43.18,46.57
Operating Profit,17.26,22.74,20.91,50.61,44.96,79.61,135.46,90.18,67.98,70.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,130.51,130.51,130.51,130.51,130.51,130.51,132.26,132.26,132.26,132.26
Reserves,405.43,150.22,174.81,210.84,252.7,409.73,547.45,600.91,620.86,814.94
Borrowings,946.82,,,,0.32,12.01,44.86,253.69,357.34,364.2
Other Liabilities,179.23,154.09,186.14,183.4,160,181.89,311.27,198.29,416.78,538.89
Total,1661.99,434.82,491.46,524.75,543.53,734.14,1035.84,1185.15,1527.24,1850.29
Net Block,9.03,8.5,8.15,9.84,17.65,28.16,25.53,23.26,213.91,446.83
Capital Work in Progress,337.1,117.63,130.11,6.13,5.62,26.18,327.37,534.59,782.01,31.54
Investments,30.55,27.59,74.46,160.21,50.65,136.97,118.22,64.65,18.72,133.2
Other Assets,1285.31,281.1,278.74,348.57,469.61,542.83,564.72,562.65,512.6,1238.72
Total,1661.99,434.82,491.46,524.75,543.53,734.14,1035.84,1185.15,1527.24,1850.29
Receivables,8.65,5.46,4.03,5.16,16.49,40.93,36.36,31.07,16.2,116.94
Inventory,39.79,26.49,24.34,24.7,28.27,27.83,26.59,36.1,7.65,80.94
Cash & Bank,13.17,7.54,53.46,34.37,91.64,35.44,85.85,71.51,65.37,78.07
No. of Equity Shares,130509301,130509300,130526264,130526264,130526264,130526264,132276264,132276264,132276264,132276264
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,20.22,12.28,94.15,98.26,-7.17,167.36,287.13,-76.61,110.98,219.34
Cash from Investing Activity,-40.11,1.82,-0.92,-31.59,-60.28,-147.72,-297.16,-208.36,-280.24,-76.99
Cash from Financing Activity,-53,-24.03,,,,,33.72,206.16,106.46,-27.23
Net Cash Flow,-72.89,-9.93,93.22,66.67,-67.44,19.64,23.69,-78.81,-62.8,115.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,47.4,36.8,31.6,79.05,110.45,129.7,34.75,97.15,219.9,120.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,13.05,13.05,13.05,13.05,13.05,13.05,13.22,13.22,13.22,13.22
