COMPANY NAME,TANLA PLATFORMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,860.15,,,,,,,,,
Market Capitalization,11558.32,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,242.49,431.55,579.3,791.61,1003.96,1942.84,2341.47,3205.97,3354.55,3927.79
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.41,0.4,0.34,0.36,0.37,1.22,0.65,0.28,0.38,
Other Mfr. Exp,145.64,319.5,498.1,697.38,862.89,1555.36,1767.84,2302.06,2526.75,
Employee Cost,9.82,12.07,14.44,14.18,22.95,108.93,86.05,126.85,133.81,169.04
Selling and admin,8.32,17.94,9.05,12.79,13.51,51.8,45.59,61.22,80.87,24.75
Other Expenses,1.68,12.03,0.89,1.34,7.66,41.12,6.67,13.64,22.65,3001.77
Other Income,4.99,-2.48,2.47,4.76,10.61,-36.37,21.92,16.13,26.2,42.64
Depreciation,75.68,52.95,19.59,57.33,73.23,377.8,39.57,40.86,46.17,85.27
Interest,0.47,0.52,0.36,0.37,0.49,7.49,2.27,3.08,3.52,6.2
Profit before tax,5.46,13.66,39,12.62,33.47,-237.25,414.75,674.11,566.6,683.4
Tax,2.87,6.41,-1.92,-6.49,3.65,-26.08,58.62,134.84,118.95,135.09
Net profit,2.59,7.24,40.91,19.11,29.82,-211.17,356.14,539.28,447.65,548.32
Dividend Amount,,2.03,2.69,3.37,4.05,,27.2,27.14,134.4,80.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,884.92,853.05,800.14,851.04,869.63,833.49,911.11,1008.59,1002.57,1005.52
Expenses,682.08,668.93,669.44,711.51,718.28,667.38,728.88,811.8,809.79,845.09
Other Income,4.09,4.59,4.49,11.07,6.05,4.83,5.26,6.34,5.07,25.98
Depreciation,11.1,10.19,9.28,10.04,12.19,14.66,16.45,22.59,23.37,22.86
Interest,0.28,0.3,0.32,0.41,0.21,0.42,1.05,1.82,1.7,1.64
Profit before tax,195.55,178.22,125.59,140.15,145,155.86,169.99,178.72,172.78,161.91
Tax,37.54,37.59,25.17,29.71,28.49,35.58,34.59,36.17,32.65,31.68
Net profit,158,140.62,100.41,110.45,116.51,120.28,135.4,142.55,140.13,130.23
Operating Profit,202.84,184.12,130.7,139.53,151.35,166.11,182.23,196.79,192.78,160.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10.15,10.15,10.75,11.24,11.56,14.6,13.6,13.57,13.44,13.45
Reserves,610.97,644.68,645.55,676.41,707.69,680.84,879.5,1340.47,1504.05,1928.34
Borrowings,0.42,,,,59.88,5.39,4.35,53.53,82.59,75.04
Other Liabilities,61.32,98.36,134.63,246.33,327.74,488.12,715.16,974.08,812.5,992.15
Total,682.86,753.19,790.93,933.98,1106.87,1188.95,1612.61,2381.65,2412.58,3008.98
Net Block,95.1,51.29,466.22,451.99,349.71,257.34,256.9,304.7,483.56,780.95
Capital Work in Progress,364.66,499.17,24.5,,5.76,13.31,6.39,53.58,64.39,23.37
Investments,,3.85,,,75.45,,,,,
Other Assets,223.1,198.88,300.21,481.99,675.95,918.3,1349.32,2023.37,1864.63,2204.66
Total,682.86,753.19,790.93,933.98,1106.87,1188.95,1612.61,2381.65,2412.58,3008.98
Receivables,144.57,82.83,113.63,205.51,307.83,325.77,373.15,560.33,570.01,842.39
Inventory,26.62,29.25,22.09,,,,,,,
Cash & Bank,29.9,50.9,133.3,165.44,155.02,200.57,584.14,862.27,711.57,667.09
No. of Equity Shares,101479593,101479593,107485785,112421952,115626827,145971699,136036450,135745523,134400357,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,50.9,92.7,71.61,32.31,-30.42,239.15,561.49,486.42,246.71,589.93
Cash from Investing Activity,-40.17,-72.8,-4.57,-5.19,-53.71,-126.31,-9.78,-110.89,-69.6,-528.01
Cash from Financing Activity,,6.02,15.36,5.02,73.71,-67.29,-168.15,-97.41,-327.82,-150.9
Net Cash Flow,10.73,25.93,82.4,32.14,-10.42,45.55,383.57,278.13,-150.7,-88.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,16.45,37.95,48.3,30.55,36.95,48.45,813.6,1525.95,523.25,819.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10.15,10.15,10.75,11.24,11.56,14.6,13.6,13.57,13.44,13.45
