COMPANY NAME,GLOBAL HEALTH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1397.7,,,,,,,,,
Market Capitalization,37510.72,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,1382.05,1343.21,1455.8,1500.42,1446.74,2167.3,2694.25
Raw Material Cost,,,,363.07,313.43,324.92,324.83,353.6,545.75,626.86
Change in Inventory,,,,,,,,5.05,2.82,1.58
Power and Fuel,,,,29.22,29.55,30.65,34.6,38.56,47.06,57.12
Other Mfr. Exp,,,,30.32,34.18,6.37,6.14,43.98,55.83,73.48
Employee Cost,,,,471.87,526.83,541.12,538.79,466.47,568.78,635.65
Selling and admin,,,,101.59,211.01,324.92,365.76,297.97,443.74,623.09
Other Expenses,,,,84.5,102.83,55.34,38.58,54.31,50.89,58.32
Other Income,,,,45.34,48.96,50,43.75,31.42,38.52,64.23
Depreciation,,,,70.38,86.36,101.6,115.04,123.21,129.71,149.91
Interest,,,,14.3,28.29,37.64,56.56,72.64,86.32,86.33
Profit before tax,,,,262.14,59.69,83.24,63.87,32.47,280.56,449.3
Tax,,,,91.93,26.74,31.94,27.54,3.66,84.36,123.21
Net profit,,,,170.22,32.87,51.3,36.33,28.81,196.2,326.08
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-06-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,485.49,583.18,521.08,617.45,679.06,694.32,703.42,773.04,843.94,832.6
Expenses,385.81,447.56,441.01,484.9,522.48,534.35,540.32,595.15,631.09,620.5
Other Income,6.09,10.23,12.06,9.09,15.51,11.9,28.41,21.46,20.75,21.93
Depreciation,31.37,33.09,34.77,36.08,37.13,38.75,37.95,40.38,42.91,43.98
Interest,16.21,17.84,28.12,18.53,18.23,20.67,20.48,17.92,20.09,17.68
Profit before tax,58.19,94.92,29.24,87.03,116.73,112.45,133.08,141.05,170.6,172.37
Tax,16.44,24.98,11.69,28.32,31.05,31.84,32.01,39.03,45.44,48.83
Net profit,41.76,69.93,17.55,58.71,85.68,80.61,101.07,102.01,125.16,123.64
Operating Profit,99.68,135.62,80.07,132.55,156.58,159.97,163.1,177.89,212.85,212.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,48.22,48.49,49.13,49.35,49.59,50.64,53.64
Reserves,,,,976.23,1136.21,1246.36,1300.19,1332.76,1565.36,2374.57
Borrowings,,,,132.52,423.4,786.94,928.91,931.38,1108.93,1121.95
Other Liabilities,,,,327.6,375.72,347.23,387.84,380.38,420.59,547
Total,,,,1484.57,1983.82,2429.66,2666.29,2694.11,3145.52,4097.16
Net Block,,,,913.89,1093.55,1193.69,1703.11,1615.67,1775.86,2050.09
Capital Work in Progress,,,,11.72,317.03,666.31,381.73,463.82,439.25,326.98
Investments,,,,,,,,0.05,0.05,0.05
Other Assets,,,,558.96,573.24,569.66,581.45,614.57,930.36,1720.04
Total,,,,1484.57,1983.82,2429.66,2666.29,2694.11,3145.52,4097.16
Receivables,,,,75.44,151.81,164.18,149.15,133.63,180.2,194.2
Inventory,,,,27.7,22.73,23.29,38.52,39.76,53.39,60.37
Cash & Bank,,,,376.1,260.21,266.45,250.12,289.3,511.81,1278.1
No. of Equity Shares,,,,48494054,48494054,49132778,49345003,49585818,253223930,268195172
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,227.6,62.75,165.55,175.07,241.77,311.26,644.52
Cash from Investing Activity,,,,-240.66,-69.18,-248.76,-87.07,-239.15,-420.88,-342.34
Cash from Financing Activity,,,,-6.6,9.42,97.03,-0.88,-80.72,159.59,345.64
Net Cash Flow,,,,-19.66,2.98,13.83,87.12,-78.11,49.97,647.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,526.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,4.85,4.85,4.91,4.93,4.96,25.32,26.82
