COMPANY NAME,ASK AUTOMOTIVE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,295.9,,,,,,,,,
Market Capitalization,5845.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,1785.29,1644.58,1543.99,2013.08,2555.17
Raw Material Cost,,,,,,1178.42,1037.78,1015.44,1403.81,1798.58
Change in Inventory,,,,,,14.59,-4.92,17.26,10.35,16.8
Power and Fuel,,,,,,69.49,65.31,60.35,74.41,92.82
Other Mfr. Exp,,,,,,153.94,157.95,151.33,199.26,233.89
Employee Cost,,,,,,116.24,120.42,102.26,122.7,139.37
Selling and admin,,,,,,24.64,21.52,39.67,46.82,64.27
Other Expenses,,,,,,31,27.7,10.28,10.63,12.5
Other Income,,,,,,12.38,6.77,23.78,11.18,11.11
Depreciation,,,,,,37.27,51.85,51.89,55.91,60.71
Interest,,,,,,20.15,20.01,10.85,8.08,11.19
Profit before tax,,,,,,181.11,143.89,142.96,112.99,169.75
Tax,,,,,,59.85,26.1,36.76,30.33,46.81
Net profit,,,,,,113.74,106.98,106.2,82.66,122.95
Dividend Amount,,,,,,,2.03,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,745.76,637.02,656.51,793.87,761.66
Expenses,,,,,,664.73,582.03,592.81,719.4,681.54
Other Income,,,,,,3.4,2.24,3.25,7.31,11.94
Depreciation,,,,,,15.22,15.38,14.96,16.95,18.11
Interest,,,,,,2.62,2.86,4.35,7.95,8.41
Profit before tax,,,,,,66.59,38.99,47.64,56.88,65.54
Tax,,,,,,17.88,9.84,12.81,15.64,15.6
Net profit,,,,,,48.71,29.15,34.83,41.24,49.94
Operating Profit,,,,,,81.03,54.99,63.7,74.47,80.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,8.89,10.17,40.69,40.18,39.43
Reserves,,,,,,415.29,508.66,581.54,591.73,604.34
Borrowings,,,,,,306.63,149.39,84.17,175.34,327.88
Other Liabilities,,,,,,233.8,205.9,241.86,298.32,309.55
Total,,,,,,964.61,874.12,948.26,1105.57,1281.2
Net Block,,,,,,559.8,607.48,603.39,737.59,725.82
Capital Work in Progress,,,,,,60.64,15.57,9.83,2.85,118.25
Investments,,,,,,18.57,16.13,3.4,,4.04
Other Assets,,,,,,325.6,234.94,331.64,365.13,433.09
Total,,,,,,964.61,874.12,948.26,1105.57,1281.2
Receivables,,,,,,162.93,72.28,158.58,201.16,210.45
Inventory,,,,,,99.47,93.04,112.68,124.37,153.58
Cash & Bank,,,,,,1.67,3.55,18.67,1.57,2.38
No. of Equity Shares,,,,,,44470650,50860650,203442600,200892600,197142600
New Bonus Shares,,,,,,,,,,
Face value,,,,,,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,176.13,245.51,127.96,144.22,138.58
Cash from Investing Activity,,,,,,-297.35,-57.87,-6.02,-79.96,-160.86
Cash from Financing Activity,,,,,,118.54,-185.76,-106.76,-81.48,23.21
Net Cash Flow,,,,,,-2.69,1.87,15.17,-17.23,0.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,4.45,5.09,20.34,20.09,19.71
