COMPANY NAME,PARAS DEFENCE AND SPACE TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,694.65,,,,,,,,,
Market Capitalization,2711.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,47.67,143.09,154.4,146.57,132.8,180,214.28
Raw Material Cost,,,,31.54,94.81,95.52,73.97,63.98,81.86,113.71
Change in Inventory,,,,0.78,16.49,11.64,1.49,7.79,0.72,10.3
Power and Fuel,,,,0.54,1.65,2.18,2.44,2.48,2.87,3.28
Other Mfr. Exp,,,,3.92,5.7,5.32,7.27,10.2,15.24,9.97
Employee Cost,,,,1.58,6.86,9.09,11.26,11.79,14.67,20.69
Selling and admin,,,,2.1,7.65,8.57,8.73,5.55,8.17,15.38
Other Expenses,,,,0.37,1.74,2.05,4.51,3.36,5.85,5.31
Other Income,,,,0.12,3.28,2.72,2.14,1.33,2.95,8.27
Depreciation,,,,1.86,6.68,9.41,9.71,9.64,10.32,10.68
Interest,,,,3.63,7.36,9.75,10.21,13.06,8.3,7.11
Profit before tax,,,,3.03,30.41,26.87,22.1,21.86,36.39,46.72
Tax,,,,1,5.33,7.84,2.13,6.78,9.48,10.79
Net profit,,,,2.03,25.08,19.04,19.97,15.08,26.91,35.93
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,52.13,43.59,60.47,41.48,54.63,60.12,58.05,44.72,59.8,62.79
Expenses,36.46,31.52,42.81,29.68,39.95,44.96,44.41,34.2,43.69,49.28
Other Income,0.17,1.1,1.36,0.96,1.05,5.51,0.81,0.98,1.27,0.94
Depreciation,2.48,2.59,2.64,2.6,2.67,2.69,2.72,2.87,3.18,3.03
Interest,2.21,1.25,1.97,0.09,0.52,3.64,1.96,0.46,0.65,1.06
Profit before tax,11.15,9.33,14.41,10.07,12.54,14.34,9.77,8.17,13.55,10.36
Tax,2.67,2.3,3.99,2.54,3.51,3.83,0.91,1.97,3.45,2.76
Net profit,8.48,7.03,10.42,7.53,9.03,10.51,8.86,6.2,10.1,7.6
Operating Profit,15.67,12.07,17.66,11.8,14.68,15.16,13.64,10.52,16.11,13.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,5.01,5.58,5.68,28.41,29.85,39,39
Reserves,,,,26.66,118.25,146.75,144.59,176.52,338.62,374.13
Borrowings,,,,29.62,66.36,84.88,102.96,105.47,29.13,
Other Liabilities,,,,32.57,66.61,92.45,65.94,49.71,47.74,90.06
Total,,,,93.86,256.8,329.76,341.9,361.55,454.49,503.19
Net Block,,,,41.95,171.36,168.29,157.83,156.51,153.51,158.15
Capital Work in Progress,,,,,1.21,2.63,4.91,0.51,0.5,3.81
Investments,,,,8.81,0.06,0.09,0.08,1.15,4.15,19.24
Other Assets,,,,43.1,84.17,158.75,179.08,203.38,296.33,321.99
Total,,,,93.86,256.8,329.76,341.9,361.55,454.49,503.19
Receivables,,,,11.39,25.29,83.23,97.26,94.97,121.75,144.78
Inventory,,,,24.76,43.79,64.53,60.34,74.37,66.41,91.49
Cash & Bank,,,,1.27,2.65,1.8,4.33,7.61,74.41,37.11
No. of Equity Shares,,,,5010000,5582534,5682534,28412670,29853177,39000061,39000061
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,-2.15,3.72,12.77,49.48
Cash from Investing Activity,,,,,,,-4.9,-6.17,-77.49,9.54
Cash from Financing Activity,,,,,,,8.12,5.28,62.35,-45.08
Net Cash Flow,,,,,,,1.08,2.82,-2.37,13.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,625.7,470.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.5,0.5,0.57,2.84,2.99,3.9,3.9
