COMPANY NAME,SHREE CEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,25510,,,,,,,,,
Market Capitalization,92008.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5714.53,6259.39,5513.64,8594.3,9826.35,11722,11904,12668.87,14305.88,16837.49
Raw Material Cost,436.84,552.76,449.3,680.66,769.06,894.81,763.27,833.59,1285.04,1338.36
Change in Inventory,16.37,79.1,-3.28,53.48,-1.29,30.61,-4.97,-42.05,146.48,78.52
Power and Fuel,1378.7,1579.82,1122.95,1444.27,1979.65,2745.04,2347.62,2082.42,3161.38,5544.93
Other Mfr. Exp,629.86,637.98,538.64,821.25,782.93,928.08,921.84,977.32,1296.26,1365.93
Employee Cost,396.8,456.87,371.89,540.63,591.77,681.23,733.68,762.62,809.92,868.38
Selling and admin,1600.09,1842.85,1510,2420.29,3040.92,3484.14,3229.07,3739.56,4006.08,4565.45
Other Expenses,-101.19,-75.64,110.67,227.51,187.95,363.49,217.52,239.48,243.84,290.7
Other Income,104.45,102.39,672.68,361.77,389.05,64.27,260.12,420.89,535.34,431.51
Depreciation,549.91,924.78,827.57,1214.71,899.4,1391.68,1699.42,1139.9,1036.48,1546.2
Interest,129.19,120.63,75.77,129.42,135.27,246.98,286.52,247.1,217.78,268.93
Profit before tax,815.15,400.83,1176.25,1530.81,1827.16,1081.43,1960.21,3025.72,2930.92,1558.64
Tax,27.91,-25.5,33.12,191.7,442.98,130.38,390.03,713.79,554.3,230.51
Net profit,787.24,426.33,1143.13,1339.11,1384.18,951.05,1570.18,2311.93,2376.62,1328.13
Dividend Amount,76.65,83.62,83.62,487.76,174.2,209.04,396.88,216.48,324.72,360.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3205.87,3551.76,4098.76,4202.69,3780.9,4068.79,4785.11,4999.07,4584.63,4900.82
Expenses,2307.67,2726.23,3188.16,3383.87,3257.97,3360.83,3892.66,4066.49,3714.58,3667.13
Other Income,149.95,110.13,138.09,-21.58,156.69,161.23,135.27,161.71,126.08,135.43
Depreciation,250.54,252.1,301.34,327.94,362.79,413.56,441.91,308.47,331.48,346.63
Interest,55.57,55.14,53.55,57.33,67.56,71.43,72.61,75.33,68.13,56.11
Profit before tax,742.04,628.42,693.8,411.97,249.27,384.2,513.2,710.49,596.52,966.38
Tax,164.34,136.43,48.59,96.42,59.67,107.43,-33.01,129.37,105.19,232.15
Net profit,577.7,491.99,645.21,315.55,189.6,276.77,546.21,581.12,491.33,734.23
Operating Profit,898.2,825.53,910.6,818.82,522.93,707.96,892.45,932.58,870.05,1233.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,34.84,34.84,34.84,34.84,34.84,34.84,36.08,36.08,36.08,36.08
Reserves,4676.03,5241.56,6810.69,7663.3,8861.99,9562.55,12900.34,15213.99,17234.79,18252.36
Borrowings,1199.87,916.64,880.51,1292.53,3402.98,2797.95,3144.19,2155.98,2209.07,2811.13
Other Liabilities,1417.97,1804.81,1737.24,2175.44,2842.02,2797.91,3257.26,3632.72,3935.49,4719.11
Total,7328.71,7997.85,9463.28,11166.11,15141.83,15193.25,19337.87,21038.77,23415.43,25818.68
Net Block,2193.77,3004.33,3050.17,2599.12,3589.18,4475.67,4318.92,4191.55,5321.49,5332.69
Capital Work in Progress,758.5,511.1,264.5,710.44,1427.15,1121.11,962.11,970.96,972.91,2320.25
Investments,2244.39,1662.61,3030.47,4042.6,5434.33,4443.88,8915.43,11050.61,11545.95,11650.53
Other Assets,2132.05,2819.81,3118.14,3813.95,4691.17,5152.59,5141.41,4825.65,5575.08,6515.21
Total,7328.71,7997.85,9463.28,11166.11,15141.83,15193.25,19337.87,21038.77,23415.43,25818.68
Receivables,296.59,476.39,328.62,335.12,459.25,732.4,828.45,479.42,595.65,906.05
Inventory,809.78,918.86,815.19,1314.5,1569.02,1589.05,1427.85,1477.17,2161.4,2422.61
Cash & Bank,159.27,307.5,83.04,111,120.9,307.78,108.16,209.76,118.26,119.29
No. of Equity Shares,34837200,34837225,34837225,34837225,34837225,34837225,36080748,36080748,36080748,36080748
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1400.68,1238.56,1566.15,2201.65,1878.75,2059.69,3751.38,4093.61,2722.85,2704.32
Cash from Investing Activity,-1233.94,-990.14,-1264.56,-2047.9,-3594.73,-812.63,-5373.32,-2867.88,-1865.34,-2408.88
Cash from Financing Activity,-155.76,-258.55,-270.76,-166.91,1726.22,-1265.27,1590.99,-1214.58,-858.42,-315.06
