COMPANY NAME,CHOLAMANDALAM INVESTMENT & FINANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1222.5,,,,,,,,,
Market Capitalization,102642.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3714.87,4213.86,4693.58,5558.86,7108.14,8712.38,9583.31,10147.55,12884.42,19139.62
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,7.67,7.91,9.29,,,,,,,
Other Mfr. Exp,0.79,1.65,2.37,2.29,3.19,29.78,36.69,55.46,79.27,
Employee Cost,230.94,262.98,414.9,551.3,605.37,701.19,792.11,958.69,1365.72,2478.6
Selling and admin,348.23,420.75,436.88,392.49,319.07,205.44,170.61,330.36,434.07,
Other Expenses,473.1,573.19,459.03,504.74,704.37,1484.92,1914.03,1581.34,1742.06,2907.15
Other Income,0.01,1.76,3.26,0.31,0.52,0.12,55.87,84.19,220.41,289.57
Depreciation,30.1,21.74,39.02,50.86,56.99,111.25,102.3,100.63,121.09,198.06
Interest,1957.82,2047.95,2227.92,2656.68,3588.14,4591.7,4575.54,4297.66,5748.03,9230.75
Profit before tax,666.23,879.45,1107.43,1400.81,1831.53,1588.22,2047.9,2907.6,3614.59,4614.63
Tax,222.09,304.8,389.51,483.12,634.59,534.08,526.51,748.71,937.92,1194.57
Net profit,444.14,574.68,719.43,919.3,1198.06,1053.72,1520.86,2153.51,2664.85,3420.06
Dividend Amount,50.31,70.29,85.99,101.66,101.67,139.38,164.07,164.28,164.48,168.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2557.28,2605.07,2770.02,3016.84,3356.13,3741.11,4082.06,4622.58,5007.42,5427.56
Expenses,795,630.3,879.19,940.33,911.88,902.31,1173.64,1390.79,1411.59,1416.62
Other Income,17.23,51.56,25.89,50.18,51.96,93.47,88.73,72.58,47.34,87.81
Depreciation,24.11,28.08,27.53,28.03,30.03,35.5,38.58,38.51,45.79,75.18
Interest,1045.7,1070.8,1130.43,1340.06,1543.34,1734.2,2006.2,2204.16,2440.99,2579.4
Profit before tax,709.7,927.45,758.76,758.6,922.84,1162.57,952.37,1061.7,1156.39,1444.17
Tax,181.99,240.71,196.75,195.78,238.02,307.37,242.43,288.83,284.37,378.94
Net profit,527.71,686.74,562.01,562.82,684.82,855.2,709.94,772.87,872.02,1065.23
Operating Profit,1762.28,1974.77,1890.83,2076.51,2444.25,2838.8,2908.42,3231.79,3595.83,4010.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,143.73,156.21,156.34,156.4,156.42,163.98,164.07,164.28,164.48,168.06
Reserves,2530.63,3513.5,4141.57,4969.06,6052.29,8035.88,9435.73,11604.72,14181.62,19425.18
Borrowings,19450.24,22546.47,24070.6,38330.34,50566.74,55005.43,63729.99,69173.5,97357.5,134474.88
Other Liabilities,1743.36,1673.07,2229.71,710.98,714.67,853.09,1314.37,1535.53,1923.3,2618.29
Total,23867.96,27889.25,30598.22,44166.78,57490.12,64058.38,74644.16,82478.03,113626.9,156686.41
Net Block,68.87,120.27,149.77,170.5,167.31,283.17,227.59,258.6,402.68,1576.02
Capital Work in Progress,,,,3.8,13.97,10.6,9.91,37.35,60.5,
Investments,24.58,15.95,182.08,22.72,41.5,32.7,1583.49,2055.05,3561.87,4035.75
Other Assets,23774.51,27753.03,30266.37,43969.76,57267.34,63731.91,72823.17,80127.03,109601.85,151074.64
Total,23867.96,27889.25,30598.22,44166.78,57490.12,64058.38,74644.16,82478.03,113626.9,156686.41
Receivables,11.83,11.53,21.84,68.84,41.28,30.19,56.6,71.31,99.13,214.17
Inventory,,,,,,,,,,
Cash & Bank,352.2,509.46,493.76,951.85,3708.46,7000.74,5279.77,4301.84,3007.1,4393.73
No. of Equity Shares,143800103,156276544,156408433,156462271,156490013,820232259,820689629,821726321,822694856,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-2263.73,-2809.11,-1467.64,-7926.34,-9317.34,-2074.77,-8848.25,-5571.33,-27105.05,-35682.85
Cash from Investing Activity,-40.23,-137.36,-221.86,-60.12,-11.36,-54.05,-1746.16,1639.54,-2148.41,-2854.59
Cash from Financing Activity,1818.9,3031.15,1691.8,8008.65,12190.59,2451.81,8706.62,5150.27,27466.47,38471.23
Net Cash Flow,-485.05,84.68,2.3,22.19,2861.89,322.99,-1887.79,1218.48,-1786.99,-66.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
