COMPANY NAME,SHEELA FOAM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,899.15,,,,,,,,,
Market Capitalization,9775.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1221.44,1358.71,1549.99,1679.71,1888.98,2066.13,2121.46,2437.19,2865.58,2873.32
Raw Material Cost,741.52,823.69,779.95,923.88,1061.2,1153.89,1026.23,1323.94,1811.2,1721.43
Change in Inventory,3.5,-4.47,-4.38,13.89,15.53,11.67,1.44,6,9.78,12.09
Power and Fuel,11.72,11.19,10.59,11.43,11.79,12.79,13.01,12.62,15.68,17.31
Other Mfr. Exp,76.99,99.02,113.17,116.66,123.78,115.77,146.69,115.75,132.26,141.14
Employee Cost,119.38,128.49,139.41,153.15,162.65,177.32,220.35,231.7,255.48,279.76
Selling and admin,212.28,238.9,298.94,316.13,375.89,455.86,436.07,360.34,300.59,363.38
Other Expenses,-21.97,-38.13,27.12,-23.77,-47.37,-48.85,-19.86,34.69,44.92,65.11
Other Income,0.28,10.58,16.42,23.13,20.83,27.55,28,50.24,78.88,86.5
Depreciation,30,27.95,29.27,30.39,35.24,39.53,59.04,72.87,80.78,89.62
Interest,19.16,16.19,11.67,10.97,8.67,9.62,13,17.68,16.97,21.07
Profit before tax,36.14,57.52,151.91,177.89,193.49,189.42,256.37,323.84,296.36,273.09
Tax,8.29,14.84,47.2,52.33,59.78,55.68,62.08,83.69,77.63,70.02
Net profit,27.84,42.67,104.71,125.55,133.71,133.74,193.43,237.72,217.33,201.16
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,785.64,881.3,736.76,700.67,722.16,760.92,729.04,645.09,613.19,878.89
Expenses,675.8,786.32,664.91,634.81,643.89,685.2,651.62,567.47,546.97,802.7
Other Income,17.83,27.71,15.76,17.97,22.52,28.02,18.49,13.24,24.39,31.83
Depreciation,18.6,19.91,23.73,20.65,20.5,22.4,26.07,22.66,21.88,29.91
Interest,4.2,5.76,2.13,4.81,5,4.72,7.04,7.88,8.55,25.21
Profit before tax,104.87,97.02,61.75,58.37,75.29,76.62,62.8,60.32,60.18,52.9
Tax,27.93,29.67,12.45,15.85,21.71,15.46,17,17,15.61,14.45
Net profit,76.4,66.87,49.23,42.09,53.09,60.53,45.44,43.07,44.01,30.75
Operating Profit,109.84,94.98,71.85,65.86,78.27,75.72,77.42,77.62,66.22,76.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,16.26,16.26,16.26,24.39,24.39,24.39,24.39,24.39,24.39,48.78
Reserves,180.3,228.78,322.17,439.26,572.87,705.71,895.35,1159.9,1368.17,1551.61
Borrowings,187.82,145.64,115.12,59.35,47.93,30.55,310.14,334.23,466.47,571.09
Other Liabilities,240.81,288.81,334.75,395.35,397.51,401.15,414,550.84,496.42,531
Total,625.19,679.49,788.3,918.35,1042.7,1161.8,1643.88,2069.36,2355.45,2702.48
Net Block,252.23,286.27,287.83,318.42,348.38,411.68,850.75,893.89,883.04,864.99
Capital Work in Progress,16.78,8.33,9.7,36.21,52.23,0.74,17.97,32.56,119.89,287.49
Investments,,,10,,98.05,317.56,231.43,410.61,618.21,768.37
Other Assets,356.18,384.89,480.77,563.72,544.04,431.82,543.73,732.3,734.31,781.63
Total,625.19,679.49,788.3,918.35,1042.7,1161.8,1643.88,2069.36,2355.45,2702.48
Receivables,120.08,114.5,117.07,138.81,147.31,152.16,215.77,302.15,269.39,281.98
Inventory,124.12,118.16,104.61,146.53,172.58,187.14,226.86,315.31,314.46,331.33
Cash & Bank,76.84,116.98,217.16,209.39,158.24,20.3,44.62,58.1,41.13,42.54
No. of Equity Shares,16260936,16260936,16260936,48782808,48782808,48782808,48782808,48782808,48782808,97565616
New Bonus Shares,,,,16260936,,,,,,
Face value,10,10,10,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,124.43,147.31,159.31,122.02,133.72,137.87,157.3,253.87,197.15,212.01
Cash from Investing Activity,-26.93,-48.63,-34.07,1.98,-80.07,-245.68,-287.14,-208.27,-306.38,-266.67
Cash from Financing Activity,-52.86,-58.54,-25.06,-66.7,-20.1,-27,157.1,-32.35,92.68,56.12
Net Cash Flow,44.63,40.14,100.18,57.3,33.55,-134.82,27.27,13.26,-16.55,1.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,562.6,746.03,629.75,642.95,988.53,1737.4,993.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.25,3.25,3.25,9.76,9.76,9.76,9.76,9.76,9.76,9.76
