COMPANY NAME,NLC INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,212.9,,,,,,,,,
Market Capitalization,29508.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5945.18,6074.94,7828.33,11094.4,11288.52,9871.04,10324.87,9936.18,12070.37,16165.24
Raw Material Cost,,,,,,,,,,
Change in Inventory,72.54,204.66,368.48,436.71,-67.44,-242.92,-81.99,51.43,-476.49,-206.31
Power and Fuel,103.17,127.51,1044.36,1605.15,1745.93,1879.23,1780.92,1667.03,1321.93,2411.8
Other Mfr. Exp,1313.14,1291.43,1105.87,1257.25,1173.75,1261.82,1109.29,1367.85,1499.69,1916.85
Employee Cost,2266.26,2325.9,2368.09,2514.45,3341.42,3237.41,3029.51,2838.95,2808.51,2643.63
Selling and admin,470.93,757.23,1199.42,1802.91,744.63,773.44,852.43,780.89,1307.4,1529.81
Other Expenses,-67.81,237.58,-15.14,-745.52,328.11,218.93,50.36,717,705,1743.34
Other Income,975.96,1433.63,-411.77,-1175.76,712.9,2124.79,1433.27,2531.17,1544.29,-845.23
Depreciation,517.28,440.62,910.11,1043.53,1231.62,1120.76,1334.15,1611.42,1908.72,1800.79
Interest,181.58,149.63,467.33,588.28,547.85,699.92,1174.38,1312.57,983.78,1011.69
Profit before tax,2209.13,2383.33,705,2289.3,2820.67,2561.4,2345.11,2223.07,2603.14,2055.79
Tax,707.25,803.65,637.03,-167.38,863.89,1024.05,892.95,909.03,1488.01,630.66
Net profit,1501.88,1579.68,85.57,2447.02,1942.76,1507.71,1441.37,1281.88,1092.57,1395.68
Dividend Amount,469.76,469.76,503.31,1121.97,687.86,628.15,978.97,346.66,208,485.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3093.8,2731.79,3085.89,3862.91,3489.28,3679.01,5134.04,3316.49,2977.53,3164.4
Expenses,1880.47,1827.59,2017.5,2454.87,2310.01,3957.36,3898,2122.68,2142.97,2259.75
Other Income,776.89,100.8,171.08,103.1,207.41,300.02,712.74,111.99,1534.99,148.87
Depreciation,423.2,438.22,618.15,435.9,433.59,459.72,471.58,461.38,455.05,446.11
Interest,268.97,231.66,214.71,221.16,337.31,232.43,220.79,230.89,213.86,205.37
Profit before tax,1298.05,335.12,406.61,854.08,615.78,-670.48,1256.41,613.53,1700.64,402.04
Tax,1101.08,105.45,75.66,285.65,199.15,-273.99,419.85,199.98,614.72,147.97
Net profit,185.72,231.14,328.02,561.83,410.92,-406.74,829.67,404.71,1084.7,250.42
Operating Profit,1213.33,904.2,1068.39,1408.04,1179.27,-278.35,1236.04,1193.81,834.56,904.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1677.71,1677.71,1677.71,1528.57,1528.57,1386.64,1386.64,1386.64,1386.64,1386.64
Reserves,12224.77,13197.79,11104.22,10597.91,11823.4,11382.81,11518.49,12098.17,12802.54,13782.2
Borrowings,6587.29,6601.43,8423.21,11478.65,13215.37,20598.4,27229.69,27234.28,22086.07,22333.14
Other Liabilities,4226.08,4279.29,8487.91,9888.08,11880.44,11917.22,12493.32,12593.7,13542.27,15604.73
Total,24715.85,25756.22,29693.05,33493.21,38447.78,45285.07,52628.14,53312.79,49817.52,53106.71
Net Block,6547.81,6654.58,16327.11,15997.19,16765.32,17657.95,24109.14,25823.77,24874.92,24058.18
Capital Work in Progress,9371.58,10984.82,2541.52,5218.64,8396.55,13855.66,12661.78,11596.58,13022.13,14636.34
Investments,206.39,103.2,12.69,12.69,12.69,12.69,13.51,13.59,6.62,7.59
Other Assets,8590.07,8013.62,10811.73,12264.69,13273.22,13758.77,15843.71,15878.85,11913.85,14404.6
Total,24715.85,25756.22,29693.05,33493.21,38447.78,45285.07,52628.14,53312.79,49817.52,53106.71
Receivables,2204.45,2282.07,3737.84,4793.45,4558.03,6186.95,8509.79,7521.5,3709.63,4264.47
Inventory,687.47,902.42,1514.37,2342.12,2096.84,1724.88,1691.65,1649.48,1233.49,1221.52
Cash & Bank,4273.87,3577.6,3615.03,515.05,368.47,531.07,432.68,784.56,343.93,251.45
No. of Equity Shares,1677709600,1677709600,1677709600,1528568427,1528568427,1386636609,1386636609,1386636609,1386636609,1386636609
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3736.98,1036.12,1300.53,1225.28,4533.36,1620.07,1646.76,4389.7,7746.05,3761.35
Cash from Investing Activity,-1392.83,-501.88,-1379.68,-4331.82,-4593.06,-6119.07,-5811.77,-2212.26,-762.62,-2088.61
