COMPANY NAME,RELIGARE ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,214.8,,,,,,,,,
Market Capitalization,7085.38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3360.89,4127.79,4894.52,3708.7,2674.57,2370.93,2383.97,2512.86,3227.42,4679.43
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,11.97,13.3,17.35,7.08,13.52,11.99,6.34,4.85,5.55,6.94
Other Mfr. Exp,13.7,26.61,38.62,23.42,99.32,75.66,68.27,106.91,223.97,553.66
Employee Cost,644.77,799.77,933.6,644.99,499.44,518.96,536.12,606.71,806.88,930.51
Selling and admin,534.53,676.57,660.32,697.6,734.64,994.19,1283.83,1293.13,2134.2,2762.99
Other Expenses,380.49,489.47,2060.16,285.65,1494.54,1403.94,446.24,223.56,421.28,-57.74
Other Income,25.11,57.79,1012.25,-315.72,60.2,10.09,-157.13,16.67,137.1,3472.83
Depreciation,34.06,36.91,35.86,30.97,30.06,25.73,60.84,58.84,53.4,56.15
Interest,1583.98,1657.75,1879.05,1839.67,1270.68,854.08,855.31,732.99,750.29,641.12
Profit before tax,182.5,485.2,281.81,-136.4,-1407.43,-1503.53,-1030.11,-497.46,-1031.05,3258.63
Tax,155.86,164.22,221.52,-13.04,-226.92,-2.58,7.86,-19.65,507.46,90.02
Net profit,-69.29,153.79,-47.66,-174.27,-1045.01,-1287.17,-932.47,-508.46,-1543.87,3081.69
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,794.8,827.22,952.56,950.51,1164.47,1165.43,1396.07,1284.62,1584.39,1510.57
Expenses,1057.76,921.22,824.41,922.76,1117.22,1020.44,1149.4,1146.62,1483.01,1454.77
Other Income,93.22,54.04,3,100.57,18.87,3.18,3353.57,17.84,1.19,26.66
Depreciation,13.12,13.52,13.89,14.33,13.35,14.13,14.33,18.68,18.3,17.5
Interest,189.67,196.71,180.73,189.37,197.16,212.65,28.89,25.58,25.3,24.23
Profit before tax,-372.53,-250.19,-63.47,-75.38,-144.39,-78.61,3557.02,111.58,58.97,40.73
Tax,31.48,0.32,524.43,0.82,32.33,16.94,39.92,19.06,18.62,7.15
Net profit,-429.14,-249.64,-612.25,-75.99,-207.15,-117,3481.82,62.96,25.31,19.5
Operating Profit,-262.96,-94,128.15,27.75,47.25,144.99,246.67,138,101.38,55.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,149.61,178.33,178.33,178.33,178.46,216.94,258.13,259.41,318.81,323.56
Reserves,2982.02,3705.48,3659.53,2548.55,1658.08,520.65,-157.11,-306.5,-1301.07,1734.13
Borrowings,14017.1,16466.4,20222.42,14929.23,9944.87,6716.55,5356.31,4940.29,4877.67,840.95
Other Liabilities,3976.48,5088.81,3369.03,3381.65,2081.01,2118.56,2672.85,3832.11,5466.75,5193.21
Total,21125.21,25439.02,27429.31,21037.76,13862.42,9572.7,8130.18,8725.31,9362.16,8091.85
Net Block,1980.9,2128.26,1784.91,102.94,79.68,82.78,174.97,116.84,126.92,196.09
Capital Work in Progress,11.77,3.9,4.11,11.91,11.19,13.86,13.24,12.2,2.22,5.34
Investments,3344.48,4362.62,2699.69,1983.03,1197.17,1437.75,2023.06,3189.94,3835.58,5093.79
Other Assets,15788.06,18944.24,22940.6,18939.88,12574.38,8038.31,5918.91,5406.33,5397.44,2796.63
Total,21125.21,25439.02,27429.31,21037.76,13862.42,9572.7,8130.18,8725.31,9362.16,8091.85
Receivables,474.82,588.67,463.84,612,307.52,346.3,93.8,192.28,184.54,175.45
Inventory,54.9,62.67,57.75,,0.04,0.1,0.47,0.5,0.54,0.33
Cash & Bank,1749,1575.52,1717.36,2021.51,1744.7,1293.11,1460.81,727.47,2415.03,811.59
No. of Equity Shares,149608259,178329808,178334498,178334498,178455248,216942733,258128152,259413902,318809312,323559463
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1634.35,-705.68,-2154.01,5870.59,5802.05,3554.71,2432.8,1373.12,1596.01,1505.96
Cash from Investing Activity,-402.99,-612.14,498.79,2149.19,-457.1,-30.85,-435.68,-1181.31,-689.02,-938.65
Cash from Financing Activity,-1400.29,1093.91,1853.05,-7696.01,-6454.99,-3819.06,-1743.44,-313.56,559.04,-2078.83
Net Cash Flow,-168.93,-223.9,197.83,323.77,-1110.03,-295.2,253.67,-121.76,1466.02,-1511.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
