COMPANY NAME,ATUL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,5836.8,,,,,,,,,
Market Capitalization,17190.48,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2637.17,2594.59,2833.94,3513.78,4037.81,4093.06,3731.47,5080.89,5427.52,4725.68
Raw Material Cost,1434.45,1347.39,1424.68,1750.72,2213.17,1964.75,1755.62,2795.96,2828.63,2361.28
Change in Inventory,-10.96,20.7,-10.8,-52.75,107.09,-5.28,60.42,207.33,-35.35,-149.26
Power and Fuel,298.21,270.5,322.91,348.92,399.53,372.95,309.27,510.14,647.56,553.22
Other Mfr. Exp,177.11,190.49,188.05,208.52,251.01,275.8,269.4,297.54,296.05,
Employee Cost,165.4,193.19,202.7,216.03,262.59,303.73,311.76,343.91,371.77,398.03
Selling and admin,118.49,99.83,103.65,133.29,152.81,165.11,130.18,313.4,324.31,
Other Expenses,30.39,53.04,71.5,298.24,97.62,103.02,97.59,113.96,116.68,627.2
Other Income,9.38,37.24,57.02,30.02,38.49,82.61,109.28,82.29,86.38,67.89
Depreciation,60.27,66.07,95.44,110.38,118.91,130.21,136.32,176.69,197.81,242.88
Interest,25.69,27.53,25.17,12.74,7.41,9.4,9.35,9.17,7.9,11.08
Profit before tax,325.58,404.49,446.06,412.21,680.34,845.42,881.68,809.74,687.84,450.62
Tax,99.37,130.22,122.71,130.97,244.32,174.51,221.66,205,181.21,126.5
Net profit,240.65,274.18,322.97,276.48,432.23,666.46,655.76,604.26,514.09,323.02
Dividend Amount,25.23,25.23,29.68,35.62,44.52,81.62,59.22,74.02,95.97,58.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1380.31,1370.42,1476.85,1487.27,1268.25,1195.15,1182.02,1193.71,1137.8,1212.15
Expenses,1128.84,1165.22,1243.9,1266.99,1096.25,1045.78,999.76,1038.52,986.12,1064.59
Other Income,5.79,24.05,37.07,33.19,22.86,25.83,10.16,24.36,17.1,16.27
Depreciation,45.4,44.05,47.29,49.07,50.38,51.07,51.93,53.99,61.21,75.75
Interest,1.91,3.41,1.57,1.94,2.2,2.19,2.03,1.86,2.12,5.07
Profit before tax,209.95,181.79,221.16,202.46,142.28,121.94,138.46,123.7,105.45,83.01
Tax,53.04,45.23,57.69,54.39,39.4,29.73,36.41,32.47,33.4,24.22
Net profit,155.43,136.26,164.52,150.91,105.1,93.56,103.35,90.32,70.94,58.41
Operating Profit,251.47,205.2,232.95,220.28,172,149.37,182.26,155.19,151.68,147.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,29.68,29.68,29.68,29.68,29.68,29.68,29.61,29.61,29.53,29.46
Reserves,1009.31,1585.11,1936.26,2214.24,2676.03,3125.22,3796.91,4399.35,4641.85,5084.88
Borrowings,298.83,315.82,167.69,15.92,54.67,108.47,132.93,144.17,52.24,236.55
Other Liabilities,485.25,534.86,590.83,748.74,783.07,880.2,975.54,1116.75,1027.95,1125.39
Total,1823.07,2465.47,2724.46,3008.58,3543.45,4143.57,4934.99,5689.88,5751.57,6476.28
Net Block,513.66,749.6,1026.03,1027.28,1104.29,1110.13,1418.38,1634.19,1769.66,2792.18
Capital Work in Progress,112.05,180.44,58.99,96.2,172.27,368.14,249.7,420.47,1032.85,280.75
Investments,66.05,381.92,428.94,469.84,752.01,1137.31,1361.05,1338.7,880.94,1342.49
Other Assets,1131.31,1153.51,1210.5,1415.26,1514.88,1527.99,1905.86,2296.52,2068.12,2060.86
Total,1823.07,2465.47,2724.46,3008.58,3543.45,4143.57,4934.99,5689.88,5751.57,6476.28
Receivables,442.42,441.39,518.96,723.4,698.47,719.73,733.23,989.01,844.61,927.04
Inventory,415.27,427.78,419.24,411.43,511.82,503.37,594.14,864.12,789.36,618.26
Cash & Bank,36.62,22.01,28.3,49.39,54.5,35.37,348.18,68.92,52.03,72.3
No. of Equity Shares,29691691,29691724,29691724,29691724,29691724,29691724,29617042,29617042,29543746,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,306.26,400.97,391.74,355.71,403.58,881.38,717.95,231.45,706.69,667.46
Cash from Investing Activity,-166.62,-374.55,-174.54,-129.08,-407.58,-782.23,-645.04,-163.23,-468.84,-683.19
Cash from Financing Activity,-123.83,-39.34,-211.83,-207.4,-1.08,-110.55,-52.19,-57.44,-257.49,37.54
Net Cash Flow,15.81,-12.92,5.37,19.23,-5.08,-11.4,20.72,10.78,-19.64,21.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
