COMPANY NAME,KALPATARU PROJECTS INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1187.8,,,,,,,,,
Market Capitalization,19288.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7151.96,7142.46,7445.81,8708.98,10840.48,12675.84,12949.44,14777.38,16361.44,19626
Raw Material Cost,2951.77,2714.01,2929.7,3766.51,4470.43,5329.84,4745.01,6421.34,6983.77,8187
Change in Inventory,34.13,-143.84,-14.42,20.59,-4.61,62.15,-13.9,-24.66,13.46,-18
Power and Fuel,24.18,23.52,67.74,85.93,103.25,128.64,133.93,160.41,252.28,
Other Mfr. Exp,2330.9,2350.93,2333.35,2475.59,3421.31,3976.15,4614.45,4656.08,5268.17,
Employee Cost,547.32,556.05,553.84,643.24,788.63,1000.51,1047.33,1305.81,1455.88,1718
Selling and admin,579.07,486.87,567.66,457.42,562.72,578.85,655.03,666.19,783.11,
Other Expenses,12.78,29.48,58.44,200.58,75.18,181.47,166.04,247.56,142.16,8075
Other Income,25.04,-18.45,24,25.31,44.13,48.1,276.66,273.85,164.91,64
Depreciation,168.29,186.16,180.53,191.51,210.94,339.64,373.45,350.78,391.75,473
Interest,372.76,461.9,469.33,473.18,486.28,603.3,531.71,521.99,621.17,518
Profit before tax,224.06,171.25,294.8,460.92,761.26,647.69,945.25,696.41,641.52,701
Tax,108.65,95.43,137.5,182.66,274.17,258.1,283.21,161.35,206.5,185
Net profit,120.36,110.01,186.46,280.68,466.75,389.59,671.02,540.3,440.75,510
Dividend Amount,23.02,23.02,30.69,38.36,46.04,54.14,148.9,96.78,113.72,128
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3889,4135,3677,3798,4004,4882,4241,4518,4896,5971
Expenses,3573,3833,3362,3449,3630,4550,3859,4148,4472,5519
Other Income,227,34,2,5,2,122,18,12,14,20
Depreciation,93,81,90,94,98,110,120,113,121,119
Interest,102,98,100,116,119,132,115,137,124,142
Profit before tax,348,157,127,144,159,212,165,132,193,211
Tax,89,42,39,46,50,72,52,42,49,42
Net profit,270,107,81,86,118,156,115,89,141,165
Operating Profit,316,302,315,349,374,332,382,370,424,452
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,30.69,30.69,30.69,30.69,30.69,30.94,29.78,29.78,32.49,32
Reserves,2185.86,2216.59,2391.36,2642.72,3088.78,3327.48,3708.72,4248.79,4688.13,5106
Borrowings,3684.13,2922.31,2848.58,3319.06,2609.68,3296.15,3259.53,3837.78,3786.13,4009
Other Liabilities,3050.41,4315.09,4947.04,6392.54,8405.64,9086.37,8322.99,8999.45,11013.89,12891
Total,8951.09,9484.68,10217.67,12385.01,14134.79,15740.94,15321.02,17115.8,19520.64,22038
Net Block,3204.17,3081.43,3060.92,3061.54,3140.72,3444.46,3472.34,3558.57,3124.43,3073
Capital Work in Progress,397.59,27.32,116.86,724.05,15.8,54.26,34.03,24.63,52.28,33
Investments,11.3,63.31,44.69,50.54,1.46,1.36,1.13,4.69,4.63,
Other Assets,5338.03,6312.62,6995.2,8548.88,10976.81,12240.86,11813.52,13527.91,16339.3,18932
Total,8951.09,9484.68,10217.67,12385.01,14134.79,15740.94,15321.02,17115.8,19520.64,22038
Receivables,2228.83,2923.82,3393.56,3955.12,4213.58,4616.01,5016.82,4578.77,5251.25,5805
Inventory,1217.63,880.94,932.66,992.13,1116.5,1208.55,1071.08,1096.03,1228.47,1353
Cash & Bank,138.1,166.4,257.94,282.61,244.7,546.1,591.86,1194.02,1059.87,1032
No. of Equity Shares,153460570,153460570,153460570,153460570,153460570,154715470,148909208,148909208,162446152,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,71.99,1104.16,766.36,649.59,1035.29,937.24,931,713.66,656.39,
Cash from Investing Activity,-604.64,-387.36,-234.74,-698.78,-835.22,-712.76,-5.57,-214.42,-322.76,
Cash from Financing Activity,550.47,-725.71,-438.8,65.8,-218.92,40.29,-896.68,24.99,-437.88,
Net Cash Flow,17.81,-8.91,92.82,16.61,-18.85,264.77,28.75,524.23,-104.25,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,219.45,205.1,322.7,484.25,470.75,182.65,377,366.75,534.25,1069.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,15.35,15.35,15.35,15.35,15.35,15.47,14.89,14.89,16.24,16.24
