COMPANY NAME,PVR INOX LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1299.85,,,,,,,,,
Market Capitalization,12761.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1348.11,1477.12,1849.56,2119.43,2334.11,3085.56,3414.44,280.01,1329.4,3750.65
Raw Material Cost,,107.38,124.83,140.1,159.07,238.74,263.69,25.76,,
Change in Inventory,,,,,,,,,,
Power and Fuel,96.57,111.58,122.7,140.31,149.08,181.07,205.6,56.61,101.47,233.41
Other Mfr. Exp,488.49,509.99,638.21,731.19,793.31,993.54,1157.3,212.33,700.91,1670
Employee Cost,129.6,143.12,186.01,220.62,254.19,337.36,393.93,217.31,265.27,439.15
Selling and admin,405.92,389.21,463.92,552.05,561.32,719.07,270.43,72.45,107.86,249.29
Other Expenses,12.77,10.15,14.89,15.18,15.66,29.17,47.44,31.07,48.49,111.11
Other Income,11.44,1.81,45.36,51.82,30.38,31.71,37.79,469.34,326.13,68.26
Depreciation,94.38,116.8,115.11,138.38,153.69,191.28,542.46,574.82,614.4,753.32
Interest,79.51,78.25,83.95,80.58,83.71,128.01,481.79,497.84,497.84,571.62
Profit before tax,52.31,12.45,145.3,152.84,194.46,299.03,89.59,-938.84,-680.71,-208.99
Tax,1.92,0.81,46.68,57,70.44,109.63,62.74,-190.63,-192.2,127.41
Net profit,56.05,12.76,98.11,95.79,124.7,189.83,27.3,-747.79,-488.24,-335.07
Dividend Amount,10.28,4.15,9.34,9.35,9.35,9.35,20.54,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,120.32,614.15,536.17,981.4,686,940,1143.2,1304.9,1999.9,1545.9
Expenses,188.45,449.24,436.36,639.7,532.3,651.7,879.3,952.4,1293.1,1073.5
Other Income,154.89,95.56,42.52,20.7,16.4,20.3,10.9,24.9,23.8,58.8
Depreciation,148.7,153.99,168.67,149.3,152.6,155.2,296.2,290.8,308.6,317.1
Interest,123.53,125.7,125.17,128,127.7,127.3,188.6,194.5,200.3,196.6
Profit before tax,-185.47,-19.22,-151.51,85.1,-110.2,26.1,-210,-107.9,221.7,17.5
Tax,-32.2,-9.02,-46.02,31.9,-38.7,10.2,124,-25.9,55.5,4.7
Net profit,-153.13,-10.18,-105.49,53.4,-71.2,16.1,-333.4,-81.6,166.3,12.8
Operating Profit,-68.13,164.91,99.81,341.7,153.7,288.3,263.9,352.5,706.8,472.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,41.11,41.53,46.69,46.74,46.74,46.74,51.35,60.76,61,97.97
Reserves,358.19,367.66,834.53,918.27,1028.62,1448.95,1428.87,1772.63,1309.37,7231.88
Borrowings,613.34,747.01,660.02,819.58,830.51,1282.39,5066.16,5003.08,5195.87,8051.91
Other Liabilities,339.59,272.63,355.98,440.19,442.38,1062.1,881.39,665.38,757.08,1091.48
Total,1352.23,1428.83,1897.22,2224.78,2348.25,3840.18,7427.77,7501.85,7323.32,16473.24
Net Block,819.73,860.35,999.64,1508.68,1589.85,2742.48,5886.03,5475.13,5407.38,14208.55
Capital Work in Progress,106.52,80.4,75.94,105.57,101.69,220.8,154.71,217.17,64.49,247.34
Investments,23.5,1.86,1.85,1.97,20.94,11.05,2.26,1.2,0.47,0.21
Other Assets,402.48,486.22,819.79,608.56,635.77,865.85,1384.77,1808.35,1850.98,2017.14
Total,1352.23,1428.83,1897.22,2224.78,2348.25,3840.18,7427.77,7501.85,7323.32,16473.24
Receivables,52.3,76.7,90.08,102.08,155.61,183.86,189.11,30.69,81.76,182.48
Inventory,10.63,12.6,20.46,19.04,19.8,30.34,30.67,24.95,34.2,66.37
Cash & Bank,27.26,25.73,267.13,29.9,32.79,34.14,322.3,731.41,578.11,361.6
No. of Equity Shares,41106220,41528888,46686938,46738588,46738588,46738588,51349145,60762172,60996587,97967314
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,229.62,155.26,354.34,319.61,446.26,829.64,787.04,-412.68,166.79,863.9
Cash from Investing Activity,-117.75,-205.42,-331.16,-632.09,-362.58,-1006.26,-390.33,-288.63,-2.81,-339.26
Cash from Financing Activity,-122.22,48.8,216.84,60.15,-65.95,142.43,-211.03,1075.46,-216.81,-693.5
Net Cash Flow,-10.35,-1.36,240.02,-252.33,17.73,-34.19,185.68,374.15,-52.83,-168.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,460.38,650.93,721.19,1405.4,1193.3,1616.96,1162.42,1226.15,1922.3,1534
,,,,,,,,,,
DERIVED:,,,,,,,,,,
