COMPANY NAME,INTERGLOBE AVIATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4045.35,,,,,,,,,
Market Capitalization,156166.79,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,11116.58,13925.34,16139.91,18580.5,23020.89,28496.77,35756,14640.63,25930.93,54446.45
Raw Material Cost,58.4,81.71,114.78,123.83,123.88,139.8,180.91,54.32,118.14,287.24
Change in Inventory,-0.71,3.17,1.13,0.29,-1.27,0.66,3.05,-1.16,1.68,1.24
Power and Fuel,5518.5,5754.77,4779.32,6341.51,7760.14,11942.79,12453.79,3831.28,9695.24,23646.02
Other Mfr. Exp,317.12,2078.27,3068.19,6496.88,8177.6,10945.71,10496.59,6829.16,9578.33,13581.37
Employee Cost,928.94,1188.69,1787.98,2048.39,2456.23,3138.67,4396.83,3028.2,3154.04,4326.6
Selling and admin,2557.63,2549.91,3096.67,1201.47,1199.09,1771.08,2331.97,1196.01,1653.48,2751.09
Other Expenses,1302.25,371.34,129.98,150.04,272.85,710.31,1829.89,-301.9,1175.17,3334.61
Other Income,390.86,394.57,515.12,789.07,946.81,1324.86,1531.31,1036.33,724.54,1431.44
Depreciation,226.01,302.21,505.47,457.25,436.88,759.58,3973.61,4698.69,5067.85,5101.24
Interest,122.58,149.65,350.26,406.15,413.09,563.4,1901.86,2169.84,2385.93,3167.68
Profit before tax,475.3,1846.53,2823.51,2144.34,3126.67,-149.05,-275.09,-5829.8,-6171.03,-316.72
Tax,0.86,542.35,837.34,485.15,884.3,-305.18,-26.93,,,
Net profit,474.44,1304.17,1986.16,1659.19,2242.37,156.14,-248.16,-5829.79,-6171.03,-316.72
Dividend Amount,377.58,1079.69,540.54,1229,230.65,192.2,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5608.5,9294.77,8020.75,12855.29,12497.59,14932.97,14160.6,16683.05,14943.88,19452.15
Expenses,5422.07,7516.77,7985.05,12257.86,12472.2,11819.34,11412.23,11715.2,12747.56,14307.88
Other Income,189.86,185.11,186.43,163.36,353.97,475.73,438.37,477.47,558.27,609.78
Depreciation,1247.89,1233.59,1269.29,1169.62,1237.26,1341.88,1352.49,1404.34,1545.46,1660.35
Interest,568.82,601.07,632.63,656.6,727.59,829.31,918.23,953.74,1021.27,1095.21
Profit before tax,-1440.42,128.45,-1679.79,-1065.43,-1585.49,1418.17,916.02,3087.24,187.86,2998.49
Tax,,,,,,,,,,
Net profit,-1440.42,128.45,-1679.79,-1065.42,-1585.49,1418.17,916.02,3087.25,187.86,2998.49
Operating Profit,186.43,1778,35.7,597.43,25.39,3113.63,2748.37,4967.85,2196.32,5144.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,30.7,30.7,360.36,361.47,384.41,384.41,384.8,384.91,385.26,385.55
Reserves,373.26,386.32,2362.83,3417.75,6693.04,6560.38,5477.64,-314,-6420.55,-6688.68
Borrowings,3346.24,3926.16,3244.63,2596.17,2452.72,2429.17,22719.17,29859.65,36877.84,44854.22
Other Liabilities,5351.32,6446.25,6661.69,8834.37,11599.17,15637.78,13466.85,13043.69,15017.56,20491.59
Total,9101.52,10789.43,12629.51,15209.76,21129.34,25011.74,42048.46,42974.25,45860.11,59042.68
Net Block,3955.97,4876.04,4747.41,3793.84,4578.81,5662.04,16778.2,18815.47,21282.07,27649.97
Capital Work in Progress,,0.45,31.97,25.19,32.49,23.63,140.24,71.74,125.31,20.77
Investments,1271.53,516.8,986.16,3713.44,6344.04,6516.7,9499.35,7290.17,8032.61,11514.35
Other Assets,3874.02,5396.14,6863.97,7677.29,10174,12809.37,15630.67,16796.87,16420.12,19857.59
Total,9101.52,10789.43,12629.51,15209.76,21129.34,25011.74,42048.46,42974.25,45860.11,59042.68
Receivables,89.12,104.55,157.11,158.7,226.32,362.47,259.61,219.17,332.92,519.9
Inventory,67.29,151.75,87.11,163.15,183.23,211.44,286.13,316.42,408.06,591.07
Cash & Bank,1101.53,1999.38,3718.67,4632.54,6580.6,8606.36,10829.41,11227.06,10116.52,11810.57
No. of Equity Shares,307000,307000,360356544,361468363,384406838,384406838,384796279,384910000,385254729,385547099
New Bonus Shares,,,,,,,,,,
Face value,1000,1000,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1595.03,2383.88,3115.72,3782.07,3903.1,3160,6943.3,-1620.4,2064.1,12703.14
Cash from Investing Activity,-2913.78,-939.67,-1337.14,-3033.12,-4151.54,-2525.68,-4572.56,3227.98,1527.17,-4038.53
Cash from Financing Activity,1284.84,-1308.11,-1219.96,-1401.21,765.96,-592.16,-2407.48,-1775.34,-3087.84,-8432.46
