COMPANY NAME,RALLIS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,267.55,,,,,,,,,
Market Capitalization,5208.73,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1492.63,1288.04,1385.71,1498.42,1983.61,2251.5,2429.43,2603.93,2966.97,2648
Raw Material Cost,915.9,739.47,703.5,880.02,1236.74,1357.01,1465.13,1567.78,1750.12,1647
Change in Inventory,31.37,2.44,-35.8,73.06,140.03,33.3,68.93,57.9,-84.57,70
Power and Fuel,60.43,46.37,40.84,53.05,63.92,59.36,56.13,70.83,95.11,
Other Mfr. Exp,72.81,61.52,116.31,137.97,170.67,170.55,193.76,254.76,239.56,
Employee Cost,108.02,106.39,117.94,130.27,182.79,202.3,219.66,242.08,258.54,262
Selling and admin,85.9,67.02,74.3,81.73,104.35,109.23,126.97,122.14,154.38,
Other Expenses,25.77,61.09,59.22,59.98,122.47,121.55,111.68,122.97,164.01,498
Other Income,1.72,4.66,168.2,8.93,30.01,45.75,49.4,22.19,12.55,17
Depreciation,44.59,37.83,42.18,40.57,46.07,61.51,64.07,74.31,91.36,114
Interest,6.55,10.27,4.49,5.56,8.06,9.77,6.77,6.67,13.8,18
Profit before tax,205.75,165.18,359.33,191.26,218.58,239.27,303.59,222.48,128.07,196
Tax,60.34,39.02,93.3,49.77,64.39,53.81,74.93,58.21,36.12,48
Net profit,145.42,126.16,266.03,141.49,154.19,185.47,228.67,164.27,91.94,148
Dividend Amount,48.62,48.62,72.94,48.62,48.62,48.62,58.35,58.35,48.62,47.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,628.08,507.54,863,951,630,523,782,832,598,436
Expenses,560.69,510.37,750,834,577,587,672,699,536,430
Other Income,5.49,7.48,5,2,2,4,3,6,2,6
Depreciation,18.42,19.66,25,22,22,23,25,26,30,33
Interest,1.4,1.23,2,2,3,5,3,3,4,8
Profit before tax,53.06,-16.24,91,95,30,-88,85,110,30,-29
Tax,13.51,-2.11,24,23,8,-19,22,28,6,-8
Net profit,39.55,-14.13,67,72,22,-69,63,82,24,-21
Operating Profit,67.39,-2.83,113,117,53,-64,110,133,62,6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19
Reserves,778.51,898.9,1105.95,1159.4,1266.37,1390.55,1571.93,1677.21,1710.61,1810
Borrowings,75.38,35.95,21.55,21.21,72.83,93.61,75.61,92.75,136.7,133
Other Liabilities,359.03,355.66,403.8,533.4,800.83,943.62,920.41,1068.62,930.94,1041
Total,1232.37,1309.96,1550.75,1733.46,2159.48,2447.23,2587.4,2858.03,2797.7,3003
Net Block,372.85,342.13,350.03,350.86,580.76,592.83,630.98,770.74,757.87,1050
Capital Work in Progress,14.38,23.96,23.1,24.68,50.71,75.7,164.48,130.06,236.72,19
Investments,231.62,304.97,534.03,389.69,109.27,302.47,283.47,211.9,222.62,251
Other Assets,613.52,638.9,643.59,968.23,1418.74,1476.23,1508.47,1745.33,1580.49,1683
Total,1232.37,1309.96,1550.75,1733.46,2159.48,2447.23,2587.4,2858.03,2797.7,3003
Receivables,206.46,182.79,225.84,365.33,448.21,450.02,406.28,445.94,498.58,579
Inventory,276.59,257.5,244.49,374.86,673.23,699.2,763.2,937.99,792.89,808
Cash & Bank,5.09,5.97,6.62,5.69,43.94,47.99,53.91,63.2,46.05,32
No. of Equity Shares,194470890,194470890,194470890,194470890,194470890,194470890,194470890,194470890,194470890,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,63.82,218.17,352.63,-5.01,79.13,338,216.24,165.85,216.82,269
Cash from Investing Activity,-41.99,-134.25,-275.23,95.3,-50.78,-245.92,-161.56,-102.92,-142.11,-102
Cash from Financing Activity,-24.07,-51.61,-74.11,-91.54,-51.5,-74.41,-67.42,-61.44,-41.04,-184
Net Cash Flow,-2.24,32.31,3.29,-1.25,-23.15,17.66,-12.74,1.49,33.67,-17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,227.05,170.15,259.75,238.25,163.9,175.7,252.8,238.05,192.9,250.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45
