COMPANY NAME,KANSAI NEROLAC PAINTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,276.85,,,,,,,,,
Market Capitalization,22388.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3505.36,3766.87,4052.55,4658.08,5424.32,5279.97,5074.25,6369.35,7542.73,7801.44
Raw Material Cost,2072.63,2380.8,2128.55,2944.16,3269.28,2853.36,2868.86,4186.17,4799.05,5043.33
Change in Inventory,-62.58,12.62,34.27,117.93,201.78,-48.92,106.47,292.81,94.76,-0.78
Power and Fuel,65.41,69.68,71.27,75.79,86.76,73.63,64.41,71.19,89.64,
Other Mfr. Exp,279.57,28.34,305.88,22.79,438.74,401.27,420.7,578.55,610.05,
Employee Cost,146.24,173.27,202.57,235.08,283.41,310.37,304.68,355.58,377.05,448.62
Selling and admin,616.73,812.4,930.05,553.83,603.1,1208.29,1174.07,1462.46,1683.34,
Other Expenses,-188.95,-269.66,-288.9,150.57,192.29,-420.33,-515.28,-641.15,-739.63,1280.96
Other Income,21.53,562.87,98,70.91,60.52,25.53,38.21,25.41,25.98,753.13
Depreciation,68.26,68.29,70.09,77.07,106.28,142.12,165.3,169.77,180.08,190.46
Interest,0.92,,,0.67,9.97,20.91,23.74,28.59,29,29.21
Profit before tax,403.5,1079.24,765.31,786.96,696.79,666.96,712.45,476.41,634.89,1561.21
Tax,128.31,177.23,255.23,273.21,249.13,151.18,186.73,133.26,166.42,385.35
Net profit,274.06,900.99,508.84,514.4,452.75,521.01,529.74,358.86,473.58,1185.44
Dividend Amount,75.45,164.36,161.67,140.11,140.11,169.75,282.92,132.03,145.5,303.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1810.35,1536.6,2051.37,1930.96,1826.81,1733.59,2156.8,1956.54,1918.71,1769.39
Expenses,1598.18,1452.68,1796.33,1731.61,1631.33,1565.47,1825.3,1683.3,1674.71,1590.38
Other Income,9.96,-0.97,4.83,4.07,7.38,9.7,678.45,22.02,20.13,32.53
Depreciation,42.95,43.04,43.13,45.14,46,45.81,46.68,47.39,48.43,47.96
Interest,7.26,7.82,8.49,6.3,7.41,6.8,7.12,7.6,7.47,7.02
Profit before tax,171.92,32.09,208.25,151.98,149.45,125.21,956.15,240.27,208.23,156.56
Tax,46.6,12.92,56.2,40.77,40.48,28.97,222.15,64.79,56.14,42.27
Net profit,128.03,24.73,156.32,113.57,109.92,93.77,738,177.15,154.26,116.03
Operating Profit,212.17,83.92,255.04,199.35,195.48,168.12,331.5,273.24,244,179.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,53.89,53.89,53.89,53.89,53.89,53.89,53.89,53.89,53.89,80.84
Reserves,1547.58,2455.72,2760.61,3078.43,3362.44,3706.41,3999.01,4078.33,4479.81,5501.72
Borrowings,51.18,46.09,28.65,35.16,107.95,178.22,173.1,203,159.99,276.42
Other Liabilities,720.33,684.75,793.1,962.44,993.61,945.1,1307.35,1374.16,1612.67,1550.74
Total,2372.98,3240.45,3636.25,4129.92,4517.89,4883.62,5533.35,5709.38,6306.36,7409.72
Net Block,916.4,937.4,957.46,1035.54,1465.07,1906.39,1912.19,1996.16,2108.01,2185.68
Capital Work in Progress,43.94,41.95,154.37,345.98,316.35,169.1,206.85,224.58,113.06,149.05
Investments,207.71,539.02,531.44,520.67,196.52,305.95,669.01,210.54,501.36,1326.62
Other Assets,1204.93,1722.08,1992.98,2227.73,2539.95,2502.18,2745.3,3278.1,3583.93,3748.37
Total,2372.98,3240.45,3636.25,4129.92,4517.89,4883.62,5533.35,5709.38,6306.36,7409.72
Receivables,515.3,545.51,590.44,702.64,755.58,786.98,956.35,1093.33,1237.91,1334.88
Inventory,555.14,582.72,703.2,829.18,1111.06,1008.35,1197.93,1629.55,1729.13,1687.46
Cash & Bank,34.45,478.51,261.44,363.61,96.19,192.03,124.53,106,126.86,259.95
No. of Equity Shares,538919720,538919720,538919720,538919720,538919720,538919720,538919720,538919720,538919720,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,304.74,391.71,351.2,360.02,99.92,595.07,645.87,24.77,408.25,903.01
Cash from Investing Activity,-238.68,144.11,-557.25,-162.13,89.11,-376.22,-452.84,249.54,-226.91,-589.76
Cash from Financing Activity,-86.97,-91.83,-216.2,-191.58,-222.89,-140.69,-274.16,-309.31,-132.6,-248.84
Net Cash Flow,-20.91,443.99,-422.25,6.31,-33.86,78.16,-81.13,-35,48.74,64.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
