COMPANY NAME,SYNGENE INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,652,,,,,,,,,
Market Capitalization,26259.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,1423.1,1825.6,2011.9,2184.3,2604.2,3192.9,3488.6
Raw Material Cost,,,,395.2,505.3,518.6,551.7,770.6,902.2,873.6
Change in Inventory,,,,13.5,-26,-0.8,25.2,21.6,42,-56.6
Power and Fuel,,,,34.7,41.3,45.8,57.4,64.8,69.2,
Other Mfr. Exp,,,,81.6,98.1,114.8,140.7,160.8,208.3,
Employee Cost,,,,381.2,474.6,582.7,662.6,723.1,847.3,888.7
Selling and admin,,,,114.6,121.2,121.5,105.4,132.6,191.1,
Other Expenses,,,,-44.5,22.3,9.8,14,-24.2,74.9,655.3
Other Income,,,,52.8,75.1,152.9,93.7,20.1,63.4,79.5
Depreciation,,,,131.4,164.2,219.3,274.5,309.7,366.5,425.9
Interest,,,,22.7,32.3,34.6,27.7,24.1,45.2,47.2
Profit before tax,,,,372.5,415.4,516.9,469.2,484.4,593.6,620.8
Tax,,,,67.1,83.8,104.8,64.3,88.6,129.2,110.8
Net profit,,,,305.4,331.6,412.1,404.9,395.8,464.4,510
Dividend Amount,,,,20,10,,,40.08,50.18,50.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,641.4,758.1,644.5,768.1,785.9,994.4,808.1,910.1,853.5,916.9
Expenses,438,507.8,471.7,551.6,554.9,680.3,596.2,656,622,600
Other Income,12.9,14.7,15.5,15.4,17.2,22.8,23.6,14.2,25.6,16.1
Depreciation,78.5,80.3,86.1,90.2,94.6,95.6,102.1,104.6,108.1,111.1
Interest,9.4,5.6,9.4,11.7,13.7,10.4,10.5,13,10.8,12.9
Profit before tax,128.4,179.1,92.8,130,139.9,230.9,122.9,150.7,138.2,209
Tax,24.4,31.3,18.9,28,30.2,52.2,29.5,34.2,26.7,20.4
Net profit,104,147.8,73.9,102,109.7,178.7,93.4,116.5,111.5,188.6
Operating Profit,203.4,250.3,172.8,216.5,231,314.1,211.9,254.1,231.5,316.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,200,200,400,400,400.8,401.4,402
Reserves,,,,1520.4,1768.4,1775.8,2421.4,2896.8,3216.6,3855.7
Borrowings,,,,787.4,813.3,772.9,892.9,1021.6,815.2,555.2
Other Liabilities,,,,681.2,921.8,1214.2,1168.9,1244.6,1397.8,1338.7
Total,,,,3189,3703.5,4162.9,4883.2,5563.8,5831,6151.6
Net Block,,,,1030.4,1376.8,2019.7,2201,2392.8,2666.9,2851.3
Capital Work in Progress,,,,155.4,273.7,234.1,237.2,346.4,176.9,836.8
Investments,,,,157.7,716,776.4,702,1034.1,918.5,547.9
Other Assets,,,,1845.5,1337,1132.7,1743,1790.5,2068.7,1915.6
Total,,,,3189,3703.5,4162.9,4883.2,5563.8,5831,6151.6
Receivables,,,,266.8,338.7,398.2,475.7,507.7,529.3,441.6
Inventory,,,,86,43.4,25.2,59.6,179.4,332.8,238.5
Cash & Bank,,,,967.4,436.9,281.5,642.6,517.9,531.7,563.5
No. of Equity Shares,,,,200000000,200000000,400000000,400000000,400796500,401434500,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,446.2,630.4,677.1,701.2,580.6,823.5,1042.1
Cash from Investing Activity,,,,-349.3,-645.5,-423.8,-628.9,-610.8,-653.3,-495.6
Cash from Financing Activity,,,,-78.7,-72.4,-225.5,58,-31.3,-342.5,-551.5
Net Cash Flow,,,,18.2,-87.5,27.8,130.3,-61.5,-172.3,-5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,298.6,297.65,240.15,543.45,597.6,594.5,702.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,40,40,40,40,40.08,40.14,40.2
