COMPANY NAME,DCB BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,128.1,,,,,,,,,
Market Capitalization,4007.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1422.42,1698.46,2076.15,2412.99,3041.49,3536.63,3458.21,3512.77,4200.27,5362.04
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,8.66,11.69,12.55,16.35,20.01,23.08,23.98,29.62,40.41,
Employee Cost,196.57,245.95,308.9,382.07,435.35,460.35,434.87,540.49,694.45,794.33
Selling and admin,75.93,87.24,111.8,134.37,145.65,156.58,149.84,175.08,219.16,143.75
Other Expenses,161.47,204.86,266.94,333.38,347.72,472.93,614.34,611.1,467.8,742.1
Other Income,165.72,220.46,248.85,310.27,350.16,391.09,445.83,452.04,409.39,474.24
Depreciation,23.36,29.1,39.03,53.36,44.18,51.14,56.6,63.71,77.01,
Interest,914.2,1078.96,1279.06,1417.56,1892.2,2271.72,2171.6,2155.26,2483.27,3434.14
Profit before tax,207.95,261.12,306.72,386.17,506.54,491.92,452.81,389.55,627.56,721.96
Tax,16.77,66.59,107.04,140.83,181.18,153.98,117.01,102.04,161.99,185.99
Net profit,191.18,194.52,199.68,245.34,325.37,337.94,335.79,287.5,465.56,535.97
Dividend Amount,,,14.27,23.11,30.96,,,31.1,38.94,39.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,878.08,919.92,949.27,999.99,1071.73,1179.28,1237.74,1305.6,1374.1,1444.6
Expenses,361.51,342.02,335.25,358.76,388,416.82,406.72,412.22,427.2,434.03
Other Income,118.34,114.79,92.42,99.22,95.42,122.33,106.94,107.35,123.72,136.22
Depreciation,,,,,,,,,,
Interest,533.05,539.45,575.32,588.9,625.72,693.33,767.02,829.89,900.11,937.12
Profit before tax,101.86,153.24,131.12,151.55,153.43,191.46,170.94,170.84,170.51,209.67
Tax,26.49,39.8,33.97,39.2,39.58,49.25,44.01,44.05,43.93,53.99
Net profit,75.37,113.44,97.15,112.35,113.85,142.21,126.93,126.79,126.58,155.68
Operating Profit,516.57,577.9,614.02,641.23,683.73,762.46,831.02,893.38,946.9,1010.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,282.01,284.44,285.36,308.08,309.55,310.42,310.54,310.98,311.5,
Reserves,1306.56,1507.73,1919.52,2499.75,2806.06,3111.74,3448.05,3737.85,4254.61,
Borrowings,13772.93,16073.89,20565.02,25933.57,31158.31,33777.88,34186.11,38773.53,45357.03,
Other Liabilities,770.79,1252.46,1276.48,1480.7,1517.91,1305.1,1657.43,2017.78,2442.73,
Total,16132.29,19118.52,24046.38,30222.1,35791.83,38505.14,39602.13,44840.14,52365.87,
Net Block,236.68,248.02,488.57,494.02,525.98,545.87,568.51,608.36,782.67,
Capital Work in Progress,,,,,,,,52.82,43.6,
Investments,3962.17,4333.33,5817.94,6218.96,7844.09,7741.5,8413.69,9098.23,12582.46,
Other Assets,11933.44,14537.17,17739.87,23509.12,27421.76,30217.77,30619.93,35080.73,38957.14,
Total,16132.29,19118.52,24046.38,30222.1,35791.83,38505.14,39602.13,44840.14,52365.87,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,719.15,891.56,1192.46,2371.98,2793.38,3545.87,3039.34,4090.76,2368.42,
No. of Equity Shares,282012273,284436073,285364353,308084883,309546898,310415413,310536113,310976463,311501733,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-495.73,219.62,239.8,230.05,-281.34,170.7,-1502.13,1606.08,-1565.72,-1239.83
Cash from Investing Activity,-28.83,-40.86,-71.1,-59.21,-76.42,-71.74,-79.37,-156.62,-164.76,-132.9
Cash from Financing Activity,554.14,-6.35,132.21,1008.68,779.15,653.54,1074.97,-398.04,8.14,2070.19
Net Cash Flow,29.58,172.41,300.9,1179.52,421.39,752.49,-506.53,1051.42,-1722.34,697.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,110.95,79.25,170.25,161.55,204.7,94.8,102.6,69.4,106.5,119.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,28.2,28.44,28.54,30.81,30.95,31.04,31.05,31.1,31.15,31.28
