COMPANY NAME,LIC HOUSING FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,620.1,,,,,,,,,
Market Capitalization,34101.35,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,9339.24,10812.11,12490.51,14092.44,14876.44,17398.37,19740.12,19885.52,19977.86,22713.89
Raw Material Cost,,,,,7.18,4.18,4.69,1.03,19.92,
Change in Inventory,,,,,,,,,,
Power and Fuel,4.78,5.31,5.35,5.77,5.59,5.69,5.7,5.09,5.27,
Other Mfr. Exp,28.14,11.53,8.97,5.78,40.54,284.45,105,128.6,165.11,
Employee Cost,112.84,139.29,164.82,266.59,245.4,275.26,328.31,324.4,603.33,516.41
Selling and admin,186.61,220.57,280.83,301.71,137.33,147.19,115.16,141,141.41,
Other Expenses,24.6,13.04,150.96,306.84,504.41,386.98,1033.31,1412.12,2076.74,2447.24
Other Income,33.75,16.81,12.13,8.54,0.02,0.09,-33.24,-5.3,27.45,14.32
Depreciation,7.8,9.65,10.01,9.7,10.21,11.92,51.11,52.47,55.19,69.04
Interest,7174.36,8310.22,9306.64,10231.41,11143.82,12891.04,14781.42,14450.38,14151.09,16134.75
Profit before tax,1833.86,2119.31,2575.06,2973.18,2781.98,3391.75,3282.18,3365.13,2787.25,3560.77
Tax,512.44,721.79,907.44,1031.36,773.82,957.38,878.52,624,501.25,669.6
Net profit,1318.2,1395.61,1667.7,1942.27,2007.93,2433.95,2403.26,2740.72,2285.65,2890.76
Dividend Amount,227.25,252.5,277.75,313.1,343.37,383.76,403.96,429.21,467.84,467.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,4717.65,5064.27,5327.87,5296.28,5096.35,5890.15,6431.12,6759.13,6765.44,6804.19
Expenses,892.27,551.82,456.39,504.23,811.42,1069.3,581.55,601.79,669.76,685.64
Other Income,5.28,14.41,8.61,6.22,5.05,5.79,0.11,,0.43,
Depreciation,13.58,13.61,14.99,16.25,16,17.38,19.41,19.4,13.16,18.31
Interest,3505.15,3545.68,3551.12,3639.35,3885.81,4232.09,4377.5,4493.11,4599.91,4645.92
Profit before tax,311.93,967.57,1313.98,1142.67,388.17,577.17,1452.77,1644.83,1483.04,1454.32
Tax,62.07,196.25,200.22,215.78,76.73,115.2,261.89,325.79,291.18,287.72
Net profit,249.74,771.24,1113.68,926.06,312.72,461.85,1190.89,1318.98,1191.77,1166.52
Operating Profit,3825.38,4512.45,4871.48,4792.05,4284.93,4820.85,5849.57,6157.34,6095.68,6118.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,101,101,101,101,100.99,100.99,100.99,100.99,110.08,110.08
Reserves,7484.88,7779.06,9113.58,11054.85,14210.19,16229.83,18163.88,20500.44,24640.74,27074.59
Borrowings,82036.41,96531.87,110931.17,126337.06,150912.69,170657.14,191427.65,207925.2,223757.07,244912.88
Other Liabilities,6239.56,8218.32,10441.44,13504.12,6004.29,13719.46,7227.22,7194.85,6178.76,6461.42
Total,95861.85,112630.25,130587.19,150997.03,171228.16,200707.42,216919.74,235721.48,254686.65,278558.97
Net Block,86.36,90.17,102.4,102.37,129.46,168.08,294.43,281.87,314.82,388.48
Capital Work in Progress,0.25,0.25,0.25,5.06,2.74,2.19,2.92,6.34,4.3,0.84
Investments,194.08,241.44,280.38,537.4,2008.22,3617.34,5484.73,4643.9,6279.39,7049.71
Other Assets,95581.16,112298.39,130204.16,150352.2,169087.74,196919.81,211137.66,230789.37,248088.14,271119.94
Total,95861.85,112630.25,130587.19,150997.03,171228.16,200707.42,216919.74,235721.48,254686.65,278558.97
Receivables,71.81,72.51,87.66,112.19,13.5,11.99,21.8,7.7,8.38,0.72
Inventory,,,,,,,,,,
Cash & Bank,3074.22,2992.91,3987.13,4522.54,2143.01,3053.13,2036.92,1384.96,984.66,821.56
No. of Equity Shares,504981738,504981738,504981738,504981738,504663000,504663000,504663000,504663000,550063000,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-11522.84,-14345.37,-13039.43,-14273.19,-18977.03,-21538.46,-14737.67,-17140.27,-16729.27,-19632.43
Cash from Investing Activity,-1.52,-57.69,-57.58,-277.67,1367.96,-1642.34,-1851.41,858.22,-1628.52,-799.24
Cash from Financing Activity,13048.2,14231.64,14097.54,15072.1,18074.35,24068.29,15155.53,16244.62,17850.27,20248.69
Net Cash Flow,1523.84,-171.42,1000.52,521.24,465.28,887.49,-1433.55,-37.43,-507.52,-182.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
