COMPANY NAME,GODREJ AGROVET LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,554.9,,,,,,,,,
Market Capitalization,10653.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3311.82,3750.16,4911.08,5185.52,5917.73,6964.04,6266.71,8306.09,9373.68,9560.55
Raw Material Cost,2652.65,3030.66,3803.28,3977.86,4618.82,5421.05,4609.16,6451.61,7429.1,7278.78
Change in Inventory,36.96,85.54,12.77,7.66,45.22,44.99,1.35,146.78,40.05,35.05
Power and Fuel,42.95,64.08,76.86,85.73,101.76,126.26,116.35,146.06,172.04,
Other Mfr. Exp,89.31,93.71,127.52,154.46,156.81,244.54,240.1,295.27,350.39,
Employee Cost,133.4,155.68,232.75,276.34,294.42,354.05,376.4,439.28,453.41,539.12
Selling and admin,67.01,114.18,132.68,137.39,172.88,205.29,192.27,240.75,272.27,
Other Expenses,94.51,206.14,110.37,116.78,162.42,168.79,169.89,211.2,213.73,1076.25
Other Income,104.06,315.21,95.18,58.36,153.52,49.28,89.68,109.29,139.48,93.36
Depreciation,36.98,52.38,74.66,85.92,98.17,148.07,154,173.34,185.47,214.29
Interest,65.46,97.67,86.34,45.31,33.89,41.63,46.47,63.08,99.12,107.87
Profit before tax,270.57,336.41,374.57,371.75,477.3,348.63,453.1,541.57,377.68,472.65
Tax,60.53,75.44,101.64,120.71,127.97,48.05,105.53,122.42,82.32,113.2
Net profit,210.05,260.98,248.82,229.21,329.04,306.19,313.74,402.59,301.91,359.67
Dividend Amount,239.39,41.01,83.31,86.41,86.41,105.62,153.66,182.5,182.55,192.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2078.49,2080.75,2509.86,2445.33,2323.5,2094.99,2510.19,2570.87,2345.21,2134.28
Expenses,1942.3,1911.5,2348.27,2295.04,2187.21,2020.37,2317.29,2369.43,2186.12,1986.26
Other Income,4.65,68.88,20.38,13.04,83.51,22.55,31.77,20.15,20.99,20.45
Depreciation,44.48,45.74,44.85,46.11,46.93,47.58,52.79,52.89,53.01,55.6
Interest,16.46,17.96,21.57,25.71,24.88,26.96,29.46,27.94,25.06,25.41
Profit before tax,79.9,174.43,115.55,91.51,147.99,22.63,142.42,140.76,102.01,87.46
Tax,17.51,34.62,27.87,21.89,33.4,-0.84,35.34,36.83,19.05,21.98
Net profit,65.06,122.29,82.71,71.76,116.42,31.02,105.32,105.38,91.84,57.13
Operating Profit,136.19,169.25,161.59,150.29,136.29,74.62,192.9,201.44,159.09,148.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,92.57,92.57,185.13,192.03,192.03,192.04,192.07,192.11,192.16,192.21
Reserves,547.55,690.27,823.65,1219.34,1456.95,1646.1,1859.03,2076.31,2145.37,2324.44
Borrowings,684.61,1371.81,664.08,409.8,397.95,651.33,1023.51,1598.68,1433,1415.88
Other Liabilities,416.86,956.57,1534.79,1713.65,2183.06,2182.76,1704.71,1689.4,1673.04,1770.74
Total,1741.59,3111.22,3207.65,3534.82,4229.99,4672.23,4779.32,5556.5,5443.57,5703.27
Net Block,693.47,1507.14,1472.8,1491.95,2050.9,2156.5,2280.66,2407.05,2567.56,2824.76
Capital Work in Progress,138.05,63.83,50.44,190.41,93.59,153.21,141.43,90.24,204.44,173.16
Investments,36.62,59.27,175.46,195.23,116.51,129.17,123.72,159.65,158.41,176.57
Other Assets,873.45,1480.98,1508.95,1657.23,1968.99,2233.35,2233.51,2899.56,2513.16,2528.78
Total,1741.59,3111.22,3207.65,3534.82,4229.99,4672.23,4779.32,5556.5,5443.57,5703.27
Receivables,269.25,454.51,521.95,620.41,734.89,853.13,822.57,951.35,574.03,518.91
Inventory,388.78,666.54,738.07,762.86,898.74,886.5,980.39,1428.79,1344.12,1383.01
Cash & Bank,17.49,41.96,62.3,31.82,29.84,50.81,50.94,34.65,29.51,52.87
No. of Equity Shares,92565438,92565438,185130876,192028739,192028739,192041898,192041898,192112960,192160890,
New Bonus Shares,79341804,,92565438,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,108.83,168.32,897.3,353.82,447.74,239.78,-10.42,-120.05,874.02,
Cash from Investing Activity,-130.66,-428.31,-63.37,-252.8,-233.23,-255.16,-178.75,-208.05,-284.25,
Cash from Financing Activity,-78.99,278.39,-811.55,-124.99,-216.56,36.36,189.05,310.83,-594.41,
Net Cash Flow,-100.82,18.39,22.39,-23.97,-2.05,20.98,-0.12,-17.27,-4.64,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
