COMPANY NAME,GRAPHITE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,562.15,,,,,,,,,
Market Capitalization,10985.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1710.66,1532.27,1467.76,3265.98,7857.9,3093.58,1957.62,3026.51,3180.92,2950
Raw Material Cost,760.78,507.67,552.41,764.34,2282.77,2051.25,823.8,1424.58,1849.53,1447
Change in Inventory,4.97,-138.45,-32.66,-7.54,797.4,-85.89,-364.12,268.13,495.75,-511
Power and Fuel,258.34,218.83,266.19,333.91,386.64,279.48,267.25,439.43,562.89,328
Other Mfr. Exp,205.22,187.32,203.67,257.81,367.77,275.73,220.11,381.71,406.75,
Employee Cost,209.53,202.57,223.55,263.06,332.66,283.06,257.54,311.3,315.91,281
Selling and admin,105.64,101.41,105.3,140.21,186.22,113.23,97.03,187.9,184.67,
Other Expenses,39.08,41.43,44.43,54.41,78.98,90.95,142.94,91.27,44.72,527
Other Income,29.22,49.44,86.48,87.99,154.84,174.41,315.94,293.83,79.92,1258
Depreciation,43.54,49.2,46.39,51.62,62.47,51.45,51.9,55.12,57.04,80
Interest,15.83,9.46,7.89,8.08,11.62,17.76,6.06,4.57,13.19,17
Profit before tax,106.89,125.37,71.75,1472.99,5101.01,19.19,42.81,692.59,321.89,1017
Tax,49.3,42.55,1.29,440.99,1705.43,-25.77,74.89,188.08,122.84,212
Net profit,57.59,82.82,70.46,1032,3395.58,44.96,-32.08,504.56,199.35,808
Dividend Amount,39.08,39.08,39.08,332.18,1074.7,39.08,97.7,195.4,166.09,214.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,880,844,866,825,701,815,747,793,690,720
Expenses,746,758,838,723,629,753,838,823,703,730
Other Income,66,71,31,66,25,5,78,1045,63,72
Depreciation,14,14,14,15,13,15,18,19,21,22
Interest,2,2,2,4,3,4,6,4,4,3
Profit before tax,184,141,43,149,81,48,-37,992,25,37
Tax,52,46,19,57,28,19,-7,190,8,21
Net profit,132,95,24,92,53,29,-30,804,18,16
Operating Profit,134,86,28,102,72,62,-91,-30,-13,-10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,39.08,39.08,39.08,39.08,39.08,39.08,39.08,39.08,39.08,39
Reserves,1707.3,1748.9,1818.48,2692.74,5311.5,4515.19,4502.67,4907.72,4924.76,5572
Borrowings,366.74,302.34,259.23,272.18,359.59,415.61,225.43,435.55,432.02,177
Other Liabilities,481.93,416.65,443.56,726.86,1191.37,608.26,760.18,914.81,1112.32,1008
Total,2595.05,2506.97,2560.35,3730.86,6901.54,5578.14,5527.36,6297.16,6508.18,6796
Net Block,639.78,591.2,667.39,701.57,663.93,637.32,640.4,690.66,789.12,948
Capital Work in Progress,9.59,65.49,32.06,8.12,16.77,34.68,79.51,142,127.13,146
Investments,369.31,475.13,631.01,1207.82,2589.52,2066.8,2804.29,2493.86,2321.73,3569
Other Assets,1576.37,1375.15,1229.89,1813.35,3631.32,2839.34,2003.16,2970.64,3270.2,2133
Total,2595.05,2506.97,2560.35,3730.86,6901.54,5578.14,5527.36,6297.16,6508.18,6796
Receivables,432.61,474.24,441.46,823.52,857.82,402.6,339.59,540.05,545.92,522
Inventory,991.72,748.51,602.09,786.44,2160.37,1565.65,1016.47,1713.38,2328.42,1354
Cash & Bank,31.49,21.05,51.54,55.58,407.85,455.85,244.16,143.66,90.76,70
No. of Equity Shares,195384094,195375594,195375594,195375594,195375594,195375594,195375594,195375594,195375594,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,170.74,268.25,260.22,759.61,2322.52,253.09,584.02,-488.17,-160.36,682
Cash from Investing Activity,3.77,-87.61,-226.4,-551.58,-1286.78,548.91,-518.94,222.11,328.39,-240
Cash from Financing Activity,-173.43,-192.07,-39.19,-178.85,-675.89,-838.53,-198.97,104.54,-213.37,-428
Net Cash Flow,1.07,-11.43,-5.37,29.18,359.85,-36.53,-133.89,-161.52,-45.34,14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,83.05,71.85,112.1,726.1,446.9,127.25,512,502.85,262.55,603.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,19.54,19.54,19.54,19.54,19.54,19.54,19.54,19.54,19.54,19.54
